"wt -HU (n=124)"	"wt +HU (n=87)"	"rad9d -HU (n=157)"	"rad9d +HU (n=146)"
8	24	4	4
12	12	4	8
4	16	12	12
20	8	12	8
12	20	16	12
4	20	8	4
16	8	12	8
8	20	8	12
12	24	8	24
12	4	8	8
16	8	12	8
4	16	8	8
16	16	8	8
8	16	16	12
4	16	12	8
16	20	16	12
8	24	12	8
12	12	8	8
32	8	12	4
12	4	8	12
8	8	8	12
12	28	12	12
8	8	8	12
4	20	8	8
16	8	8	12
16	28	8	12
12	8	8	4
12	12	16	4
12	12	12	8
16	4	4	8
12	20	4	12
16	16	16	12
8	4	12	4
4	8	12	4
12	16	8	20
4	8	8	16
12	4	4	16
8	12	16	4
8	8	8	4
8	8	8	28
4	16	8	4
16	8	8	8
12	12	8	4
16	8	12	8
12	14	4	20
8	12	4	12
16	24	12	8
20	14	16	4
12	10	8	4
8	8	16	4
4	12	4	8
12	46	4	4
8	2	8	8
12	16	4	12
8	80	8	12
8	10	8	8
4	4	4	4
12	36	4	4
10	18	6	20
6	18	4	4
14	8	6	8
6	6	6	8
10	10	18	8
12	4	8	12
6	26	16	8
10	16	6	4
10	8	12	8
20	16	16	8
12	20	14	8
8	8	12	8
4	20	14	16
6	4	20	14
8	10	12	14
8	2	18	6
8	8	14	16
10	14	6	10
10	6	6	18
6	10	12	6
6	4	10	10
14	10	6	14
14	8	4	10
14	6	6	18
14	10	4	12
12	18	16	12
6	28	24	8
14	16	20	14
2	12	20	16
10		8	6
8		12	14
12		4	4
4		6	8
14		8	12
16		8	14
12		12	16
12		10	14
12		2	14
10		6	12
12		10	14
6		6	14
12		12	8
8		12	20
6		16	10
14		20	14
16		10	10
18		10	10
14		6	18
8		4	14
12		6	6
8		8	4
8		4	8
12		12	10
8		14	10
16		8	26
16		6	2
10		12	8
8		14	18
12		8	2
6		16	14
6		8	4
10		10	18
4		14	16
6		8	8
20		14	8
4		2	20
		8	8
		8	2
		8	4
		4	14
		8	18
		8	6
		6	8
		6	4
		6	16
		10	24
		4	20
		4	4
		10	6
		4	14
		4	14
		4	4
		10	6
		6	6
		12	8
		16	28
		6	4
		16	6
		10	
		10	
		10	
		18	
		8	
		8	
		6	
		6	
		6	
		10	
		10	
