Value	"WT (n=150)"	"psf2-ts (n=105)"	"rad9d (n=176)"	"psf2-ts rad9d (n=105)"
6	1.33333333333333			
8	2.00000000000000			
10	4.00000000000000			
12	6.00000000000000			
14	8.66666666666667			
16	16.00000000000000			
18	20.00000000000000			
20	28.66666666666670			
22	34.00000000000000			
24	38.00000000000000			
26	42.00000000000000			
28	50.66666666666670			
30	56.00000000000000			
32	60.00000000000000			
34	61.33333333333330			
36	65.33333333333330			
38	67.33333333333330			
40	72.66666666666670			
42	74.00000000000000			
44	76.66666666666670			
46	82.00000000000000			
48	82.66666666666670			
50	84.00000000000000			
54	85.33333333333330			
56	87.33333333333330			
58	88.00000000000000			
60	90.00000000000000			
62	92.00000000000000			
64	92.66666666666670			
68	94.00000000000000			
72	94.66666666666670			
76	95.33333333333330			
80	96.00000000000000			
82	96.66666666666670			
84	97.33333333333330			
90	98.00000000000000			
102	98.66666666666670			
168	99.33333333333330			
10		0.95238095238095		
12		2.85714285714286		
14		4.76190476190476		
16		8.57142857142857		
18		11.42857142857140		
20		16.19047619047620		
22		21.90476190476190		
24		26.66666666666670		
26		31.42857142857140		
28		39.04761904761910		
30		42.85714285714290		
32		46.66666666666670		
34		53.33333333333330		
36		57.14285714285710		
38		59.04761904761910		
40		61.90476190476190		
42		63.80952380952380		
44		68.57142857142860		
46		69.52380952380950		
48		71.42857142857140		
50		73.33333333333330		
52		76.19047619047620		
56		78.09523809523810		
60		79.04761904761910		
62		80.00000000000000		
70		81.90476190476190		
76		82.85714285714290		
88		83.80952380952380		
94		84.76190476190480		
102		85.71428571428570		
106		86.66666666666670		
108		87.61904761904760		
126		89.52380952380950		
140		90.47619047619050		
146		92.38095238095240		
10			1.70454545454545	
12			6.25000000000000	
14			10.79545454545450	
16			13.63636363636360	
18			17.04545454545450	
20			23.29545454545450	
22			28.97727272727270	
24			32.95454545454550	
26			41.47727272727270	
28			52.27272727272730	
30			60.22727272727270	
32			66.47727272727270	
34			71.59090909090910	
36			76.13636363636360	
38			80.68181818181820	
40			84.09090909090910	
42			86.93181818181820	
44			88.63636363636360	
46			91.47727272727270	
48			92.04545454545450	
50			92.61363636363640	
52			93.75000000000000	
56			94.31818181818180	
58			96.02272727272730	
64			96.59090909090910	
66			97.72727272727270	
68			98.29545454545450	
70			98.86363636363640	
74			99.43181818181820	
10				0.95238095238095
12				4.76190476190476
16				7.61904761904762
18				11.42857142857140
20				15.23809523809520
22				20.00000000000000
24				25.71428571428570
26				29.52380952380950
28				34.28571428571430
30				42.85714285714290
32				51.42857142857140
34				60.95238095238100
36				65.71428571428570
38				72.38095238095240
40				75.23809523809520
42				76.19047619047620
44				82.85714285714290
46				85.71428571428570
48				86.66666666666670
50				87.61904761904760
52				88.57142857142860
68				89.52380952380950
74				90.47619047619050
76				91.42857142857140
78				92.38095238095240
82				94.28571428571430
88				95.23809523809520
90				96.19047619047620
102				97.14285714285710
