"WT (n=145)"	"psf2-ts (n=93)"	"rad9d (n=173)"	"psf2-ts rad9d (n=100)"
6	18	4	14
4	14	10	2
2	2	2	6
8	10	4	2
4	12	12	4
4	8	6	4
8	14	6	10
2	12	6	4
6	10	4	6
6	2	2	6
4	10	2	2
14	10	4	2
10	10	8	12
14	10	4	8
4	56	6	4
6	14	10	4
4	6	6	6
18	6	2	36
14	14	4	8
6	14	8	4
10	12	2	
4	22	2	4
8	10	2	2
8	8	4	12
14	4	2	8
2	10	6	12
2	98	6	4
10	142	24	6
2	14	4	4
6	10	2	4
8	12	8	12
16	12	4	6
6	6	8	4
10	2	28	8
6	12	4	6
4	30	6	6
2	12	8	10
4	12	16	10
6	20	10	8
10	4	6	10
4	8	2	6
6	10	4	6
4	14	6	8
10	4	4	12
4	4	6	8
8	4	6	8
6	6	4	8
6	14	8	4
2	6	4	18
8	8	14	6
6	6	6	12
6	14	14	12
6	4	8	6
10	10	4	6
4	10	6	14
6	20	4	6
2	8	8	24
8	6	6	8
12	10	6	12
6	6	12	2
2	14	20	2
10	6	6	4
4	50	14	6
6	4	6	6
6	8	8	6
4	36	6	6
4	8	6	4
10	8	6	6
4	6	6	16
6	4	12	8
10	4	4	6
4	14	8	6
4	14	6	8
6	4	4	6
4	20	6	12
4	6	2	8
6	22	6	6
4	6	6	2
4	26	22	6
8	8	2	16
18	4	4	8
6	6	10	6
4	10	4	8
12	6	6	12
10	14	6	6
4	12	8	8
6	2	16	12
6	26	2	12
8	6	6	4
8	6	8	8
6	8	6	4
8	18	8	10
8	4	6	8
4		6	10
8		12	4
12		10	6
4		8	8
8		10	6
14		4	6
8		8	4
12		4	
6		6	
6		8	
4		6	
6		8	
8		10	
4		4	
12		6	
6		4	
6		6	
8		8	
12		4	
4		6	
14		4	
6		6	
2		6	
6		6	
8		8	
2		8	
8		2	
4		4	
8		4	
2		2	
4		8	
12		4	
4		8	
2		8	
8		4	
14		6	
16		6	
8		4	
6		2	
4		4	
4		10	
4		6	
6		4	
8		6	
6		4	
6		2	
6		6	
10		18	
6		4	
4		6	
2		4	
4		4	
		4	
		2	
		6	
		8	
		10	
		4	
		4	
		2	
		6	
		6	
		4	
		4	
		6	
		14	
		6	
		6	
		14	
		8	
		8	
		10	
		6	
		8	
		8	
		2	
		6	
		4	
		6	
		6	
