CellNum	Stage	Mother/daughter	mtDNA rep observed	ShiftedFlg	LifFile	BioRep	TechRep	EdU	CellPart	Fluor		Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	IntDen	Median	Skew	RawIntDen
1	eG1	M		0	Slide2_020818_1	1	1	1	cell	DAPI	1	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	12.45	60.858	54.524	NaN	8	255	11.056	6.637	11.147	6.453	757.695	41	NaN	1539840
				0	Slide2_020818_2	1	1	1	cell	EdU	2	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	12.45	51.326	16.58	NaN	9	145	11.056	6.637	11.077	6.549	639.012	49	NaN	1298644
				0	Slide2_020818_3	1	1	1	nuclei	DAPI	3	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	1.415	185.545	55.389	NaN	34	255	11.081	5.87	11.072	5.85	262.485	195	NaN	533441
				0	Slide2_020818_4	1	1	1	nuclei	EdU	4	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	1.415	64.46	17.335	NaN	21	145	11.081	5.87	11.098	5.859	91.19	63	NaN	185323
				0	Slide2_020818_5	1	1	1	cytoplasm	DAPI	5	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.382	32.725	11.607	NaN	10	81	10.288	8.005	10.286	7.996	12.512	31	NaN	25427
				0	Slide2_020818_6	1	1	1	cytoplasm	EdU	6	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.382	39.221	12.468	NaN	9	86	10.288	8.005	10.288	7.991	14.996	38	NaN	30475
1	eG1	D		0	Slide2_020818_7	1	1	1	cell	DAPI	7	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	7.171	60.275	61.299	NaN	8	255	9.472	2.726	9.301	3.028	432.221	36	NaN	878390
				0	Slide2_020818_8	1	1	1	cell	EdU	8	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	7.171	53.533	18.945	NaN	9	145	9.472	2.726	9.468	2.741	383.872	52	NaN	780131
				0	Slide2_020818_9	1	1	1	nuclei	DAPI	9	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	1.084	178.515	56.518	NaN	27	255	8.992	3.306	9.026	3.329	193.512	187	NaN	393269
				0	Slide2_020818_10	1	1	1	nuclei	EdU	10	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	1.084	64.268	18.841	NaN	16	145	8.992	3.306	9.019	3.28	69.667	63	NaN	141583
				0	Slide2_020818_11	1	1	1	cytoplasm	DAPI	11	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.141	31.463	12.65	NaN	8	75	9.535	4.065	9.529	4.054	4.443	30	NaN	9030
