CellNum	Stage	Mother/daughter	mtDNA rep observed	ShiftedFlg	LifFile	BioRep	TechRep	EdU	CellPart	Fluor		Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	IntDen	Median	Skew	RawIntDen
274	T	M	0	1	Slide1_060818	2	1	1	cell	DAPI	2	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	11.5	137.891	67.709	255	8	255	5.489	11.639	5.606	11.607	1585.789	127	0.34	3200439
				1	Slide1_060818	2	1	1	cell	EdU	3	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	11.5	17.189	7.133	8	8	61	5.578	11.55	5.647	11.484	197.68	16	1.033	398958
				1	Slide1_060818	2	1	1	nuclei	DAPI	4	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	1.468	248.131	16.232	255	121	255	5.978	11.379	5.982	11.378	364.29	255	-3.186	735211
				1	Slide1_060818	2	1	1	nuclei	EdU	5	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	1.468	20.116	7.272	17	8	55	6.045	11.245	6.062	11.259	29.533	19	0.889	59604
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	6	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	0.182	114.837	32.678	106	44	211	5.625	13.141	5.628	13.129	20.939	114	0.311	42260
				1	Slide1_060818	2	1	1	cytoplasm	EdU	7	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	0.182	16.541	6.18	8	8	48	5.714	12.963	5.711	12.965	3.016	16	1.049	6087
274	T	D	0	1	Slide1_060818	2	1	1	cell	DAPI	8	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	6.578	155.145	67.925	255	8	255	5.113	15.546	5.024	15.62	1020.49	147	0.096	2059553
				1	Slide1_060818	2	1	1	cell	EdU	9	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	6.578	17.371	7.008	8	8	66	5.202	15.345	5.234	15.342	114.258	16	0.956	230595
				1	Slide1_060818	2	1	1	nuclei	DAPI	10	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	1.353	250.923	13.064	255	139	255	4.619	15.943	4.62	15.944	339.546	255	-4.07	685272
				1	Slide1_060818	2	1	1	nuclei	EdU	11	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	1.353	19.646	7.228	20	8	66	4.797	15.676	4.824	15.672	26.585	19	0.824	53653
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	12	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	0.174	138.989	31.106	121	65	242	5.924	15.481	5.922	15.48	24.241	138	0.233	48924
				1	Slide1_060818	2	1	1	cytoplasm	EdU	13	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	0.174	18.551	6.692	16	8	53	6.058	15.28	6.054	15.283	3.236	18	1.004	6530
275	G1	M	1	1	Slide1_060818	2	1	1	cell	DAPI	14	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	9.411	155.169	67.202	255	8	255	3.144	18.93	3.182	18.997	1460.274	152	-0.037	2947124
				1	Slide1_060818	2	1	1	cell	EdU	15	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	9.411	22.98	9.758	19	8	85	3.344	18.619	3.381	18.651	216.26	21	0.973	436456
				1	Slide1_060818	2	1	1	nuclei	DAPI	16	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	1.107	251.754	11.701	255	163	255	3.209	19.454	3.208	19.458	278.674	255	-4.431	562419
