CellNum	Stage	Mother/daughter	mtDNA rep observed	BioRep	TechRep	EdU	CellPart	Fluor		Label	Area	Mean	StdDev	Min	Max	X	Y	XM	YM	IntDen	Median	RawIntDen
1	eG1	M		1	1	1	cell	DAPI	1	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	12.45	60.858	54.524	8	255	11.056	6.637	11.147	6.453	757.695	41	1539840
				1	1	1	cell	EdU	2	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	12.45	51.326	16.58	9	145	11.056	6.637	11.077	6.549	639.012	49	1298644
				1	1	1	nuclei	DAPI	3	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	1.415	185.545	55.389	34	255	11.081	5.87	11.072	5.85	262.485	195	533441
				1	1	1	nuclei	EdU	4	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	1.415	64.46	17.335	21	145	11.081	5.87	11.098	5.859	91.19	63	185323
				1	1	1	cytoplasm	DAPI	5	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.382	32.725	11.607	10	81	10.288	8.005	10.286	7.996	12.512	31	25427
				1	1	1	cytoplasm	EdU	6	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.382	39.221	12.468	9	86	10.288	8.005	10.288	7.991	14.996	38	30475
1	eG1	D		1	1	1	cell	DAPI	7	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	7.171	60.275	61.299	8	255	9.472	2.726	9.301	3.028	432.221	36	878390
				1	1	1	cell	EdU	8	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	7.171	53.533	18.945	9	145	9.472	2.726	9.468	2.741	383.872	52	780131
				1	1	1	nuclei	DAPI	9	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	1.084	178.515	56.518	27	255	8.992	3.306	9.026	3.329	193.512	187	393269
				1	1	1	nuclei	EdU	10	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	1.084	64.268	18.841	16	145	8.992	3.306	9.019	3.28	69.667	63	141583
				1	1	1	cytoplasm	DAPI	11	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.141	31.463	12.65	8	75	9.535	4.065	9.529	4.054	4.443	30	9030
				1	1	1	cytoplasm	EdU	12	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.141	47.436	14.105	16	93	9.535	4.065	9.539	4.06	6.699	45	13614
2	T	M		1	1	1	cell	DAPI	13	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	10.13	61.48	54.191	8	255	15.739	8.108	15.665	8.47	622.768	41	1265632
				1	1	1	cell	EdU	14	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	10.13	52.914	16.672	9	158	15.739	8.108	15.713	8.125	535.998	51	1089293
				1	1	1	nuclei	DAPI	15	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	1.228	177.232	47.786	35	255	15.67	8.969	15.689	8.981	217.673	181	442370
				1	1	1	nuclei	EdU	16	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	1.228	60.929	17	13	135	15.67	8.969	15.663	8.94	74.832	59	152079
