Category	M	ChrBridge	MITOSIS
1	12	12	24
1	12	NaN	12
1	6	6	12
1	6	6	12
1	6	NaN	12
1	12	6	18
1	12	NaN	24
1	6	NaN	12
1	12	NaN	12
1	6	6	12
1	6	NaN	12
1	NaN	6	6
1	6	6	12
1	5	5	10
1	10	5	15
1	5	5	10
1	10	5	15
1	10	5	15
1	5	5	10
1	10	5	15
1	14	7	21
1	7	7	14
1	14	7	21
1	7	7	14
1	14	NaN	14
1	14	NaN	14
1	7	14	21
1	7	7	14
1	12	NaN	12
1	6	NaN	6
1	12	6	18
1	6	6	12
1	12	NaN	12
1	6	6	12
2	6	12	18
2	12	6	18
2	6	6	12
2	24	6	30
2	12	12	24
2	12	6	18
2	6	9	15
2	5	5	10
2	5	10	15
2	15	15	30
2	10	10	20
2	20	10	30
2	40	20	60
2	20	15	35
2	5	10	15
2	7	14	21
2	14	14	28
2	7	14	21
2	7	14	21
2	14	14	28
2	7	14	21
2	NaN	NaN	24
2	6	24	30
2	6	6	12
2	6	NaN	6
2	120	NaN	NaN
2	12	6	18
2	18	6	24
