WT	cdc15-2	dbf2-2
5,783	6,905	6,675
6,722	7,459	7,02
6,75	8,468	9,061
7,405	10,25	6,612
7,668	7,939	7,476
5,318	6,697	6,44
6,333	7,207	6,682
	7,785	7,2
6,298	8,622	7,104
6,675	10,197	7,219
7,534	6,518	5,819
7,436	7,34	10,142
6,182	6,152	5,988
6,674	9,767	5,582
8,379	9,432	5,824
6,412	7,099	6,013
4,593	9,728	7,069
11,264	9,104	7,002
8,957	9,117	8,911
4,222	8,413	9,928
7,099	7,766	10,724
6,982	9,956	9,859
6,921	6,376	11,403
7,786	10,231	9,017
6,258	10,04	6,15
8,742	9,694	9,793
6,303	9,274	10,063
7,094	7,175	7,237
	9,598	9,603
8,891	7,803	7,689
7,498	7,898	8,586
5,433	11,994	8,251
3,898	7,55	8,411
7,2	6,793	8,476
6,125	12,289	8,784
8,213	6,53	9,814
4,389	8,278	11,409
9,592	8,068	5,892
	8,258	7,018
	8,84	8,921
8,402	8,914	9,765
7,563	8,977	6,4
8,247	7,2	9,113
8,633	8,036	9,224
	7,74	6,765
6,604	7,951	7,424
9,061	8,336	7,797
6,438	9,86	7,963
7,203	9,531	7,6
5,578	8,908	7,582
7,086	7,613	6,435
8,927	5,173	6,336
8,279	9,744	7,351
8,053	8,608	9,626
8,001	8,112	6,719
6,072	6,672	7,756
6,021	7,945	6,204
5,99	6,867	6,51
5,017	6,308	7,252
4,513	6,839	9,861
6,523	9,326	6,591
6,703	4,761	9,196
6,434	6,867	7,611
6,313	9,588	6,076
7,658	5,462	6,549
6,325	7,41	9,591
6,921	7,327	6,076
7,099	6,654	10,209
7,794	7,349	9,562
7,006	6,871	7,646
8,211	6,236	8,269
7,075	6,882	6,93
8,811	5,849	6,546
6,024	7,319	8,986
8,392		5,312
6,637	5,058	7,04
5,204	5,698	6,565
7,676	7,513	
7,322	7,919	6,22
7,528	6,204	5,766
8,246		4,56
7,939	7,764	6,001
6,866	8,282	9,052
9,027	7,083	
5,178	6,267	7,406
6,475	6,147	5,068
6,163	5,999	6,41
7,802	7,295	5,678
7,142	4,945	10,501
6,693	7,764	8,212
5,997	6,573	7,496
7,709	7,239	7,904
7,785	5,491	7,077
6,793	5,835	7,345
7,445	7,422	8,671
7,633	7,62	8,181
5,787	8,963	6,2
7,384	8,629	6,976
5,895	7,188	6,207
5,729	6,672	
6,532	7,16	8,115
5,971	7,206	8,603
7,866		5,895
	7,812	4,895
7,203	7,742	9,354
7,659	6,066	8,386
6,034	4,558	7,469
8,558	7,309	8,753
5,839	7,683	8,804
5,855	7,259	6,637
8,157	6,875	5,924
5,683	6,754	7,423
8,32	5,44	7,104
6,637	8,102	7,048
6,943	6,709	8,846
6,417	8,014	8,415
7,934	6,586	6,258
4,07		7,629
9,28	6,157	6,042
3,124	6,828	8,096
6,104	4,327	8,776
7,296	4,543	8,16
7,148	5,895	7,796
6,839	8,043	7,749
7,252	7,112	6,091
	4,692	7,352
5,475	6,137	6,75
7,597	7,82	7,002
4,828	9,259	7,649
8,517	6,378	7,468
10,62	6,929	7,701
7,464	6,378	6,828
5,164	8,796	7,659
5,159	7,676	7,67
5,164	8,847	8,298
7,268	8,315	7,546
8,398	8,305	6,138
4,384	6,231	7,278
7,503	8,208	8,676
8,213	8,648	7,587
6,486	8,956	8,726
	10,199	8,297
	8,056	6,668
7,921	7,934	7,796
8,294	6,792	7,001
6,009	9,865	7,993
5,826	8,034	5,952
7,816	8,948	6,41
7,337	7,429	7,175
7,588	7,253	6,853
8,281	6,817	7,582
8,471	10,415	8,314
5,4	7,897	4,695
5,19	7,419	7,121
8,598	6,207	7,489
5,005	6,313	6,379
6,772	9,882	9,034
3,962	8,837	8,601
7,988	6,287	7,41
6,597	6,621	6,66
7,504	11,685	7,347
6,638	9,834	7,549
5,959	7,891	8,312
7,354	8,386	6,468
4,033	11,206	7,897
5,997	8,655	6,501
7,019	7,302	8,322
5,666	5,931	8,492
6,965	7,641	7,167
5,049	8,509	5,404
6,96	8,984	7,346
	7,316	6,912
6,526	8,42	8,639
10,147	7,698	7,681
6,607	6,46	6,537
6,642	8,969	10,063
6,102	8,125	6,84
	7,604	7,303
7,278	5,715	6,098
8,928	8,013	7,391
	7,789	7,476
6,788	10,377	6,383
8,06	6,731	5,787
6,872	8,685	6,779
8,471	7,611	8,027
	7,264	6,001
6,028	8,792	7,589
6,892	8,334	8,013
6,169	9,851	7,692
6,765	5,576	7,142
5,515	7,302	6,989
7,007	7,314	7,734
5,928	6,931	7,308
5,312	9,407	7,777
8,084	8,273	9,248
5,773	6,303	6,621
4,367	7,281	7,897
6,709	7,792	6,189
7,336	7,712	7,61
5,819	6,342	7,373
5,549	7,383	7,178
6,8771011	8,768	5,473
	9,67	4,513
	8,055	9,321
	7,64	7,613
	6,459	7,11
	6,537	8,499
	7,903	7,445
	7,05	10,303
	8,551	7,198
	7,837	8,845
	8,046	5,142
	7,148	6,076
	6,438	7,403
	8,015	7,061
	5,721	5,517
	6,05	6,197
	7,673	6,532
	6,738	7,884
	5,552	6,907
	8,11	6,916
	7,175	8,174
	10,191	7,237
	6,586	6,757
	7,514	7,002
	7,67	7,091
	7,74	7,136
	6,923	7,975
	5,702	8,526
	5,632	7,11
	7,158	6,249
	10,099	7,822
	7,483	6,042
	10,895	7,976
	6,627	7,216
	7,809	
	7,112	
	7,069	
	8,273	
	7,634	
	5,554	
	7,392	
	7,392	
	8,396	
	7,845	
	9,707	
	7,476	
	9,253	
	9,438	
	7,216	
	5,67	
	5,503	
	7,452731	
