WT	cdc15-2	dbf2-2
4,474	2,021	2,073
3,229	0	1,499
3,841	3,163	3,576
4,273	2,817	2,254
3,924	2,941	2,598
3,723	2,001	1,805
3,747	1,843	2,441
3,075	3,709	2,478
4,198	0	1,382
3,91	1,431	2,395
3,632	2,703	1,927
3,797	2,201	0,753
3,693	2,859	2,186
3,784	1,341	1,341
4,473	2,505	1,382
2,957	2,859	2,553
1,341	3,2	2,148
6,838	3,626	2,417
4,474	0,943	3,767
2,976	4,354	3,266
3,775	2,459	2,641
3,152	4,807	3,296
4,42	0	3,675
4,56	5,754	2,97
3,565	4,911	2,347
6,304	2,623	3,751
2,289	3,822	3,132
4,536	2,289	0
2,884	2,775	1,382
4,473	3,5	2,144
4,051	0,9	3,554
2,371	2,957	2,7
3,329	1,709	2,703
4,366	3,011	2,853
2,864	4,057	3,152
3,748	3,18	2,162
1,565	3,387	6,378
5,457	1,676	2,179
2,801	0,912	2,414
3,675	4,762	3,618
3,369	3,446	3,139
3,626	2,08	4,166
4,835	1,802	3,202
5,374	2,205	2,911
3,935	2,682	2,104
3,91	2,585	3,399
5,106	3,185	2,088
3,513	1,911	4,366
4,241	3,274	3,576
3,091	2,799	2,765
3,611	2,549	3,192
4,587	4,84	2,513
4,498	3,382	0
3,487	3,676	4,333
3,529	1,414	1,294
2,849	2,03	1,709
3,18	2,703	1,22
2,618	2,687	1,979
3,122	0,986	2,179
2,95	2,392	3,452
3,013	3,187	3,059
3,85	1,124	2,225
4,56	1,509	5,093
2,327	1,448	2,4
4,631	1,685	2,206
2,104	4,293	4,828
2,84	2,496	1,996
4,976	2,325	5,411
4,708	1,588	5,46
3,31	2,55	3,39
4	1,565	4,034
2,813	2,226	2,371
4,292	1,349	1,236
2,349	2,549	4,03
3,611		1,309
2,756	1,185	2,214
2,417	1,603	3,473
4,182	3,243	
3,288	3,187	1,968
3,399	2,025	1,529
4,963		1,272
4,56	4,8	1,382
4,631	3,22	2,789
5,305	2,448	0
3,452	2,709	2,448
3,5	2,062	1,114
3,751	0,75	2,039
3,148	1,659	0,64
3,554	1,59	2,52
2,399	3,461	2,4
3,576	0,903	2,999
4,182	2,873	1,685
3,969	2,039	1,908
5,408	2,047	1,147
3,623	2,814	3,091
4,458	2,789	2,884
4,176	2,782	2,25
3,461	3,849	2,864
4,117	2,566	1,75
4,589	3,229	
2,764	2,284	1,916
4,371	3,352	1,545
3,302		2,254
3,087	3,288	1,309
6,509	3,077	0
3,598	0	3,329
3,352	0	3,288
4,599	1,124	1,142
5,073	3,163	3,382
3,564	3,118	3,091
4,132	1,709	0
5,164	2,255	2,314
4,5	1,499	2,958
3,98	4,433	2,547
4,243	2,669	3,598
3,18	3,073	4,124
4,902	1,127	1,709
3,756		2,79
6,576	2,249	2,553
3,34	2,699	2,189
2,8	0,675	3,461
3,979	0	3,038
4,685	1,813	2,562
2,829	2,26	3,18
3	2,342	1,946
3,91	0,9	2,254
3,924	2,684	2,409
3,511	2,957	3,44
4,578	2,914	3,701
4,824	3,019	3,177
6,771	2,831	3,66
4,366	1,748	1,777
3,137	3,516	3,571
3,622	2,957	2,513
3,137	2,449	2,786
4,218	3,429	3,302
3,827	0	1,44
2,407	1,791	2,657
3,701	2,703	3,245
6,05	2,932	3,219
2,832	3,576	3,979
4,262	0	3,889
4,49	3,611	2,537
4,273	2,846	2,864
5,037	2,579	2,897
3,434	4,109	2,703
3,468	1,499	1,651
6,686	2,054	2,254
3,826	2,451	2,236
4,167	0	1,968
4,862	2,579	3,488
4,147	2,999	3,466
2,419	2,499	0
2,605	0,522	2,799
4,593	2,156	3,152
2,168	2,461	2,144
4,593	2,179	3,911
2,419	3,234	4,18
3,352	2,703	3,091
3,428	1,945	2,111
4,037	1,086	2,495
4,366	3,923	2,993
3,395	2,787	3,36
4,006	2,543	3,076
2,817	2,705	3,091
3,4	3,905	2,896
5,001	0	2,894
2,205	2,282	2,327
4,058	2,954	1,874
4,209	3,202	1,812
3,82	4,366	2,246
3,227	2,714	3,128
4,178	3,146	2,618
7,513	2,234	2,014
4,587	2,286	2,189
3,011	0	2,939
3,288	2,814	2,183
4,371	3,491	2,585
4,453	1,803	1,134
5,291	1,842	3,343
6,211	2,65	2,266
3,5	5,466	1,59
5,865	1,059	2,186
5,399	1,574	1,921
5,142	2,995	3,273
5,517	1,803	1,896
4,221	4,142	2,873
4,393	1,878	3,387
3,387	3,836	2,164
4,911	2,489	1,949
3,704	2,783	2,682
5,364	2,307	2,736
3,859	2,386	2,289
4,176	1,748	3
2,845	2,849	4,264
3,461	2,492	2,147
3,192	2,417	4,296
3,606	2,549	1,972
3,564	2,514	2,354
2,984	3,036	2,736
3,163	2,65	1,114
3,9116866	3,052	0
	3,403	1,955
	3,855	2,79
	3,419	2,869
	2,657	2,285
	1,432	3,487
	3,196	2,589
	3,124	2,641
	4,782	2,893
	3,062	2,85
	3,765	2,28
	2,81	1,92
	2,186	2,924
	3,382	2,147
	2,073	0,96
	2,519	2,442
	2,104	2,183
	1,382	3,148
	2,1	3,497
	2,92	2,782
	2,932	0
	2,335	2,131
	2,496	2,502
	2,884	2,289
	2,562	2,927
	2,985	2,87
	2,079	3,312
	1,812	3,452
	2,478	1,892
	2,017	1,876
	3,433	3,058
	3,076	1,209
	2,88	3,456
	2,017	2,652
	3,074	
	1,484	
	2,649	
	3,674	
	2,758	
	1,29	
	3,369	
	2,897	
	2,829	
	1,805	
	3,722	
	2,756	
	4,347	
	4,098	
	2,953	
	1,812	
	2,817	
	2,498107	
