WT	"pol1 "	pol3	pol2
16	20	40	21
24	36	28	35
16	28	68	49
16	28	88	49
24	20	112	42
16	24	52	35
24	24	48	28
32	32	36	35
16	300	68	84
16	28	44	300
24	300	72	300
24	20	20	300
40	24	36	300
300	36	40	300
32	28	60	300
24	12	44	300
16	300	32	300
40	20	28	300
64	50	56	300
72	20	116	300
58	16	80	300
48	300	56	36
16	20	28	156
16	20	52	168
16	16	48	48
16	140	20	88
16	24	52	40
16	24	20	40
16	16	32	40
16	16	88	64
16	112	24	40
16	20	24	44
40	20	88	68
16	28	36	136
24	42	100	80
96	16	32	60
16	20	120	112
16	16	16	104
40	16	16	92
16	300	24	300
24	16		300
8	16		228
128	16		244
	16		216
	16		164
	16		216
			192
			188
			196
			300
			300
			300
			300
			175
			98
			189
			266
			182
			182
			126
			112
			154
			300
			300
			300
			300
			300
			300
			300
			300
			300
			300
