Htb2_psf2_HUn_rad9n_met	Htb2_psf2_HUn_rad9y_met	Htb2_WT_HUn_rad9n_met	Htb2_WT_HUy_rad9n_met	Htb2_WT_HUn_rad9y_met	Htb2_WT_HUy_rad9y_met	Htb2_WT_HUn_rad9n_noc	Htb2_pol2_HUn_rad9n_noc	Spc42_WT_HUn_rad9n_noc	Spc42_pol2_HUn_rad9n_noc	Htb2_pol1_HUn_rad9n_met	Htb2_pol2_HUn_rad9n_met	Htb2_pol3_HUn_rad9n_met	Htb2_WT37_HUn_rad9n_met
21	7	12	36	18	18	2	14	NaN	NaN	4	7	4	NaN
14	6	12	12	18	18	2	8	NaN	NaN	4	7	8	8
21	12	12	30	12	NaN	2	10	NaN	NaN	4	7	4	8
35	12	6	NaN	12	18	2	12	NaN	NaN	8	7	8	8
28	12	6		18	18	2	6	NaN	NaN	8	7	8	8
21	6	NaN	30	18	24	2	12	NaN	NaN	8	14	8	8
42	6	6	24	18	24	2	10	NaN	NaN	8	4	8	8
42	6	12	NaN	36	12	2	10	NaN	NaN	4	4	8	8
35	6	6	300	18	24	2	10	NaN	NaN	4	4	8	8
35	6	18	NaN	12	18	2	12	NaN	NaN	4	4	8	8
7	6	6	42	12	18	2	18	NaN	NaN	8	4	4	8
35	6	6	NaN	18	24	2	8	NaN	NaN	8	4	8	8
56	14	6	12	24	18	2	6	NaN	NaN	8	8	4	8
20	14	6	12	18	18	2	2	NaN	NaN	4	8	8	16
20	14	6	18	18	30	2	12	NaN	NaN	8	12	8	16
16	21	6	12	48	30	2	10	NaN	NaN	8	20	8	8
32	14	12	18	NaN	24	2	12	NaN	NaN	8	12	8	8
36	21	6	6	NaN	24	2	8	NaN	NaN	8	8	12	24
24	7	6	30	24	18	2	4	NaN	NaN	12	12	4	8
16	7	12	18	18	18	2	6	NaN	NaN	12	8	8	16
16	14	12	42	18	18	6	6	NaN	NaN	4	12	16	16
24	7	6	42	18	24	4	12	NaN	NaN	4	12	8	24
24	21	18	12	32	18	4	8	NaN	NaN	4	4	4	8
8	14	12	NaN	30	24	4	8	NaN	NaN	8	56	8	8
32	14	12	NaN	24	36	6	8	NaN	NaN	4	56	4	8
24	21	6	18	24	18	6	12	NaN	NaN	8	56	8	8
32	7	6	18	30	6	4	12	NaN	NaN	8	84	8	8
28	7	NaN	6	18	18	4	8	NaN	NaN	4	84	8	8
24	NaN	16	24	18	12	2	4	NaN	NaN	4	63	8	8
24	NaN	6	NaN	24	24	8	4	NaN	NaN	4	77	4	8
16	NaN	12	NaN	18	NaN	2	NaN	NaN	NaN	4	35	8	8
28	NaN	6	18	36	12	6	NaN	NaN	NaN	4	NaN	4	8
20	NaN	12	18	18	12	2	NaN	NaN	NaN	8	NaN	NaN	16
20	NaN	12	18	24	24	4	NaN	NaN	NaN	4	NaN	NaN	8
16	NaN	12	18	42	12	4	NaN	NaN	NaN	4	NaN	NaN	8
16	NaN	12	18	18	42	4	NaN	NaN	NaN	4	NaN	NaN	16
16	NaN	9	36	24	18	4	NaN	NaN	NaN	4	NaN	NaN	8
16	NaN	12	12	24	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	8
20	NaN	9	18	24	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	8
64	NaN	12	NaN	18	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	8
12	NaN	12	12	18	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	16
20	NaN	12	36	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	16
32	NaN	15	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN
16	NaN	9	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN
16	NaN	12	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12	NaN	15	NaN	12	6	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN
16	NaN	12	12	24	18	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12	NaN	12	NaN	18	12	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN
16	NaN	9	NaN	18	12	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20	NaN	12	NaN	18	12	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20	NaN	12	NaN	12	6	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12	NaN	12	15	12	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12	NaN	12	15	12	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20	NaN	12	12	18	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
56	NaN	12	12	30	24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
