Htb2_psf2_HUn_rad9n_met	Htb2_psf2_HUn_rad9y_met	Htb2_WT_HUn_rad9n_met	Htb2_WT_HUy_rad9n_met	Htb2_WT_HUn_rad9y_met	Htb2_WT_HUy_rad9y_met	Htb2_WT_HUn_rad9n_noc	Htb2_pol2_HUn_rad9n_noc	Spc42_WT_HUn_rad9n_noc	Spc42_pol2_HUn_rad9n_noc	Htb2_pol1_HUn_rad9n_met	Htb2_pol2_HUn_rad9n_met	Htb2_pol3_HUn_rad9n_met	Htb2_WT37_HUn_rad9n_met
42	30	30	132	36	48	18	20	20	28	20	21	24	16
35	96	30	108	36	42	16	30	20	20	36	35	24	24
42	12	42	90	30	NaN	24	48	18	200	28	49	88	16
168	12	30	156	30	36	34	200	18	200	28	49	36	16
63	6	30	300	36	30	26	122	24	26	20	42	100	24
49	6	300	96	36	42	14	200	18	18	24	35	32	16
119	24	30	216	36	54	30	28	20	20	24	28	120	24
42	6	30	300	72	144	22	22	20	24	32	35	16	32
70	6	24	300	36	54	10	26	20	28	300	84	16	16
35	6	24	300	30	30	24	200	16	24	28	300	24	16
21	6	30	252	24	30	12	200	22	200	300	300	40	24
49	300	24	300	30	48	24	200	20	22	20	300	28	24
70	14	24	32	42	36	18	200	36	32	24	300	68	40
25	14	30	36	36	36	10	54	32	112	36	300	88	300
300	14	36	54	36	54	44	44	20	14	28	300	112	32
300	21	36	42	108	114	26	18	32	200	12	300	52	24
300	14	54	42	300	42	22	200	22	200	300	300	48	16
300	21	30	36	NaN	42	10	52	32	200	20	300	36	40
52	7	24	60	30	42	8	200	24	50	50	300	68	64
140	7	30	42	36	42	12	200	50	40	20	300	44	72
28	14	42	216	42	36	4	34	29	200	16	300	72	58
104	7	24	168	36	36	60	30	9	8	300	36	20	48
60	21	42	30	80	30	16	200	200	200	20	156	36	16
192	14	36	300	36	36	18	86	22	200	20	168	40	16
136	14	30	300	54	42	12	26	26	200	16	48	60	16
224	21	30	48	48	30	76	36	200	200	140	88	44	16
80	25	24	48	30	30	12	200	200	22	24	40	32	16
88	25	36	36	42	42	18	38	24	200	24	40	28	16
56	7	40	60	36	36	26	24	NaN	NaN	16	40	56	16
28	7	18	300	36	54	16	300	NaN	NaN	16	64	116	16
52	7	30	300	36	NaN	16	36	NaN	NaN	112	40	80	16
92	300	24	54	36	24	20	28	NaN	NaN	20	44	56	16
168	NaN	36	162	30	36	24	38	NaN	NaN	20	68	28	40
56	NaN	36	48	36	42	30	14	NaN	NaN	28	136	52	16
36	NaN	30	94	42	24	36	70	NaN	NaN	42	80	48	24
216	NaN	30	42	30	54	24	30	NaN	NaN	16	60	20	96
44	NaN	30	72	42	36	74	12	NaN	NaN	20	112	52	16
196	NaN	21	42	36	300	28	200	NaN	NaN	16	104	20	16
44	NaN	30	36	48	300	22	200	NaN	NaN	16	92	32	40
140	NaN	27	300	30	NaN	26	200	NaN	NaN	300	300	88	16
300	NaN	24	36	30	NaN	34	48	NaN	NaN	16	300	NaN	24
300	NaN	24	108	300	NaN	32	200	NaN	NaN	16	228	NaN	8
44	NaN	27	300	NaN	NaN	32	30	NaN	NaN	16	244	NaN	128
28	NaN	33	300	NaN	NaN	22	200	NaN	NaN	16	216	NaN	NaN
124	NaN	27	300	NaN	NaN	14	200	NaN	NaN	16	164	NaN	NaN
124	NaN	30	300	30	18	26	200	NaN	NaN	16	216	NaN	NaN
300	NaN	36	42	36	30	32	NaN	NaN	NaN	NaN	192	NaN	NaN
300	NaN	30	300	30	30	18	NaN	NaN	NaN	NaN	188	NaN	NaN
184	NaN	24	NaN	30	30	26	NaN	NaN	NaN	NaN	196	NaN	NaN
300	NaN	24	NaN	30	30	26	NaN	NaN	NaN	NaN	300	NaN	NaN
76	NaN	27	300	24	36	64	NaN	NaN	NaN	NaN	300	NaN	NaN
152	NaN	24	33	24	30	NaN	NaN	NaN	NaN	NaN	300	NaN	NaN
128	NaN	27	33	24	30	NaN	NaN	NaN	NaN	NaN	300	NaN	NaN
256	NaN	24	33	30	30	NaN	NaN	NaN	NaN	NaN	175	NaN	NaN
28	NaN	27	33	30	42	NaN	NaN	NaN	NaN	NaN	98	NaN	NaN
36	NaN	24	32	24	30	NaN	NaN	NaN	NaN	NaN	189	NaN	NaN
36	NaN	30	51	NaN	36	NaN	NaN	NaN	NaN	NaN	266	NaN	NaN
300	NaN	21	39	NaN	24	NaN	NaN	NaN	NaN	NaN	182	NaN	NaN
24	NaN	24	39	36	30	NaN	NaN	NaN	NaN	NaN	182	NaN	NaN
24	NaN	27	48	36	30	NaN	NaN	NaN	NaN	NaN	126	NaN	NaN
32	NaN	27	42	24	36	NaN	NaN	NaN	NaN	NaN	112	NaN	NaN
104	NaN	24	33	30	30	NaN	NaN	NaN	NaN	NaN	154	NaN	NaN
148	NaN	24	300	30	NaN	NaN	NaN	NaN	NaN	NaN	300	NaN	NaN
136	NaN	33	33	36	30	NaN	NaN	NaN	NaN	NaN	300	NaN	NaN
