chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	391	200	200	1.0000000
chrI	200	400	552	200	200	1.0000000
chrI	400	600	652	200	200	1.0000000
chrI	600	800	784	200	200	1.0000000
chrI	800	1000	751	200	200	1.0000000
chrI	1000	1200	764	200	200	1.0000000
chrI	1200	1400	694	200	200	1.0000000
chrI	1400	1600	674	200	200	1.0000000
chrI	1600	1800	729	200	200	1.0000000
chrI	1800	2000	678	200	200	1.0000000
chrI	2000	2200	726	200	200	1.0000000
chrI	2200	2400	730	200	200	1.0000000
chrI	2400	2600	646	200	200	1.0000000
chrI	2600	2800	684	200	200	1.0000000
chrI	2800	3000	759	200	200	1.0000000
chrI	3000	3200	778	200	200	1.0000000
chrI	3200	3400	743	200	200	1.0000000
chrI	3400	3600	748	200	200	1.0000000
chrI	3600	3800	709	200	200	1.0000000
chrI	3800	4000	709	200	200	1.0000000
chrI	4000	4200	749	200	200	1.0000000
chrI	4200	4400	739	200	200	1.0000000
chrI	4400	4600	766	200	200	1.0000000
chrI	4600	4800	736	200	200	1.0000000
chrI	4800	5000	686	200	200	1.0000000
chrI	5000	5200	734	200	200	1.0000000
chrI	5200	5400	708	200	200	1.0000000
chrI	5400	5600	694	200	200	1.0000000
chrI	5600	5800	686	200	200	1.0000000
chrI	5800	6000	668	200	200	1.0000000
chrI	6000	6200	692	200	200	1.0000000
chrI	6200	6400	716	200	200	1.0000000
chrI	6400	6600	665	200	200	1.0000000
chrI	6600	6800	637	200	200	1.0000000
chrI	6800	7000	652	200	200	1.0000000
chrI	7000	7200	724	200	200	1.0000000
chrI	7200	7400	720	200	200	1.0000000
chrI	7400	7600	719	200	200	1.0000000
chrI	7600	7800	737	200	200	1.0000000
chrI	7800	8000	800	200	200	1.0000000
chrI	8000	8200	677	200	200	1.0000000
chrI	8200	8400	709	200	200	1.0000000
chrI	8400	8600	779	200	200	1.0000000
chrI	8600	8800	812	200	200	1.0000000
chrI	8800	9000	751	200	200	1.0000000
chrI	9000	9200	756	200	200	1.0000000
chrI	9200	9400	711	200	200	1.0000000
chrI	9400	9600	721	200	200	1.0000000
chrI	9600	9800	692	200	200	1.0000000
chrI	9800	10000	759	200	200	1.0000000
chrI	10000	10200	805	200	200	1.0000000
chrI	10200	10400	817	200	200	1.0000000
chrI	10400	10600	738	200	200	1.0000000
chrI	10600	10800	723	200	200	1.0000000
chrI	10800	11000	716	200	200	1.0000000
chrI	11000	11200	749	200	200	1.0000000
chrI	11200	11400	749	200	200	1.0000000
chrI	11400	11600	787	200	200	1.0000000
chrI	11600	11800	682	200	200	1.0000000
chrI	11800	12000	612	200	200	1.0000000
chrI	12000	12200	613	200	200	1.0000000
chrI	12200	12400	656	200	200	1.0000000
chrI	12400	12600	950	200	200	1.0000000
chrI	12600	12800	1881	200	200	1.0000000
chrI	12800	13000	748	200	200	1.0000000
chrI	13000	13200	659	200	200	1.0000000
chrI	13200	13400	670	200	200	1.0000000
chrI	13400	13600	692	200	200	1.0000000
chrI	13600	13800	678	200	200	1.0000000
chrI	13800	14000	670	200	200	1.0000000
chrI	14000	14200	683	200	200	1.0000000
chrI	14200	14400	712	200	200	1.0000000
chrI	14400	14600	679	200	200	1.0000000
chrI	14600	14800	682	200	200	1.0000000
chrI	14800	15000	638	200	200	1.0000000
chrI	15000	15200	635	200	200	1.0000000
chrI	15200	15400	639	200	200	1.0000000
chrI	15400	15600	640	200	200	1.0000000
chrI	15600	15800	704	200	200	1.0000000
chrI	15800	16000	687	200	200	1.0000000
chrI	16000	16200	701	200	200	1.0000000
chrI	16200	16400	732	200	200	1.0000000
chrI	16400	16600	726	200	200	1.0000000
chrI	16600	16800	652	200	200	1.0000000
chrI	16800	17000	637	200	200	1.0000000
chrI	17000	17200	706	200	200	1.0000000
chrI	17200	17400	776	200	200	1.0000000
chrI	17400	17600	806	200	200	1.0000000
chrI	17600	17800	663	200	200	1.0000000
chrI	17800	18000	615	200	200	1.0000000
chrI	18000	18200	649	200	200	1.0000000
chrI	18200	18400	658	200	200	1.0000000
chrI	18400	18600	652	200	200	1.0000000
chrI	18600	18800	625	200	200	1.0000000
chrI	18800	19000	618	200	200	1.0000000
chrI	19000	19200	630	200	200	1.0000000
chrI	19200	19400	680	200	200	1.0000000
chrI	19400	19600	690	200	200	1.0000000
chrI	19600	19800	713	200	200	1.0000000
chrI	19800	20000	600	200	200	1.0000000
chrI	20000	20200	596	200	200	1.0000000
chrI	20200	20400	627	200	200	1.0000000
chrI	20400	20600	603	200	200	1.0000000
chrI	20600	20800	631	200	200	1.0000000
chrI	20800	21000	562	200	200	1.0000000
chrI	21000	21200	635	200	200	1.0000000
chrI	21200	21400	647	200	200	1.0000000
chrI	21400	21600	647	200	200	1.0000000
chrI	21600	21800	603	200	200	1.0000000
chrI	21800	22000	662	200	200	1.0000000
chrI	22000	22200	655	200	200	1.0000000
chrI	22200	22400	699	200	200	1.0000000
chrI	22400	22600	702	200	200	1.0000000
chrI	22600	22800	689	200	200	1.0000000
chrI	22800	23000	703	200	200	1.0000000
chrI	23000	23200	629	200	200	1.0000000
chrI	23200	23400	590	200	200	1.0000000
chrI	23400	23600	531	200	200	1.0000000
chrI	23600	23800	478	200	200	1.0000000
chrI	23800	24000	553	200	200	1.0000000
chrI	24000	24200	604	200	200	1.0000000
chrI	24200	24400	575	200	200	1.0000000
chrI	24400	24600	591	200	200	1.0000000
chrI	24600	24800	607	200	200	1.0000000
chrI	24800	25000	607	200	200	1.0000000
chrI	25000	25200	546	200	200	1.0000000
chrI	25200	25400	503	200	200	1.0000000
chrI	25400	25600	540	200	200	1.0000000
chrI	25600	25800	393	200	200	1.0000000
chrI	25800	26000	513	200	200	1.0000000
chrI	26000	26200	446	200	200	1.0000000
chrI	26200	26400	465	200	200	1.0000000
chrI	26400	26600	381	200	200	1.0000000
chrI	26600	26800	367	200	200	1.0000000
chrI	26800	27000	983	200	200	1.0000000
chrI	27000	27200	987	200	200	1.0000000
chrI	27200	27400	657	200	200	1.0000000
chrI	27400	27600	663	200	200	1.0000000
chrI	27600	27800	689	200	200	1.0000000
chrI	27800	28000	644	200	200	1.0000000
chrI	28000	28200	663	200	200	1.0000000
chrI	28200	28400	646	200	200	1.0000000
chrI	28400	28600	582	200	200	1.0000000
chrI	28600	28800	609	200	200	1.0000000
chrI	28800	29000	574	200	200	1.0000000
chrI	29000	29200	595	200	200	1.0000000
chrI	29200	29400	597	200	200	1.0000000
chrI	29400	29600	645	200	200	1.0000000
chrI	29600	29800	660	200	200	1.0000000
chrI	29800	30000	661	200	200	1.0000000
chrI	30000	30200	637	200	200	1.0000000
chrI	30200	30400	564	200	200	1.0000000
chrI	30400	30600	630	200	200	1.0000000
chrI	30600	30800	612	200	200	1.0000000
chrI	30800	31000	566	200	200	1.0000000
chrI	31000	31200	581	200	200	1.0000000
chrI	31200	31400	560	200	200	1.0000000
chrI	31400	31600	539	200	200	1.0000000
chrI	31600	31800	510	200	200	1.0000000
chrI	31800	32000	493	200	200	1.0000000
chrI	32000	32200	491	200	200	1.0000000
chrI	32200	32400	496	200	200	1.0000000
chrI	32400	32600	427	200	200	1.0000000
chrI	32600	32800	420	200	200	1.0000000
chrI	32800	33000	505	200	200	1.0000000
chrI	33000	33200	532	200	200	1.0000000
chrI	33200	33400	588	200	200	1.0000000
chrI	33400	33600	565	200	200	1.0000000
