chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	637	200	200	1.0000000
chrI	200	400	797	200	200	1.0000000
chrI	400	600	918	200	200	1.0000000
chrI	600	800	998	200	200	1.0000000
chrI	800	1000	925	200	200	1.0000000
chrI	1000	1200	977	200	200	1.0000000
chrI	1200	1400	858	200	200	1.0000000
chrI	1400	1600	860	200	200	1.0000000
chrI	1600	1800	904	200	200	1.0000000
chrI	1800	2000	804	200	200	1.0000000
chrI	2000	2200	964	200	200	1.0000000
chrI	2200	2400	935	200	200	1.0000000
chrI	2400	2600	896	200	200	1.0000000
chrI	2600	2800	908	200	200	1.0000000
chrI	2800	3000	968	200	200	1.0000000
chrI	3000	3200	1011	200	200	1.0000000
chrI	3200	3400	989	200	200	1.0000000
chrI	3400	3600	953	200	200	1.0000000
chrI	3600	3800	907	200	200	1.0000000
chrI	3800	4000	884	200	200	1.0000000
chrI	4000	4200	926	200	200	1.0000000
chrI	4200	4400	942	200	200	1.0000000
chrI	4400	4600	959	200	200	1.0000000
chrI	4600	4800	916	200	200	1.0000000
chrI	4800	5000	894	200	200	1.0000000
chrI	5000	5200	912	200	200	1.0000000
chrI	5200	5400	904	200	200	1.0000000
chrI	5400	5600	918	200	200	1.0000000
chrI	5600	5800	854	200	200	1.0000000
chrI	5800	6000	942	200	200	1.0000000
chrI	6000	6200	979	200	200	1.0000000
chrI	6200	6400	975	200	200	1.0000000
chrI	6400	6600	896	200	200	1.0000000
chrI	6600	6800	766	200	200	1.0000000
chrI	6800	7000	806	200	200	1.0000000
chrI	7000	7200	922	200	200	1.0000000
chrI	7200	7400	903	200	200	1.0000000
chrI	7400	7600	881	200	200	1.0000000
chrI	7600	7800	871	200	200	1.0000000
chrI	7800	8000	884	200	200	1.0000000
chrI	8000	8200	805	200	200	1.0000000
chrI	8200	8400	850	200	200	1.0000000
chrI	8400	8600	925	200	200	1.0000000
chrI	8600	8800	978	200	200	1.0000000
chrI	8800	9000	989	200	200	1.0000000
chrI	9000	9200	964	200	200	1.0000000
chrI	9200	9400	882	200	200	1.0000000
chrI	9400	9600	907	200	200	1.0000000
chrI	9600	9800	877	200	200	1.0000000
chrI	9800	10000	871	200	200	1.0000000
chrI	10000	10200	907	200	200	1.0000000
chrI	10200	10400	923	200	200	1.0000000
chrI	10400	10600	872	200	200	1.0000000
chrI	10600	10800	890	200	200	1.0000000
chrI	10800	11000	871	200	200	1.0000000
chrI	11000	11200	901	200	200	1.0000000
chrI	11200	11400	932	200	200	1.0000000
chrI	11400	11600	929	200	200	1.0000000
chrI	11600	11800	826	200	200	1.0000000
chrI	11800	12000	790	200	200	1.0000000
chrI	12000	12200	814	200	200	1.0000000
chrI	12200	12400	826	200	200	1.0000000
chrI	12400	12600	1212	200	200	1.0000000
chrI	12600	12800	2187	200	200	1.0000000
chrI	12800	13000	877	200	200	1.0000000
chrI	13000	13200	842	200	200	1.0000000
chrI	13200	13400	761	200	200	1.0000000
chrI	13400	13600	751	200	200	1.0000000
chrI	13600	13800	782	200	200	1.0000000
chrI	13800	14000	802	200	200	1.0000000
chrI	14000	14200	824	200	200	1.0000000
chrI	14200	14400	801	200	200	1.0000000
chrI	14400	14600	811	200	200	1.0000000
chrI	14600	14800	812	200	200	1.0000000
chrI	14800	15000	782	200	200	1.0000000
chrI	15000	15200	795	200	200	1.0000000
chrI	15200	15400	844	200	200	1.0000000
chrI	15400	15600	767	200	200	1.0000000
chrI	15600	15800	815	200	200	1.0000000
chrI	15800	16000	896	200	200	1.0000000
chrI	16000	16200	887	200	200	1.0000000
chrI	16200	16400	887	200	200	1.0000000
chrI	16400	16600	881	200	200	1.0000000
chrI	16600	16800	887	200	200	1.0000000
chrI	16800	17000	777	200	200	1.0000000
chrI	17000	17200	823	200	200	1.0000000
chrI	17200	17400	849	200	200	1.0000000
chrI	17400	17600	937	200	200	1.0000000
chrI	17600	17800	861	200	200	1.0000000
chrI	17800	18000	808	200	200	1.0000000
chrI	18000	18200	851	200	200	1.0000000
chrI	18200	18400	786	200	200	1.0000000
chrI	18400	18600	779	200	200	1.0000000
chrI	18600	18800	787	200	200	1.0000000
chrI	18800	19000	804	200	200	1.0000000
chrI	19000	19200	794	200	200	1.0000000
chrI	19200	19400	846	200	200	1.0000000
chrI	19400	19600	772	200	200	1.0000000
chrI	19600	19800	753	200	200	1.0000000
chrI	19800	20000	721	200	200	1.0000000
chrI	20000	20200	659	200	200	1.0000000
chrI	20200	20400	695	200	200	1.0000000
chrI	20400	20600	768	200	200	1.0000000
chrI	20600	20800	795	200	200	1.0000000
chrI	20800	21000	781	200	200	1.0000000
chrI	21000	21200	786	200	200	1.0000000
chrI	21200	21400	862	200	200	1.0000000
chrI	21400	21600	821	200	200	1.0000000
chrI	21600	21800	805	200	200	1.0000000
chrI	21800	22000	785	200	200	1.0000000
chrI	22000	22200	806	200	200	1.0000000
chrI	22200	22400	824	200	200	1.0000000
chrI	22400	22600	804	200	200	1.0000000
chrI	22600	22800	780	200	200	1.0000000
chrI	22800	23000	801	200	200	1.0000000
chrI	23000	23200	774	200	200	1.0000000
chrI	23200	23400	755	200	200	1.0000000
chrI	23400	23600	621	200	200	1.0000000
chrI	23600	23800	561	200	200	1.0000000
chrI	23800	24000	625	200	200	1.0000000
chrI	24000	24200	626	200	200	1.0000000
chrI	24200	24400	630	200	200	1.0000000
chrI	24400	24600	668	200	200	1.0000000
chrI	24600	24800	717	200	200	1.0000000
chrI	24800	25000	713	200	200	1.0000000
chrI	25000	25200	749	200	200	1.0000000
chrI	25200	25400	715	200	200	1.0000000
chrI	25400	25600	721	200	200	1.0000000
chrI	25600	25800	467	200	200	1.0000000
chrI	25800	26000	649	200	200	1.0000000
chrI	26000	26200	528	200	200	1.0000000
chrI	26200	26400	577	200	200	1.0000000
chrI	26400	26600	464	200	200	1.0000000
chrI	26600	26800	436	200	200	1.0000000
chrI	26800	27000	1217	200	200	1.0000000
chrI	27000	27200	1145	200	200	1.0000000
chrI	27200	27400	739	200	200	1.0000000
chrI	27400	27600	746	200	200	1.0000000
chrI	27600	27800	793	200	200	1.0000000
chrI	27800	28000	783	200	200	1.0000000
chrI	28000	28200	796	200	200	1.0000000
chrI	28200	28400	767	200	200	1.0000000
chrI	28400	28600	693	200	200	1.0000000
chrI	28600	28800	717	200	200	1.0000000
chrI	28800	29000	736	200	200	1.0000000
chrI	29000	29200	772	200	200	1.0000000
chrI	29200	29400	757	200	200	1.0000000
chrI	29400	29600	732	200	200	1.0000000
chrI	29600	29800	740	200	200	1.0000000
chrI	29800	30000	761	200	200	1.0000000
chrI	30000	30200	723	200	200	1.0000000
chrI	30200	30400	717	200	200	1.0000000
chrI	30400	30600	740	200	200	1.0000000
chrI	30600	30800	737	200	200	1.0000000
chrI	30800	31000	734	200	200	1.0000000
chrI	31000	31200	701	200	200	1.0000000
chrI	31200	31400	688	200	200	1.0000000
chrI	31400	31600	631	200	200	1.0000000
chrI	31600	31800	599	200	200	1.0000000
chrI	31800	32000	621	200	200	1.0000000
chrI	32000	32200	639	200	200	1.0000000
chrI	32200	32400	622	200	200	1.0000000
chrI	32400	32600	593	200	200	1.0000000
chrI	32600	32800	589	200	200	1.0000000
chrI	32800	33000	618	200	200	1.0000000
chrI	33000	33200	644	200	200	1.0000000
chrI	33200	33400	693	200	200	1.0000000
chrI	33400	33600	647	200	200	1.0000000
chrI	33600	33800	535	200	200	1.0000000
chrI	33800	34000	521	200	200	1.0000000
chrI	34000	34200	569	200	200	1.0000000
chrI	34200	34400	614	200	200	1.0000000
chrI	34400	34600	689	200	200	1.0000000
chrI	34600	34800	696	200	200	1.0000000
chrI	34800	35000	616	200	200	1.0000000
chrI	35000	35200	578	200	200	1.0000000
chrI	35200	35400	574	200	200	1.0000000
chrI	35400	35600	586	200	200	1.0000000
chrI	35600	35800	589	200	200	1.0000000
chrI	35800	36000	613	200	200	1.0000000
chrI	36000	36200	625	200	200	1.0000000
chrI	36200	36400	659	200	200	1.0000000
chrI	36400	36600	622	200	200	1.0000000
chrI	36600	36800	662	200	200	1.0000000
chrI	36800	37000	652	200	200	1.0000000
chrI	37000	37200	634	200	200	1.0000000
chrI	37200	37400	712	200	200	1.0000000
chrI	37400	37600	642	200	200	1.0000000
chrI	37600	37800	635	200	200	1.0000000
chrI	37800	38000	647	200	200	1.0000000
chrI	38000	38200	619	200	200	1.0000000
chrI	38200	38400	573	200	200	1.0000000
chrI	38400	38600	570	200	200	1.0000000
chrI	38600	38800	594	200	200	1.0000000
chrI	38800	39000	577	200	200	1.0000000
chrI	39000	39200	646	200	200	1.0000000
chrI	39200	39400	636	200	200	1.0000000
chrI	39400	39600	617	200	200	1.0000000
chrI	39600	39800	656	200	200	1.0000000
chrI	39800	40000	706	200	200	1.0000000
chrI	40000	40200	627	200	200	1.0000000
chrI	40200	40400	654	200	200	1.0000000
chrI	40400	40600	648	200	200	1.0000000
chrI	40600	40800	617	200	200	1.0000000
chrI	40800	41000	630	200	200	1.0000000
chrI	41000	41200	608	200	200	1.0000000
chrI	41200	41400	620	200	200	1.0000000
