chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	381	200	200	1.0000000
chrI	200	400	497	200	200	1.0000000
chrI	400	600	577	200	200	1.0000000
chrI	600	800	659	200	200	1.0000000
chrI	800	1000	616	200	200	1.0000000
chrI	1000	1200	630	200	200	1.0000000
chrI	1200	1400	567	200	200	1.0000000
chrI	1400	1600	562	200	200	1.0000000
chrI	1600	1800	631	200	200	1.0000000
chrI	1800	2000	528	200	200	1.0000000
chrI	2000	2200	626	200	200	1.0000000
chrI	2200	2400	615	200	200	1.0000000
chrI	2400	2600	571	200	200	1.0000000
chrI	2600	2800	568	200	200	1.0000000
chrI	2800	3000	562	200	200	1.0000000
chrI	3000	3200	591	200	200	1.0000000
chrI	3200	3400	608	200	200	1.0000000
chrI	3400	3600	649	200	200	1.0000000
chrI	3600	3800	635	200	200	1.0000000
chrI	3800	4000	650	200	200	1.0000000
chrI	4000	4200	666	200	200	1.0000000
chrI	4200	4400	608	200	200	1.0000000
chrI	4400	4600	654	200	200	1.0000000
chrI	4600	4800	600	200	200	1.0000000
chrI	4800	5000	573	200	200	1.0000000
chrI	5000	5200	627	200	200	1.0000000
chrI	5200	5400	626	200	200	1.0000000
chrI	5400	5600	626	200	200	1.0000000
chrI	5600	5800	576	200	200	1.0000000
chrI	5800	6000	589	200	200	1.0000000
chrI	6000	6200	591	200	200	1.0000000
chrI	6200	6400	615	200	200	1.0000000
chrI	6400	6600	594	200	200	1.0000000
chrI	6600	6800	555	200	200	1.0000000
chrI	6800	7000	598	200	200	1.0000000
chrI	7000	7200	655	200	200	1.0000000
chrI	7200	7400	647	200	200	1.0000000
chrI	7400	7600	566	200	200	1.0000000
chrI	7600	7800	552	200	200	1.0000000
chrI	7800	8000	617	200	200	1.0000000
chrI	8000	8200	595	200	200	1.0000000
chrI	8200	8400	605	200	200	1.0000000
chrI	8400	8600	638	200	200	1.0000000
chrI	8600	8800	650	200	200	1.0000000
chrI	8800	9000	606	200	200	1.0000000
chrI	9000	9200	618	200	200	1.0000000
chrI	9200	9400	623	200	200	1.0000000
chrI	9400	9600	627	200	200	1.0000000
chrI	9600	9800	629	200	200	1.0000000
chrI	9800	10000	710	200	200	1.0000000
chrI	10000	10200	702	200	200	1.0000000
chrI	10200	10400	661	200	200	1.0000000
chrI	10400	10600	623	200	200	1.0000000
chrI	10600	10800	625	200	200	1.0000000
chrI	10800	11000	583	200	200	1.0000000
chrI	11000	11200	633	200	200	1.0000000
chrI	11200	11400	674	200	200	1.0000000
chrI	11400	11600	657	200	200	1.0000000
chrI	11600	11800	593	200	200	1.0000000
chrI	11800	12000	575	200	200	1.0000000
chrI	12000	12200	558	200	200	1.0000000
chrI	12200	12400	553	200	200	1.0000000
chrI	12400	12600	828	200	200	1.0000000
chrI	12600	12800	1604	200	200	1.0000000
chrI	12800	13000	667	200	200	1.0000000
chrI	13000	13200	684	200	200	1.0000000
chrI	13200	13400	628	200	200	1.0000000
chrI	13400	13600	615	200	200	1.0000000
chrI	13600	13800	601	200	200	1.0000000
chrI	13800	14000	639	200	200	1.0000000
chrI	14000	14200	618	200	200	1.0000000
chrI	14200	14400	582	200	200	1.0000000
chrI	14400	14600	521	200	200	1.0000000
chrI	14600	14800	551	200	200	1.0000000
chrI	14800	15000	578	200	200	1.0000000
chrI	15000	15200	571	200	200	1.0000000
chrI	15200	15400	567	200	200	1.0000000
chrI	15400	15600	574	200	200	1.0000000
chrI	15600	15800	632	200	200	1.0000000
chrI	15800	16000	668	200	200	1.0000000
chrI	16000	16200	631	200	200	1.0000000
chrI	16200	16400	610	200	200	1.0000000
chrI	16400	16600	634	200	200	1.0000000
chrI	16600	16800	590	200	200	1.0000000
chrI	16800	17000	576	200	200	1.0000000
chrI	17000	17200	668	200	200	1.0000000
chrI	17200	17400	693	200	200	1.0000000
chrI	17400	17600	678	200	200	1.0000000
chrI	17600	17800	581	200	200	1.0000000
chrI	17800	18000	594	200	200	1.0000000
chrI	18000	18200	552	200	200	1.0000000
chrI	18200	18400	587	200	200	1.0000000
chrI	18400	18600	613	200	200	1.0000000
chrI	18600	18800	577	200	200	1.0000000
chrI	18800	19000	576	200	200	1.0000000
chrI	19000	19200	609	200	200	1.0000000
chrI	19200	19400	639	200	200	1.0000000
chrI	19400	19600	648	200	200	1.0000000
chrI	19600	19800	613	200	200	1.0000000
chrI	19800	20000	552	200	200	1.0000000
chrI	20000	20200	536	200	200	1.0000000
chrI	20200	20400	545	200	200	1.0000000
chrI	20400	20600	603	200	200	1.0000000
chrI	20600	20800	566	200	200	1.0000000
chrI	20800	21000	575	200	200	1.0000000
chrI	21000	21200	558	200	200	1.0000000
chrI	21200	21400	620	200	200	1.0000000
chrI	21400	21600	572	200	200	1.0000000
chrI	21600	21800	525	200	200	1.0000000
chrI	21800	22000	536	200	200	1.0000000
chrI	22000	22200	583	200	200	1.0000000
chrI	22200	22400	639	200	200	1.0000000
chrI	22400	22600	645	200	200	1.0000000
chrI	22600	22800	607	200	200	1.0000000
chrI	22800	23000	634	200	200	1.0000000
chrI	23000	23200	597	200	200	1.0000000
chrI	23200	23400	574	200	200	1.0000000
chrI	23400	23600	489	200	200	1.0000000
chrI	23600	23800	441	200	200	1.0000000
chrI	23800	24000	475	200	200	1.0000000
chrI	24000	24200	471	200	200	1.0000000
chrI	24200	24400	492	200	200	1.0000000
chrI	24400	24600	528	200	200	1.0000000
chrI	24600	24800	567	200	200	1.0000000
chrI	24800	25000	563	200	200	1.0000000
chrI	25000	25200	585	200	200	1.0000000
chrI	25200	25400	526	200	200	1.0000000
chrI	25400	25600	528	200	200	1.0000000
chrI	25600	25800	335	200	200	1.0000000
chrI	25800	26000	431	200	200	1.0000000
chrI	26000	26200	371	200	200	1.0000000
