chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	587	200	200	1.0000000
chrI	200	400	840	200	200	1.0000000
chrI	400	600	970	200	200	1.0000000
chrI	600	800	1043	200	200	1.0000000
chrI	800	1000	1042	200	200	1.0000000
chrI	1000	1200	1056	200	200	1.0000000
chrI	1200	1400	892	200	200	1.0000000
chrI	1400	1600	923	200	200	1.0000000
chrI	1600	1800	1051	200	200	1.0000000
chrI	1800	2000	895	200	200	1.0000000
chrI	2000	2200	953	200	200	1.0000000
chrI	2200	2400	936	200	200	1.0000000
chrI	2400	2600	962	200	200	1.0000000
chrI	2600	2800	995	200	200	1.0000000
chrI	2800	3000	1017	200	200	1.0000000
chrI	3000	3200	1065	200	200	1.0000000
chrI	3200	3400	1078	200	200	1.0000000
chrI	3400	3600	1136	200	200	1.0000000
chrI	3600	3800	1105	200	200	1.0000000
chrI	3800	4000	1156	200	200	1.0000000
chrI	4000	4200	1081	200	200	1.0000000
chrI	4200	4400	1069	200	200	1.0000000
chrI	4400	4600	1049	200	200	1.0000000
chrI	4600	4800	1024	200	200	1.0000000
chrI	4800	5000	1050	200	200	1.0000000
chrI	5000	5200	1080	200	200	1.0000000
chrI	5200	5400	1043	200	200	1.0000000
chrI	5400	5600	1048	200	200	1.0000000
chrI	5600	5800	1007	200	200	1.0000000
chrI	5800	6000	1025	200	200	1.0000000
chrI	6000	6200	982	200	200	1.0000000
chrI	6200	6400	997	200	200	1.0000000
chrI	6400	6600	933	200	200	1.0000000
chrI	6600	6800	891	200	200	1.0000000
chrI	6800	7000	1027	200	200	1.0000000
chrI	7000	7200	1067	200	200	1.0000000
chrI	7200	7400	1042	200	200	1.0000000
chrI	7400	7600	1015	200	200	1.0000000
chrI	7600	7800	1020	200	200	1.0000000
chrI	7800	8000	1082	200	200	1.0000000
chrI	8000	8200	964	200	200	1.0000000
chrI	8200	8400	1038	200	200	1.0000000
chrI	8400	8600	1129	200	200	1.0000000
chrI	8600	8800	1171	200	200	1.0000000
chrI	8800	9000	1165	200	200	1.0000000
chrI	9000	9200	1097	200	200	1.0000000
chrI	9200	9400	1044	200	200	1.0000000
chrI	9400	9600	1035	200	200	1.0000000
chrI	9600	9800	1063	200	200	1.0000000
chrI	9800	10000	1099	200	200	1.0000000
chrI	10000	10200	1120	200	200	1.0000000
chrI	10200	10400	1133	200	200	1.0000000
chrI	10400	10600	984	200	200	1.0000000
chrI	10600	10800	1068	200	200	1.0000000
chrI	10800	11000	1079	200	200	1.0000000
chrI	11000	11200	1092	200	200	1.0000000
chrI	11200	11400	1087	200	200	1.0000000
chrI	11400	11600	1047	200	200	1.0000000
chrI	11600	11800	970	200	200	1.0000000
chrI	11800	12000	871	200	200	1.0000000
chrI	12000	12200	856	200	200	1.0000000
