chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	512	200	200	1.0000000
chrI	200	400	691	200	200	1.0000000
chrI	400	600	862	200	200	1.0000000
chrI	600	800	889	200	200	1.0000000
chrI	800	1000	902	200	200	1.0000000
chrI	1000	1200	913	200	200	1.0000000
chrI	1200	1400	854	200	200	1.0000000
chrI	1400	1600	819	200	200	1.0000000
chrI	1600	1800	852	200	200	1.0000000
chrI	1800	2000	750	200	200	1.0000000
chrI	2000	2200	835	200	200	1.0000000
chrI	2200	2400	836	200	200	1.0000000
chrI	2400	2600	811	200	200	1.0000000
chrI	2600	2800	826	200	200	1.0000000
chrI	2800	3000	874	200	200	1.0000000
chrI	3000	3200	950	200	200	1.0000000
chrI	3200	3400	916	200	200	1.0000000
chrI	3400	3600	947	200	200	1.0000000
chrI	3600	3800	950	200	200	1.0000000
chrI	3800	4000	923	200	200	1.0000000
chrI	4000	4200	895	200	200	1.0000000
chrI	4200	4400	877	200	200	1.0000000
chrI	4400	4600	944	200	200	1.0000000
chrI	4600	4800	924	200	200	1.0000000
chrI	4800	5000	891	200	200	1.0000000
chrI	5000	5200	911	200	200	1.0000000
chrI	5200	5400	925	200	200	1.0000000
chrI	5400	5600	843	200	200	1.0000000
chrI	5600	5800	864	200	200	1.0000000
chrI	5800	6000	875	200	200	1.0000000
chrI	6000	6200	865	200	200	1.0000000
chrI	6200	6400	851	200	200	1.0000000
chrI	6400	6600	749	200	200	1.0000000
chrI	6600	6800	703	200	200	1.0000000
chrI	6800	7000	780	200	200	1.0000000
chrI	7000	7200	882	200	200	1.0000000
chrI	7200	7400	858	200	200	1.0000000
chrI	7400	7600	852	200	200	1.0000000
chrI	7600	7800	854	200	200	1.0000000
chrI	7800	8000	877	200	200	1.0000000
chrI	8000	8200	810	200	200	1.0000000
chrI	8200	8400	832	200	200	1.0000000
chrI	8400	8600	959	200	200	1.0000000
chrI	8600	8800	1001	200	200	1.0000000
chrI	8800	9000	964	200	200	1.0000000
chrI	9000	9200	910	200	200	1.0000000
chrI	9200	9400	912	200	200	1.0000000
chrI	9400	9600	906	200	200	1.0000000
chrI	9600	9800	901	200	200	1.0000000
chrI	9800	10000	924	200	200	1.0000000
chrI	10000	10200	985	200	200	1.0000000
chrI	10200	10400	976	200	200	1.0000000
chrI	10400	10600	893	200	200	1.0000000
chrI	10600	10800	935	200	200	1.0000000
chrI	10800	11000	906	200	200	1.0000000
chrI	11000	11200	891	200	200	1.0000000
chrI	11200	11400	840	200	200	1.0000000
chrI	11400	11600	894	200	200	1.0000000
chrI	11600	11800	828	200	200	1.0000000
chrI	11800	12000	783	200	200	1.0000000
chrI	12000	12200	783	200	200	1.0000000
chrI	12200	12400	791	200	200	1.0000000
chrI	12400	12600	1201	200	200	1.0000000
chrI	12600	12800	2319	200	200	1.0000000
chrI	12800	13000	896	200	200	1.0000000
chrI	13000	13200	863	200	200	1.0000000
chrI	13200	13400	856	200	200	1.0000000
chrI	13400	13600	863	200	200	1.0000000
chrI	13600	13800	843	200	200	1.0000000
chrI	13800	14000	836	200	200	1.0000000
