chr	start_point	end_point	cov	V1	V2	V3
chrI	0	1000	103	999	1000	0.9990000
chrI	1000	2000	134	1000	1000	1.0000000
chrI	2000	3000	76	1000	1000	1.0000000
chrI	3000	4000	88	1000	1000	1.0000000
chrI	4000	5000	105	1000	1000	1.0000000
chrI	5000	6000	77	1000	1000	1.0000000
chrI	6000	7000	61	994	1000	0.9940000
chrI	7000	8000	67	941	1000	0.9410000
chrI	8000	9000	57	1000	1000	1.0000000
chrI	9000	10000	77	997	1000	0.9970000
chrI	10000	11000	91	982	1000	0.9820000
chrI	11000	12000	93	1000	1000	1.0000000
chrI	12000	13000	97	1000	1000	1.0000000
chrI	13000	14000	105	1000	1000	1.0000000
chrI	14000	15000	121	1000	1000	1.0000000
chrI	15000	16000	158	1000	1000	1.0000000
chrI	16000	17000	160	1000	1000	1.0000000
chrI	17000	18000	104	1000	1000	1.0000000
chrI	18000	19000	116	1000	1000	1.0000000
chrI	19000	20000	109	1000	1000	1.0000000
chrI	20000	21000	114	1000	1000	1.0000000
chrI	21000	22000	107	1000	1000	1.0000000
chrI	22000	23000	152	1000	1000	1.0000000
chrI	23000	24000	98	1000	1000	1.0000000
chrI	24000	25000	85	1000	1000	1.0000000
chrI	25000	26000	76	707	1000	0.7070000
chrI	26000	27000	24	370	1000	0.3700000
chrI	27000	28000	90	1000	1000	1.0000000
chrI	28000	29000	75	1000	1000	1.0000000
chrI	29000	30000	77	1000	1000	1.0000000
chrI	30000	31000	77	1000	1000	1.0000000
chrI	31000	32000	56	988	1000	0.9880000
chrI	32000	33000	67	957	1000	0.9570000
chrI	33000	34000	81	1000	1000	1.0000000
chrI	34000	35000	87	1000	1000	1.0000000
chrI	35000	36000	64	1000	1000	1.0000000
chrI	36000	37000	60	970	1000	0.9700000
chrI	37000	38000	78	1000	1000	1.0000000
chrI	38000	39000	107	1000	1000	1.0000000
chrI	39000	40000	89	1000	1000	1.0000000
chrI	40000	41000	85	1000	1000	1.0000000
chrI	41000	42000	78	994	1000	0.9940000
chrI	42000	43000	92	994	1000	0.9940000
chrI	43000	44000	80	1000	1000	1.0000000
chrI	44000	45000	104	1000	1000	1.0000000
chrI	45000	46000	68	1000	1000	1.0000000
chrI	46000	47000	102	1000	1000	1.0000000
chrI	47000	48000	65	1000	1000	1.0000000
chrI	48000	49000	101	1000	1000	1.0000000
chrI	49000	50000	123	1000	1000	1.0000000
chrI	50000	51000	86	1000	1000	1.0000000
chrI	51000	52000	63	936	1000	0.9360000
chrI	52000	53000	62	980	1000	0.9800000
chrI	53000	54000	76	991	1000	0.9910000
chrI	54000	55000	62	1000	1000	1.0000000
chrI	55000	56000	84	1000	1000	1.0000000
chrI	56000	57000	76	1000	1000	1.0000000
chrI	57000	58000	80	1000	1000	1.0000000
chrI	58000	59000	76	971	1000	0.9710000
chrI	59000	60000	81	1000	1000	1.0000000
chrI	60000	61000	92	1000	1000	1.0000000
chrI	61000	62000	77	1000	1000	1.0000000
chrI	62000	63000	51	965	1000	0.9650000
chrI	63000	64000	77	1000	1000	1.0000000
chrI	64000	65000	74	1000	1000	1.0000000
chrI	65000	66000	77	1000	1000	1.0000000
chrI	66000	67000	84	1000	1000	1.0000000
chrI	67000	68000	60	968	1000	0.9680000
chrI	68000	69000	91	1000	1000	1.0000000
chrI	69000	70000	74	1000	1000	1.0000000
chrI	70000	71000	69	1000	1000	1.0000000
chrI	71000	72000	68	1000	1000	1.0000000
chrI	72000	73000	75	1000	1000	1.0000000
chrI	73000	74000	62	989	1000	0.9890000
chrI	74000	75000	54	1000	1000	1.0000000
chrI	75000	76000	71	1000	1000	1.0000000
chrI	76000	77000	81	972	1000	0.9720000
chrI	77000	78000	96	1000	1000	1.0000000
chrI	78000	79000	99	1000	1000	1.0000000
chrI	79000	80000	69	972	1000	0.9720000
chrI	80000	81000	104	1000	1000	1.0000000
chrI	81000	82000	67	1000	1000	1.0000000
chrI	82000	83000	77	1000	1000	1.0000000
chrI	83000	84000	77	989	1000	0.9890000
chrI	84000	85000	84	1000	1000	1.0000000
chrI	85000	86000	90	1000	1000	1.0000000
chrI	86000	87000	85	1000	1000	1.0000000
chrI	87000	88000	98	956	1000	0.9560000
chrI	88000	89000	96	1000	1000	1.0000000
chrI	89000	90000	71	953	1000	0.9530000
chrI	90000	91000	99	1000	1000	1.0000000
chrI	91000	92000	88	1000	1000	1.0000000
chrI	92000	93000	93	1000	1000	1.0000000
chrI	93000	94000	67	965	1000	0.9650000
chrI	94000	95000	71	1000	1000	1.0000000
chrI	95000	96000	84	1000	1000	1.0000000
chrI	96000	97000	100	977	1000	0.9770000
chrI	97000	98000	89	1000	1000	1.0000000
chrI	98000	99000	82	1000	1000	1.0000000
chrI	99000	100000	75	999	1000	0.9990000
chrI	100000	101000	91	1000	1000	1.0000000
chrI	101000	102000	101	962	1000	0.9620000
chrI	102000	103000	86	1000	1000	1.0000000
chrI	103000	104000	94	1000	1000	1.0000000
chrI	104000	105000	88	1000	1000	1.0000000
chrI	105000	106000	72	1000	1000	1.0000000
chrI	106000	107000	96	1000	1000	1.0000000
chrI	107000	108000	118	1000	1000	1.0000000
chrI	108000	109000	74	1000	1000	1.0000000
chrI	109000	110000	90	1000	1000	1.0000000
chrI	110000	111000	91	988	1000	0.9880000
chrI	111000	112000	71	1000	1000	1.0000000
chrI	112000	113000	73	1000	1000	1.0000000
chrI	113000	114000	68	1000	1000	1.0000000
chrI	114000	115000	72	1000	1000	1.0000000
chrI	115000	116000	66	1000	1000	1.0000000
chrI	116000	117000	76	974	1000	0.9740000
chrI	117000	118000	66	1000	1000	1.0000000
chrI	118000	119000	69	1000	1000	1.0000000
chrI	119000	120000	77	1000	1000	1.0000000
chrI	120000	121000	109	1000	1000	1.0000000
chrI	121000	122000	80	976	1000	0.9760000
chrI	122000	123000	99	1000	1000	1.0000000
chrI	123000	124000	86	1000	1000	1.0000000
chrI	124000	125000	90	1000	1000	1.0000000
chrI	125000	126000	64	1000	1000	1.0000000
chrI	126000	127000	82	971	1000	0.9710000
chrI	127000	128000	71	964	1000	0.9640000
