chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	453	200	200	1.0000000
chrI	200	400	562	200	200	1.0000000
chrI	400	600	601	200	200	1.0000000
chrI	600	800	664	200	200	1.0000000
chrI	800	1000	659	200	200	1.0000000
chrI	1000	1200	692	200	200	1.0000000
chrI	1200	1400	641	200	200	1.0000000
chrI	1400	1600	594	200	200	1.0000000
chrI	1600	1800	686	200	200	1.0000000
chrI	1800	2000	603	200	200	1.0000000
chrI	2000	2200	662	200	200	1.0000000
chrI	2200	2400	624	200	200	1.0000000
chrI	2400	2600	603	200	200	1.0000000
chrI	2600	2800	631	200	200	1.0000000
chrI	2800	3000	713	200	200	1.0000000
chrI	3000	3200	756	200	200	1.0000000
chrI	3200	3400	737	200	200	1.0000000
chrI	3400	3600	711	200	200	1.0000000
chrI	3600	3800	664	200	200	1.0000000
chrI	3800	4000	674	200	200	1.0000000
chrI	4000	4200	689	200	200	1.0000000
chrI	4200	4400	676	200	200	1.0000000
chrI	4400	4600	710	200	200	1.0000000
chrI	4600	4800	698	200	200	1.0000000
chrI	4800	5000	654	200	200	1.0000000
chrI	5000	5200	701	200	200	1.0000000
chrI	5200	5400	716	200	200	1.0000000
chrI	5400	5600	656	200	200	1.0000000
chrI	5600	5800	631	200	200	1.0000000
chrI	5800	6000	624	200	200	1.0000000
chrI	6000	6200	688	200	200	1.0000000
chrI	6200	6400	669	200	200	1.0000000
chrI	6400	6600	652	200	200	1.0000000
chrI	6600	6800	582	200	200	1.0000000
chrI	6800	7000	656	200	200	1.0000000
chrI	7000	7200	700	200	200	1.0000000
chrI	7200	7400	702	200	200	1.0000000
chrI	7400	7600	622	200	200	1.0000000
chrI	7600	7800	591	200	200	1.0000000
chrI	7800	8000	678	200	200	1.0000000
chrI	8000	8200	636	200	200	1.0000000
chrI	8200	8400	711	200	200	1.0000000
chrI	8400	8600	687	200	200	1.0000000
chrI	8600	8800	796	200	200	1.0000000
chrI	8800	9000	739	200	200	1.0000000
chrI	9000	9200	715	200	200	1.0000000
chrI	9200	9400	675	200	200	1.0000000
chrI	9400	9600	694	200	200	1.0000000
chrI	9600	9800	713	200	200	1.0000000
chrI	9800	10000	723	200	200	1.0000000
chrI	10000	10200	718	200	200	1.0000000
chrI	10200	10400	759	200	200	1.0000000
chrI	10400	10600	692	200	200	1.0000000
chrI	10600	10800	672	200	200	1.0000000
chrI	10800	11000	693	200	200	1.0000000
chrI	11000	11200	678	200	200	1.0000000
chrI	11200	11400	697	200	200	1.0000000
chrI	11400	11600	670	200	200	1.0000000
chrI	11600	11800	662	200	200	1.0000000
chrI	11800	12000	604	200	200	1.0000000
chrI	12000	12200	608	200	200	1.0000000
chrI	12200	12400	620	200	200	1.0000000
chrI	12400	12600	981	200	200	1.0000000
chrI	12600	12800	1885	200	200	1.0000000
chrI	12800	13000	707	200	200	1.0000000
chrI	13000	13200	742	200	200	1.0000000
chrI	13200	13400	658	200	200	1.0000000
chrI	13400	13600	679	200	200	1.0000000
chrI	13600	13800	610	200	200	1.0000000
chrI	13800	14000	632	200	200	1.0000000
chrI	14000	14200	659	200	200	1.0000000
chrI	14200	14400	651	200	200	1.0000000
chrI	14400	14600	679	200	200	1.0000000
chrI	14600	14800	637	200	200	1.0000000
chrI	14800	15000	670	200	200	1.0000000
chrI	15000	15200	656	200	200	1.0000000
chrI	15200	15400	625	200	200	1.0000000
chrI	15400	15600	570	200	200	1.0000000
chrI	15600	15800	628	200	200	1.0000000
chrI	15800	16000	710	200	200	1.0000000
chrI	16000	16200	711	200	200	1.0000000
chrI	16200	16400	678	200	200	1.0000000
chrI	16400	16600	666	200	200	1.0000000
chrI	16600	16800	638	200	200	1.0000000
chrI	16800	17000	637	200	200	1.0000000
chrI	17000	17200	718	200	200	1.0000000
chrI	17200	17400	742	200	200	1.0000000
chrI	17400	17600	729	200	200	1.0000000
chrI	17600	17800	691	200	200	1.0000000
chrI	17800	18000	676	200	200	1.0000000
chrI	18000	18200	719	200	200	1.0000000
chrI	18200	18400	661	200	200	1.0000000
chrI	18400	18600	650	200	200	1.0000000
chrI	18600	18800	585	200	200	1.0000000
chrI	18800	19000	590	200	200	1.0000000
chrI	19000	19200	661	200	200	1.0000000
