chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	364	200	200	1.0000000
chrI	200	400	572	200	200	1.0000000
chrI	400	600	647	200	200	1.0000000
chrI	600	800	713	200	200	1.0000000
chrI	800	1000	698	200	200	1.0000000
chrI	1000	1200	725	200	200	1.0000000
chrI	1200	1400	701	200	200	1.0000000
chrI	1400	1600	685	200	200	1.0000000
chrI	1600	1800	724	200	200	1.0000000
chrI	1800	2000	689	200	200	1.0000000
chrI	2000	2200	693	200	200	1.0000000
chrI	2200	2400	681	200	200	1.0000000
chrI	2400	2600	658	200	200	1.0000000
chrI	2600	2800	730	200	200	1.0000000
chrI	2800	3000	741	200	200	1.0000000
chrI	3000	3200	793	200	200	1.0000000
chrI	3200	3400	780	200	200	1.0000000
chrI	3400	3600	727	200	200	1.0000000
chrI	3600	3800	780	200	200	1.0000000
chrI	3800	4000	816	200	200	1.0000000
chrI	4000	4200	797	200	200	1.0000000
chrI	4200	4400	811	200	200	1.0000000
chrI	4400	4600	762	200	200	1.0000000
chrI	4600	4800	721	200	200	1.0000000
chrI	4800	5000	728	200	200	1.0000000
chrI	5000	5200	748	200	200	1.0000000
chrI	5200	5400	804	200	200	1.0000000
chrI	5400	5600	752	200	200	1.0000000
chrI	5600	5800	748	200	200	1.0000000
chrI	5800	6000	734	200	200	1.0000000
chrI	6000	6200	729	200	200	1.0000000
chrI	6200	6400	731	200	200	1.0000000
chrI	6400	6600	661	200	200	1.0000000
chrI	6600	6800	648	200	200	1.0000000
chrI	6800	7000	745	200	200	1.0000000
chrI	7000	7200	814	200	200	1.0000000
chrI	7200	7400	733	200	200	1.0000000
chrI	7400	7600	687	200	200	1.0000000
chrI	7600	7800	674	200	200	1.0000000
chrI	7800	8000	767	200	200	1.0000000
chrI	8000	8200	660	200	200	1.0000000
chrI	8200	8400	748	200	200	1.0000000
chrI	8400	8600	778	200	200	1.0000000
chrI	8600	8800	855	200	200	1.0000000
chrI	8800	9000	821	200	200	1.0000000
chrI	9000	9200	764	200	200	1.0000000
chrI	9200	9400	721	200	200	1.0000000
chrI	9400	9600	736	200	200	1.0000000
chrI	9600	9800	782	200	200	1.0000000
chrI	9800	10000	780	200	200	1.0000000
chrI	10000	10200	778	200	200	1.0000000
chrI	10200	10400	805	200	200	1.0000000
chrI	10400	10600	723	200	200	1.0000000
chrI	10600	10800	759	200	200	1.0000000
chrI	10800	11000	749	200	200	1.0000000
chrI	11000	11200	779	200	200	1.0000000
chrI	11200	11400	792	200	200	1.0000000
chrI	11400	11600	773	200	200	1.0000000
chrI	11600	11800	649	200	200	1.0000000
chrI	11800	12000	653	200	200	1.0000000
chrI	12000	12200	693	200	200	1.0000000
chrI	12200	12400	743	200	200	1.0000000
chrI	12400	12600	1095	200	200	1.0000000
chrI	12600	12800	2029	200	200	1.0000000
chrI	12800	13000	771	200	200	1.0000000
chrI	13000	13200	775	200	200	1.0000000
chrI	13200	13400	757	200	200	1.0000000
chrI	13400	13600	718	200	200	1.0000000
chrI	13600	13800	678	200	200	1.0000000
chrI	13800	14000	696	200	200	1.0000000
chrI	14000	14200	708	200	200	1.0000000
chrI	14200	14400	682	200	200	1.0000000
chrI	14400	14600	667	200	200	1.0000000
chrI	14600	14800	676	200	200	1.0000000
chrI	14800	15000	690	200	200	1.0000000
chrI	15000	15200	713	200	200	1.0000000
chrI	15200	15400	712	200	200	1.0000000
chrI	15400	15600	675	200	200	1.0000000
chrI	15600	15800	728	200	200	1.0000000
chrI	15800	16000	782	200	200	1.0000000
chrI	16000	16200	796	200	200	1.0000000
chrI	16200	16400	746	200	200	1.0000000
chrI	16400	16600	731	200	200	1.0000000
chrI	16600	16800	763	200	200	1.0000000
chrI	16800	17000	773	200	200	1.0000000
chrI	17000	17200	838	200	200	1.0000000
chrI	17200	17400	794	200	200	1.0000000
chrI	17400	17600	823	200	200	1.0000000
chrI	17600	17800	787	200	200	1.0000000
chrI	17800	18000	799	200	200	1.0000000
chrI	18000	18200	802	200	200	1.0000000
chrI	18200	18400	747	200	200	1.0000000
chrI	18400	18600	742	200	200	1.0000000
