chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	841	200	200	1.0000000
chrI	200	400	1066	200	200	1.0000000
chrI	400	600	1176	200	200	1.0000000
chrI	600	800	1226	200	200	1.0000000
chrI	800	1000	1163	200	200	1.0000000
chrI	1000	1200	1220	200	200	1.0000000
chrI	1200	1400	1160	200	200	1.0000000
chrI	1400	1600	1102	200	200	1.0000000
chrI	1600	1800	1155	200	200	1.0000000
chrI	1800	2000	1024	200	200	1.0000000
chrI	2000	2200	1133	200	200	1.0000000
chrI	2200	2400	1128	200	200	1.0000000
chrI	2400	2600	1095	200	200	1.0000000
chrI	2600	2800	1091	200	200	1.0000000
chrI	2800	3000	1165	200	200	1.0000000
chrI	3000	3200	1206	200	200	1.0000000
chrI	3200	3400	1168	200	200	1.0000000
chrI	3400	3600	1221	200	200	1.0000000
chrI	3600	3800	1232	200	200	1.0000000
chrI	3800	4000	1241	200	200	1.0000000
chrI	4000	4200	1216	200	200	1.0000000
chrI	4200	4400	1263	200	200	1.0000000
chrI	4400	4600	1252	200	200	1.0000000
chrI	4600	4800	1154	200	200	1.0000000
chrI	4800	5000	1146	200	200	1.0000000
chrI	5000	5200	1168	200	200	1.0000000
chrI	5200	5400	1148	200	200	1.0000000
chrI	5400	5600	1148	200	200	1.0000000
chrI	5600	5800	1141	200	200	1.0000000
chrI	5800	6000	1130	200	200	1.0000000
chrI	6000	6200	1157	200	200	1.0000000
chrI	6200	6400	1158	200	200	1.0000000
chrI	6400	6600	1051	200	200	1.0000000
chrI	6600	6800	1024	200	200	1.0000000
chrI	6800	7000	1106	200	200	1.0000000
chrI	7000	7200	1275	200	200	1.0000000
chrI	7200	7400	1210	200	200	1.0000000
chrI	7400	7600	1108	200	200	1.0000000
chrI	7600	7800	1092	200	200	1.0000000
chrI	7800	8000	1178	200	200	1.0000000
chrI	8000	8200	1114	200	200	1.0000000
chrI	8200	8400	1157	200	200	1.0000000
chrI	8400	8600	1258	200	200	1.0000000
chrI	8600	8800	1296	200	200	1.0000000
chrI	8800	9000	1258	200	200	1.0000000
chrI	9000	9200	1297	200	200	1.0000000
chrI	9200	9400	1213	200	200	1.0000000
chrI	9400	9600	1238	200	200	1.0000000
chrI	9600	9800	1246	200	200	1.0000000
chrI	9800	10000	1287	200	200	1.0000000
chrI	10000	10200	1279	200	200	1.0000000
chrI	10200	10400	1308	200	200	1.0000000
chrI	10400	10600	1239	200	200	1.0000000
chrI	10600	10800	1214	200	200	1.0000000
chrI	10800	11000	1225	200	200	1.0000000
chrI	11000	11200	1284	200	200	1.0000000
chrI	11200	11400	1242	200	200	1.0000000
chrI	11400	11600	1199	200	200	1.0000000
chrI	11600	11800	1059	200	200	1.0000000
chrI	11800	12000	1024	200	200	1.0000000
chrI	12000	12200	986	200	200	1.0000000
chrI	12200	12400	1030	200	200	1.0000000
chrI	12400	12600	1606	200	200	1.0000000
chrI	12600	12800	3148	200	200	1.0000000
chrI	12800	13000	1206	200	200	1.0000000
chrI	13000	13200	1224	200	200	1.0000000
chrI	13200	13400	1127	200	200	1.0000000
chrI	13400	13600	1085	200	200	1.0000000
chrI	13600	13800	1089	200	200	1.0000000
chrI	13800	14000	1106	200	200	1.0000000
chrI	14000	14200	1140	200	200	1.0000000
chrI	14200	14400	1156	200	200	1.0000000
chrI	14400	14600	1036	200	200	1.0000000
chrI	14600	14800	1096	200	200	1.0000000
chrI	14800	15000	1160	200	200	1.0000000
chrI	15000	15200	1125	200	200	1.0000000
chrI	15200	15400	1177	200	200	1.0000000
chrI	15400	15600	1036	200	200	1.0000000
chrI	15600	15800	1103	200	200	1.0000000
chrI	15800	16000	1159	200	200	1.0000000
chrI	16000	16200	1149	200	200	1.0000000
