chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	391	200	200	1.0000000
chrI	200	400	489	200	200	1.0000000
chrI	400	600	578	200	200	1.0000000
chrI	600	800	658	200	200	1.0000000
chrI	800	1000	739	200	200	1.0000000
chrI	1000	1200	749	200	200	1.0000000
chrI	1200	1400	618	200	200	1.0000000
chrI	1400	1600	588	200	200	1.0000000
chrI	1600	1800	628	200	200	1.0000000
chrI	1800	2000	556	200	200	1.0000000
chrI	2000	2200	608	200	200	1.0000000
chrI	2200	2400	588	200	200	1.0000000
chrI	2400	2600	561	200	200	1.0000000
chrI	2600	2800	597	200	200	1.0000000
chrI	2800	3000	648	200	200	1.0000000
chrI	3000	3200	651	200	200	1.0000000
chrI	3200	3400	617	200	200	1.0000000
chrI	3400	3600	658	200	200	1.0000000
chrI	3600	3800	688	200	200	1.0000000
chrI	3800	4000	662	200	200	1.0000000
chrI	4000	4200	659	200	200	1.0000000
chrI	4200	4400	665	200	200	1.0000000
chrI	4400	4600	627	200	200	1.0000000
chrI	4600	4800	640	200	200	1.0000000
chrI	4800	5000	588	200	200	1.0000000
chrI	5000	5200	636	200	200	1.0000000
chrI	5200	5400	658	200	200	1.0000000
chrI	5400	5600	636	200	200	1.0000000
chrI	5600	5800	605	200	200	1.0000000
chrI	5800	6000	565	200	200	1.0000000
chrI	6000	6200	587	200	200	1.0000000
chrI	6200	6400	586	200	200	1.0000000
chrI	6400	6600	554	200	200	1.0000000
chrI	6600	6800	503	200	200	1.0000000
chrI	6800	7000	523	200	200	1.0000000
chrI	7000	7200	653	200	200	1.0000000
chrI	7200	7400	675	200	200	1.0000000
chrI	7400	7600	639	200	200	1.0000000
chrI	7600	7800	590	200	200	1.0000000
chrI	7800	8000	591	200	200	1.0000000
chrI	8000	8200	527	200	200	1.0000000
chrI	8200	8400	602	200	200	1.0000000
chrI	8400	8600	660	200	200	1.0000000
chrI	8600	8800	675	200	200	1.0000000
chrI	8800	9000	674	200	200	1.0000000
chrI	9000	9200	703	200	200	1.0000000
chrI	9200	9400	638	200	200	1.0000000
chrI	9400	9600	640	200	200	1.0000000
chrI	9600	9800	619	200	200	1.0000000
chrI	9800	10000	637	200	200	1.0000000
chrI	10000	10200	707	200	200	1.0000000
chrI	10200	10400	689	200	200	1.0000000
chrI	10400	10600	627	200	200	1.0000000
chrI	10600	10800	597	200	200	1.0000000
chrI	10800	11000	626	200	200	1.0000000
chrI	11000	11200	661	200	200	1.0000000
chrI	11200	11400	657	200	200	1.0000000
chrI	11400	11600	634	200	200	1.0000000
chrI	11600	11800	558	200	200	1.0000000
chrI	11800	12000	500	200	200	1.0000000
chrI	12000	12200	505	200	200	1.0000000
chrI	12200	12400	500	200	200	1.0000000
chrI	12400	12600	797	200	200	1.0000000
chrI	12600	12800	1534	200	200	1.0000000
chrI	12800	13000	600	200	200	1.0000000
chrI	13000	13200	554	200	200	1.0000000
chrI	13200	13400	554	200	200	1.0000000
chrI	13400	13600	543	200	200	1.0000000
chrI	13600	13800	584	200	200	1.0000000
chrI	13800	14000	578	200	200	1.0000000
chrI	14000	14200	553	200	200	1.0000000
chrI	14200	14400	513	200	200	1.0000000
chrI	14400	14600	501	200	200	1.0000000
chrI	14600	14800	535	200	200	1.0000000
chrI	14800	15000	574	200	200	1.0000000
chrI	15000	15200	554	200	200	1.0000000
chrI	15200	15400	537	200	200	1.0000000
chrI	15400	15600	501	200	200	1.0000000
chrI	15600	15800	544	200	200	1.0000000
chrI	15800	16000	587	200	200	1.0000000
chrI	16000	16200	587	200	200	1.0000000
chrI	16200	16400	600	200	200	1.0000000
chrI	16400	16600	566	200	200	1.0000000
chrI	16600	16800	583	200	200	1.0000000
chrI	16800	17000	548	200	200	1.0000000
chrI	17000	17200	579	200	200	1.0000000
chrI	17200	17400	641	200	200	1.0000000
chrI	17400	17600	662	200	200	1.0000000
chrI	17600	17800	610	200	200	1.0000000
chrI	17800	18000	565	200	200	1.0000000
chrI	18000	18200	569	200	200	1.0000000
chrI	18200	18400	557	200	200	1.0000000
chrI	18400	18600	555	200	200	1.0000000
chrI	18600	18800	523	200	200	1.0000000
chrI	18800	19000	567	200	200	1.0000000
chrI	19000	19200	542	200	200	1.0000000
chrI	19200	19400	599	200	200	1.0000000
chrI	19400	19600	538	200	200	1.0000000
chrI	19600	19800	550	200	200	1.0000000
chrI	19800	20000	479	200	200	1.0000000
chrI	20000	20200	498	200	200	1.0000000
chrI	20200	20400	541	200	200	1.0000000
chrI	20400	20600	564	200	200	1.0000000
chrI	20600	20800	555	200	200	1.0000000
chrI	20800	21000	513	200	200	1.0000000
chrI	21000	21200	566	200	200	1.0000000
chrI	21200	21400	567	200	200	1.0000000
chrI	21400	21600	569	200	200	1.0000000
chrI	21600	21800	512	200	200	1.0000000
chrI	21800	22000	484	200	200	1.0000000
chrI	22000	22200	542	200	200	1.0000000
chrI	22200	22400	605	200	200	1.0000000
chrI	22400	22600	653	200	200	1.0000000
chrI	22600	22800	610	200	200	1.0000000
chrI	22800	23000	560	200	200	1.0000000
chrI	23000	23200	499	200	200	1.0000000
chrI	23200	23400	522	200	200	1.0000000
chrI	23400	23600	460	200	200	1.0000000
chrI	23600	23800	424	200	200	1.0000000
chrI	23800	24000	485	200	200	1.0000000
chrI	24000	24200	464	200	200	1.0000000
chrI	24200	24400	531	200	200	1.0000000
chrI	24400	24600	547	200	200	1.0000000
chrI	24600	24800	557	200	200	1.0000000
chrI	24800	25000	572	200	200	1.0000000
chrI	25000	25200	548	200	200	1.0000000
chrI	25200	25400	532	200	200	1.0000000
chrI	25400	25600	499	200	200	1.0000000
chrI	25600	25800	340	200	200	1.0000000
chrI	25800	26000	449	200	200	1.0000000
chrI	26000	26200	354	200	200	1.0000000
chrI	26200	26400	365	200	200	1.0000000
chrI	26400	26600	334	200	200	1.0000000
chrI	26600	26800	298	200	200	1.0000000
chrI	26800	27000	846	200	200	1.0000000
chrI	27000	27200	752	200	200	1.0000000
chrI	27200	27400	510	200	200	1.0000000
chrI	27400	27600	472	200	200	1.0000000
chrI	27600	27800	550	200	200	1.0000000
chrI	27800	28000	575	200	200	1.0000000
chrI	28000	28200	582	200	200	1.0000000
chrI	28200	28400	559	200	200	1.0000000
chrI	28400	28600	499	200	200	1.0000000
chrI	28600	28800	510	200	200	1.0000000
chrI	28800	29000	502	200	200	1.0000000
chrI	29000	29200	513	200	200	1.0000000
chrI	29200	29400	494	200	200	1.0000000
chrI	29400	29600	480	200	200	1.0000000
chrI	29600	29800	522	200	200	1.0000000
chrI	29800	30000	506	200	200	1.0000000
chrI	30000	30200	514	200	200	1.0000000
chrI	30200	30400	511	200	200	1.0000000
chrI	30400	30600	539	200	200	1.0000000
chrI	30600	30800	533	200	200	1.0000000
chrI	30800	31000	502	200	200	1.0000000
chrI	31000	31200	462	200	200	1.0000000
chrI	31200	31400	484	200	200	1.0000000
chrI	31400	31600	463	200	200	1.0000000
chrI	31600	31800	422	200	200	1.0000000
chrI	31800	32000	483	200	200	1.0000000
chrI	32000	32200	474	200	200	1.0000000
chrI	32200	32400	433	200	200	1.0000000
chrI	32400	32600	384	200	200	1.0000000
chrI	32600	32800	395	200	200	1.0000000
chrI	32800	33000	465	200	200	1.0000000
chrI	33000	33200	464	200	200	1.0000000
chrI	33200	33400	504	200	200	1.0000000
chrI	33400	33600	456	200	200	1.0000000
chrI	33600	33800	393	200	200	1.0000000
chrI	33800	34000	376	200	200	1.0000000
chrI	34000	34200	369	200	200	1.0000000
chrI	34200	34400	414	200	200	1.0000000
chrI	34400	34600	455	200	200	1.0000000
chrI	34600	34800	460	200	200	1.0000000
chrI	34800	35000	481	200	200	1.0000000
chrI	35000	35200	427	200	200	1.0000000
chrI	35200	35400	409	200	200	1.0000000
chrI	35400	35600	453	200	200	1.0000000
chrI	35600	35800	508	200	200	1.0000000
chrI	35800	36000	482	200	200	1.0000000
chrI	36000	36200	458	200	200	1.0000000
chrI	36200	36400	467	200	200	1.0000000
chrI	36400	36600	540	200	200	1.0000000
chrI	36600	36800	520	200	200	1.0000000
chrI	36800	37000	489	200	200	1.0000000
chrI	37000	37200	488	200	200	1.0000000
chrI	37200	37400	525	200	200	1.0000000
chrI	37400	37600	495	200	200	1.0000000
chrI	37600	37800	490	200	200	1.0000000
chrI	37800	38000	423	200	200	1.0000000
chrI	38000	38200	477	200	200	1.0000000
chrI	38200	38400	417	200	200	1.0000000
chrI	38400	38600	419	200	200	1.0000000
chrI	38600	38800	390	200	200	1.0000000
chrI	38800	39000	407	200	200	1.0000000
chrI	39000	39200	487	200	200	1.0000000
chrI	39200	39400	463	200	200	1.0000000
chrI	39400	39600	456	200	200	1.0000000
chrI	39600	39800	430	200	200	1.0000000
chrI	39800	40000	516	200	200	1.0000000
chrI	40000	40200	440	200	200	1.0000000
chrI	40200	40400	458	200	200	1.0000000
chrI	40400	40600	516	200	200	1.0000000
chrI	40600	40800	465	200	200	1.0000000
chrI	40800	41000	434	200	200	1.0000000
chrI	41000	41200	437	200	200	1.0000000
chrI	41200	41400	498	200	200	1.0000000
chrI	41400	41600	519	200	200	1.0000000
chrI	41600	41800	525	200	200	1.0000000
chrI	41800	42000	526	200	200	1.0000000
chrI	42000	42200	486	200	200	1.0000000
chrI	42200	42400	461	200	200	1.0000000
chrI	42400	42600	465	200	200	1.0000000
chrI	42600	42800	468	200	200	1.0000000
chrI	42800	43000	406	200	200	1.0000000
chrI	43000	43200	439	200	200	1.0000000
chrI	43200	43400	440	200	200	1.0000000
chrI	43400	43600	424	200	200	1.0000000
chrI	43600	43800	393	200	200	1.0000000
chrI	43800	44000	416	200	200	1.0000000
chrI	44000	44200	437	200	200	1.0000000
