chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	406	200	200	1.0000000
chrI	200	400	582	200	200	1.0000000
chrI	400	600	623	200	200	1.0000000
chrI	600	800	704	200	200	1.0000000
chrI	800	1000	673	200	200	1.0000000
chrI	1000	1200	711	200	200	1.0000000
chrI	1200	1400	696	200	200	1.0000000
chrI	1400	1600	626	200	200	1.0000000
chrI	1600	1800	701	200	200	1.0000000
chrI	1800	2000	611	200	200	1.0000000
chrI	2000	2200	725	200	200	1.0000000
chrI	2200	2400	698	200	200	1.0000000
chrI	2400	2600	687	200	200	1.0000000
chrI	2600	2800	671	200	200	1.0000000
chrI	2800	3000	773	200	200	1.0000000
chrI	3000	3200	709	200	200	1.0000000
chrI	3200	3400	683	200	200	1.0000000
chrI	3400	3600	719	200	200	1.0000000
chrI	3600	3800	722	200	200	1.0000000
chrI	3800	4000	736	200	200	1.0000000
chrI	4000	4200	739	200	200	1.0000000
chrI	4200	4400	686	200	200	1.0000000
chrI	4400	4600	725	200	200	1.0000000
chrI	4600	4800	752	200	200	1.0000000
chrI	4800	5000	729	200	200	1.0000000
chrI	5000	5200	678	200	200	1.0000000
chrI	5200	5400	667	200	200	1.0000000
chrI	5400	5600	725	200	200	1.0000000
chrI	5600	5800	760	200	200	1.0000000
chrI	5800	6000	695	200	200	1.0000000
chrI	6000	6200	616	200	200	1.0000000
chrI	6200	6400	662	200	200	1.0000000
chrI	6400	6600	635	200	200	1.0000000
chrI	6600	6800	608	200	200	1.0000000
chrI	6800	7000	690	200	200	1.0000000
chrI	7000	7200	771	200	200	1.0000000
chrI	7200	7400	687	200	200	1.0000000
chrI	7400	7600	654	200	200	1.0000000
chrI	7600	7800	684	200	200	1.0000000
chrI	7800	8000	684	200	200	1.0000000
chrI	8000	8200	627	200	200	1.0000000
chrI	8200	8400	641	200	200	1.0000000
chrI	8400	8600	743	200	200	1.0000000
chrI	8600	8800	762	200	200	1.0000000
chrI	8800	9000	755	200	200	1.0000000
chrI	9000	9200	747	200	200	1.0000000
chrI	9200	9400	735	200	200	1.0000000
chrI	9400	9600	685	200	200	1.0000000
chrI	9600	9800	689	200	200	1.0000000
chrI	9800	10000	716	200	200	1.0000000
chrI	10000	10200	748	200	200	1.0000000
chrI	10200	10400	781	200	200	1.0000000
chrI	10400	10600	697	200	200	1.0000000
chrI	10600	10800	691	200	200	1.0000000
chrI	10800	11000	757	200	200	1.0000000
chrI	11000	11200	776	200	200	1.0000000
chrI	11200	11400	763	200	200	1.0000000
chrI	11400	11600	759	200	200	1.0000000
chrI	11600	11800	740	200	200	1.0000000
chrI	11800	12000	624	200	200	1.0000000
chrI	12000	12200	612	200	200	1.0000000
chrI	12200	12400	636	200	200	1.0000000
chrI	12400	12600	938	200	200	1.0000000
chrI	12600	12800	1791	200	200	1.0000000
chrI	12800	13000	754	200	200	1.0000000
chrI	13000	13200	817	200	200	1.0000000
chrI	13200	13400	718	200	200	1.0000000
chrI	13400	13600	692	200	200	1.0000000
chrI	13600	13800	684	200	200	1.0000000
chrI	13800	14000	694	200	200	1.0000000
chrI	14000	14200	642	200	200	1.0000000
chrI	14200	14400	582	200	200	1.0000000
chrI	14400	14600	594	200	200	1.0000000
chrI	14600	14800	643	200	200	1.0000000
chrI	14800	15000	664	200	200	1.0000000
chrI	15000	15200	642	200	200	1.0000000
chrI	15200	15400	638	200	200	1.0000000
chrI	15400	15600	625	200	200	1.0000000
chrI	15600	15800	672	200	200	1.0000000
chrI	15800	16000	694	200	200	1.0000000
chrI	16000	16200	750	200	200	1.0000000
chrI	16200	16400	768	200	200	1.0000000
chrI	16400	16600	713	200	200	1.0000000
chrI	16600	16800	699	200	200	1.0000000
chrI	16800	17000	685	200	200	1.0000000
chrI	17000	17200	709	200	200	1.0000000
chrI	17200	17400	727	200	200	1.0000000
chrI	17400	17600	725	200	200	1.0000000
chrI	17600	17800	733	200	200	1.0000000
chrI	17800	18000	736	200	200	1.0000000
chrI	18000	18200	726	200	200	1.0000000
chrI	18200	18400	739	200	200	1.0000000
chrI	18400	18600	733	200	200	1.0000000
chrI	18600	18800	702	200	200	1.0000000
chrI	18800	19000	701	200	200	1.0000000
chrI	19000	19200	711	200	200	1.0000000
chrI	19200	19400	714	200	200	1.0000000
chrI	19400	19600	675	200	200	1.0000000
chrI	19600	19800	662	200	200	1.0000000
chrI	19800	20000	590	200	200	1.0000000
chrI	20000	20200	576	200	200	1.0000000
chrI	20200	20400	596	200	200	1.0000000
chrI	20400	20600	696	200	200	1.0000000
