chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	328	200	200	1.0000000
chrI	200	400	428	200	200	1.0000000
chrI	400	600	433	200	200	1.0000000
chrI	600	800	527	200	200	1.0000000
chrI	800	1000	548	200	200	1.0000000
chrI	1000	1200	506	200	200	1.0000000
chrI	1200	1400	461	200	200	1.0000000
chrI	1400	1600	420	200	200	1.0000000
chrI	1600	1800	475	200	200	1.0000000
chrI	1800	2000	414	200	200	1.0000000
chrI	2000	2200	475	200	200	1.0000000
chrI	2200	2400	508	200	200	1.0000000
chrI	2400	2600	495	200	200	1.0000000
chrI	2600	2800	519	200	200	1.0000000
chrI	2800	3000	548	200	200	1.0000000
chrI	3000	3200	517	200	200	1.0000000
chrI	3200	3400	485	200	200	1.0000000
chrI	3400	3600	536	200	200	1.0000000
chrI	3600	3800	515	200	200	1.0000000
chrI	3800	4000	540	200	200	1.0000000
chrI	4000	4200	528	200	200	1.0000000
chrI	4200	4400	505	200	200	1.0000000
chrI	4400	4600	535	200	200	1.0000000
chrI	4600	4800	535	200	200	1.0000000
chrI	4800	5000	487	200	200	1.0000000
chrI	5000	5200	534	200	200	1.0000000
chrI	5200	5400	535	200	200	1.0000000
chrI	5400	5600	517	200	200	1.0000000
chrI	5600	5800	513	200	200	1.0000000
chrI	5800	6000	506	200	200	1.0000000
chrI	6000	6200	506	200	200	1.0000000
chrI	6200	6400	514	200	200	1.0000000
chrI	6400	6600	453	200	200	1.0000000
chrI	6600	6800	438	200	200	1.0000000
chrI	6800	7000	484	200	200	1.0000000
chrI	7000	7200	557	200	200	1.0000000
chrI	7200	7400	518	200	200	1.0000000
chrI	7400	7600	489	200	200	1.0000000
chrI	7600	7800	470	200	200	1.0000000
chrI	7800	8000	499	200	200	1.0000000
chrI	8000	8200	461	200	200	1.0000000
chrI	8200	8400	481	200	200	1.0000000
chrI	8400	8600	583	200	200	1.0000000
chrI	8600	8800	607	200	200	1.0000000
chrI	8800	9000	565	200	200	1.0000000
chrI	9000	9200	558	200	200	1.0000000
chrI	9200	9400	511	200	200	1.0000000
chrI	9400	9600	488	200	200	1.0000000
chrI	9600	9800	570	200	200	1.0000000
chrI	9800	10000	556	200	200	1.0000000
chrI	10000	10200	551	200	200	1.0000000
chrI	10200	10400	562	200	200	1.0000000
chrI	10400	10600	529	200	200	1.0000000
chrI	10600	10800	511	200	200	1.0000000
chrI	10800	11000	514	200	200	1.0000000
chrI	11000	11200	533	200	200	1.0000000
chrI	11200	11400	555	200	200	1.0000000
chrI	11400	11600	536	200	200	1.0000000
chrI	11600	11800	452	200	200	1.0000000
chrI	11800	12000	462	200	200	1.0000000
chrI	12000	12200	452	200	200	1.0000000
chrI	12200	12400	471	200	200	1.0000000
chrI	12400	12600	695	200	200	1.0000000
chrI	12600	12800	1376	200	200	1.0000000
chrI	12800	13000	535	200	200	1.0000000
chrI	13000	13200	541	200	200	1.0000000
chrI	13200	13400	481	200	200	1.0000000
chrI	13400	13600	450	200	200	1.0000000
chrI	13600	13800	448	200	200	1.0000000
chrI	13800	14000	508	200	200	1.0000000
chrI	14000	14200	552	200	200	1.0000000
