chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	376	200	200	1.0000000
chrI	200	400	571	200	200	1.0000000
chrI	400	600	692	200	200	1.0000000
chrI	600	800	701	200	200	1.0000000
chrI	800	1000	743	200	200	1.0000000
chrI	1000	1200	744	200	200	1.0000000
chrI	1200	1400	683	200	200	1.0000000
chrI	1400	1600	703	200	200	1.0000000
chrI	1600	1800	768	200	200	1.0000000
chrI	1800	2000	607	200	200	1.0000000
chrI	2000	2200	651	200	200	1.0000000
chrI	2200	2400	611	200	200	1.0000000
chrI	2400	2600	647	200	200	1.0000000
chrI	2600	2800	682	200	200	1.0000000
chrI	2800	3000	709	200	200	1.0000000
chrI	3000	3200	741	200	200	1.0000000
chrI	3200	3400	722	200	200	1.0000000
chrI	3400	3600	700	200	200	1.0000000
chrI	3600	3800	707	200	200	1.0000000
chrI	3800	4000	780	200	200	1.0000000
chrI	4000	4200	746	200	200	1.0000000
chrI	4200	4400	736	200	200	1.0000000
chrI	4400	4600	729	200	200	1.0000000
chrI	4600	4800	689	200	200	1.0000000
chrI	4800	5000	762	200	200	1.0000000
chrI	5000	5200	726	200	200	1.0000000
chrI	5200	5400	778	200	200	1.0000000
chrI	5400	5600	759	200	200	1.0000000
chrI	5600	5800	761	200	200	1.0000000
chrI	5800	6000	725	200	200	1.0000000
chrI	6000	6200	743	200	200	1.0000000
chrI	6200	6400	720	200	200	1.0000000
chrI	6400	6600	676	200	200	1.0000000
chrI	6600	6800	604	200	200	1.0000000
chrI	6800	7000	722	200	200	1.0000000
chrI	7000	7200	784	200	200	1.0000000
chrI	7200	7400	771	200	200	1.0000000
chrI	7400	7600	712	200	200	1.0000000
chrI	7600	7800	681	200	200	1.0000000
chrI	7800	8000	690	200	200	1.0000000
chrI	8000	8200	647	200	200	1.0000000
chrI	8200	8400	667	200	200	1.0000000
chrI	8400	8600	737	200	200	1.0000000
chrI	8600	8800	817	200	200	1.0000000
chrI	8800	9000	770	200	200	1.0000000
chrI	9000	9200	768	200	200	1.0000000
chrI	9200	9400	716	200	200	1.0000000
chrI	9400	9600	703	200	200	1.0000000
chrI	9600	9800	700	200	200	1.0000000
chrI	9800	10000	764	200	200	1.0000000
chrI	10000	10200	767	200	200	1.0000000
chrI	10200	10400	766	200	200	1.0000000
chrI	10400	10600	715	200	200	1.0000000
chrI	10600	10800	750	200	200	1.0000000
chrI	10800	11000	740	200	200	1.0000000
chrI	11000	11200	816	200	200	1.0000000
chrI	11200	11400	737	200	200	1.0000000
chrI	11400	11600	732	200	200	1.0000000
chrI	11600	11800	648	200	200	1.0000000
chrI	11800	12000	624	200	200	1.0000000
chrI	12000	12200	678	200	200	1.0000000
chrI	12200	12400	681	200	200	1.0000000
chrI	12400	12600	960	200	200	1.0000000
chrI	12600	12800	1830	200	200	1.0000000
chrI	12800	13000	743	200	200	1.0000000
chrI	13000	13200	756	200	200	1.0000000
chrI	13200	13400	729	200	200	1.0000000
chrI	13400	13600	702	200	200	1.0000000
chrI	13600	13800	667	200	200	1.0000000
chrI	13800	14000	682	200	200	1.0000000
chrI	14000	14200	710	200	200	1.0000000
chrI	14200	14400	651	200	200	1.0000000
chrI	14400	14600	652	200	200	1.0000000
chrI	14600	14800	666	200	200	1.0000000
chrI	14800	15000	671	200	200	1.0000000
chrI	15000	15200	706	200	200	1.0000000
chrI	15200	15400	696	200	200	1.0000000
chrI	15400	15600	655	200	200	1.0000000
chrI	15600	15800	739	200	200	1.0000000
chrI	15800	16000	768	200	200	1.0000000
chrI	16000	16200	779	200	200	1.0000000
chrI	16200	16400	766	200	200	1.0000000
chrI	16400	16600	713	200	200	1.0000000
chrI	16600	16800	712	200	200	1.0000000
chrI	16800	17000	648	200	200	1.0000000
chrI	17000	17200	706	200	200	1.0000000
chrI	17200	17400	707	200	200	1.0000000
chrI	17400	17600	716	200	200	1.0000000
chrI	17600	17800	638	200	200	1.0000000
chrI	17800	18000	601	200	200	1.0000000
chrI	18000	18200	735	200	200	1.0000000
chrI	18200	18400	726	200	200	1.0000000
chrI	18400	18600	727	200	200	1.0000000
chrI	18600	18800	678	200	200	1.0000000
chrI	18800	19000	669	200	200	1.0000000
chrI	19000	19200	665	200	200	1.0000000
chrI	19200	19400	672	200	200	1.0000000
chrI	19400	19600	636	200	200	1.0000000
chrI	19600	19800	691	200	200	1.0000000
chrI	19800	20000	614	200	200	1.0000000
chrI	20000	20200	590	200	200	1.0000000
chrI	20200	20400	638	200	200	1.0000000
chrI	20400	20600	733	200	200	1.0000000
chrI	20600	20800	643	200	200	1.0000000
chrI	20800	21000	635	200	200	1.0000000
chrI	21000	21200	671	200	200	1.0000000
chrI	21200	21400	664	200	200	1.0000000
chrI	21400	21600	690	200	200	1.0000000
chrI	21600	21800	642	200	200	1.0000000
chrI	21800	22000	659	200	200	1.0000000
chrI	22000	22200	685	200	200	1.0000000
chrI	22200	22400	729	200	200	1.0000000
chrI	22400	22600	743	200	200	1.0000000
chrI	22600	22800	671	200	200	1.0000000
chrI	22800	23000	683	200	200	1.0000000
chrI	23000	23200	682	200	200	1.0000000
chrI	23200	23400	683	200	200	1.0000000
chrI	23400	23600	567	200	200	1.0000000
chrI	23600	23800	496	200	200	1.0000000
chrI	23800	24000	588	200	200	1.0000000
chrI	24000	24200	581	200	200	1.0000000
chrI	24200	24400	614	200	200	1.0000000
chrI	24400	24600	618	200	200	1.0000000
chrI	24600	24800	707	200	200	1.0000000
chrI	24800	25000	684	200	200	1.0000000
chrI	25000	25200	712	200	200	1.0000000
chrI	25200	25400	674	200	200	1.0000000
chrI	25400	25600	655	200	200	1.0000000
chrI	25600	25800	430	200	200	1.0000000
chrI	25800	26000	534	200	200	1.0000000
chrI	26000	26200	453	200	200	1.0000000
chrI	26200	26400	489	200	200	1.0000000
chrI	26400	26600	386	200	200	1.0000000
chrI	26600	26800	386	200	200	1.0000000
chrI	26800	27000	1003	200	200	1.0000000
chrI	27000	27200	1006	200	200	1.0000000
chrI	27200	27400	585	200	200	1.0000000
chrI	27400	27600	610	200	200	1.0000000
chrI	27600	27800	648	200	200	1.0000000
chrI	27800	28000	673	200	200	1.0000000
chrI	28000	28200	713	200	200	1.0000000
chrI	28200	28400	708	200	200	1.0000000
chrI	28400	28600	656	200	200	1.0000000
chrI	28600	28800	619	200	200	1.0000000
chrI	28800	29000	601	200	200	1.0000000
chrI	29000	29200	645	200	200	1.0000000
chrI	29200	29400	608	200	200	1.0000000
chrI	29400	29600	657	200	200	1.0000000
chrI	29600	29800	702	200	200	1.0000000
chrI	29800	30000	672	200	200	1.0000000
chrI	30000	30200	651	200	200	1.0000000
chrI	30200	30400	604	200	200	1.0000000
chrI	30400	30600	614	200	200	1.0000000
chrI	30600	30800	655	200	200	1.0000000
chrI	30800	31000	629	200	200	1.0000000
chrI	31000	31200	587	200	200	1.0000000
chrI	31200	31400	603	200	200	1.0000000
chrI	31400	31600	589	200	200	1.0000000
chrI	31600	31800	543	200	200	1.0000000
chrI	31800	32000	544	200	200	1.0000000
chrI	32000	32200	552	200	200	1.0000000
chrI	32200	32400	573	200	200	1.0000000
chrI	32400	32600	518	200	200	1.0000000
chrI	32600	32800	514	200	200	1.0000000
chrI	32800	33000	542	200	200	1.0000000
chrI	33000	33200	597	200	200	1.0000000
chrI	33200	33400	617	200	200	1.0000000
chrI	33400	33600	591	200	200	1.0000000
chrI	33600	33800	501	200	200	1.0000000
chrI	33800	34000	465	200	200	1.0000000
chrI	34000	34200	449	200	200	1.0000000
chrI	34200	34400	479	200	200	1.0000000
chrI	34400	34600	526	200	200	1.0000000
chrI	34600	34800	569	200	200	1.0000000
chrI	34800	35000	537	200	200	1.0000000
chrI	35000	35200	508	200	200	1.0000000
chrI	35200	35400	485	200	200	1.0000000
chrI	35400	35600	519	200	200	1.0000000
chrI	35600	35800	570	200	200	1.0000000
chrI	35800	36000	599	200	200	1.0000000
chrI	36000	36200	567	200	200	1.0000000
chrI	36200	36400	614	200	200	1.0000000
chrI	36400	36600	629	200	200	1.0000000
chrI	36600	36800	619	200	200	1.0000000
chrI	36800	37000	563	200	200	1.0000000
chrI	37000	37200	618	200	200	1.0000000
chrI	37200	37400	657	200	200	1.0000000
chrI	37400	37600	619	200	200	1.0000000
chrI	37600	37800	609	200	200	1.0000000
chrI	37800	38000	614	200	200	1.0000000
chrI	38000	38200	561	200	200	1.0000000
chrI	38200	38400	508	200	200	1.0000000
chrI	38400	38600	495	200	200	1.0000000
chrI	38600	38800	513	200	200	1.0000000
chrI	38800	39000	524	200	200	1.0000000
chrI	39000	39200	587	200	200	1.0000000
chrI	39200	39400	520	200	200	1.0000000
chrI	39400	39600	570	200	200	1.0000000
chrI	39600	39800	558	200	200	1.0000000
chrI	39800	40000	602	200	200	1.0000000
chrI	40000	40200	593	200	200	1.0000000
chrI	40200	40400	631	200	200	1.0000000
chrI	40400	40600	618	200	200	1.0000000
chrI	40600	40800	562	200	200	1.0000000
chrI	40800	41000	524	200	200	1.0000000
chrI	41000	41200	558	200	200	1.0000000
chrI	41200	41400	571	200	200	1.0000000
chrI	41400	41600	544	200	200	1.0000000
chrI	41600	41800	609	200	200	1.0000000
chrI	41800	42000	645	200	200	1.0000000
chrI	42000	42200	605	200	200	1.0000000
chrI	42200	42400	583	200	200	1.0000000
chrI	42400	42600	546	200	200	1.0000000
chrI	42600	42800	596	200	200	1.0000000
chrI	42800	43000	589	200	200	1.0000000
chrI	43000	43200	598	200	200	1.0000000
chrI	43200	43400	570	200	200	1.0000000
chrI	43400	43600	547	200	200	1.0000000
chrI	43600	43800	532	200	200	1.0000000
chrI	43800	44000	549	200	200	1.0000000
chrI	44000	44200	549	200	200	1.0000000
chrI	44200	44400	503	200	200	1.0000000
chrI	44400	44600	516	200	200	1.0000000
chrI	44600	44800	483	200	200	1.0000000
chrI	44800	45000	451	200	200	1.0000000
chrI	45000	45200	467	200	200	1.0000000
chrI	45200	45400	417	200	200	1.0000000
chrI	45400	45600	412	200	200	1.0000000
chrI	45600	45800	459	200	200	1.0000000
chrI	45800	46000	488	200	200	1.0000000
chrI	46000	46200	496	200	200	1.0000000
chrI	46200	46400	475	200	200	1.0000000
chrI	46400	46600	487	200	200	1.0000000
chrI	46600	46800	557	200	200	1.0000000
chrI	46800	47000	573	200	200	1.0000000
chrI	47000	47200	583	200	200	1.0000000
chrI	47200	47400	608	200	200	1.0000000
chrI	47400	47600	646	200	200	1.0000000
chrI	47600	47800	599	200	200	1.0000000
chrI	47800	48000	580	200	200	1.0000000
chrI	48000	48200	503	200	200	1.0000000
chrI	48200	48400	536	200	200	1.0000000
chrI	48400	48600	528	200	200	1.0000000
chrI	48600	48800	516	200	200	1.0000000
chrI	48800	49000	526	200	200	1.0000000
chrI	49000	49200	557	200	200	1.0000000
chrI	49200	49400	572	200	200	1.0000000
chrI	49400	49600	615	200	200	1.0000000
chrI	49600	49800	594	200	200	1.0000000
chrI	49800	50000	601	200	200	1.0000000
chrI	50000	50200	514	200	200	1.0000000
chrI	50200	50400	571	200	200	1.0000000
chrI	50400	50600	600	200	200	1.0000000
chrI	50600	50800	609	200	200	1.0000000
chrI	50800	51000	595	200	200	1.0000000
chrI	51000	51200	558	200	200	1.0000000
chrI	51200	51400	551	200	200	1.0000000
chrI	51400	51600	543	200	200	1.0000000
chrI	51600	51800	579	200	200	1.0000000
chrI	51800	52000	535	200	200	1.0000000
chrI	52000	52200	504	200	200	1.0000000
chrI	52200	52400	510	200	200	1.0000000
chrI	52400	52600	515	200	200	1.0000000
chrI	52600	52800	528	200	200	1.0000000
chrI	52800	53000	533	200	200	1.0000000
chrI	53000	53200	561	200	200	1.0000000
chrI	53200	53400	551	200	200	1.0000000
chrI	53400	53600	517	200	200	1.0000000
chrI	53600	53800	526	200	200	1.0000000
chrI	53800	54000	542	200	200	1.0000000
chrI	54000	54200	585	200	200	1.0000000
chrI	54200	54400	553	200	200	1.0000000
chrI	54400	54600	584	200	200	1.0000000
chrI	54600	54800	606	200	200	1.0000000
chrI	54800	55000	618	200	200	1.0000000
chrI	55000	55200	590	200	200	1.0000000
chrI	55200	55400	593	200	200	1.0000000
chrI	55400	55600	625	200	200	1.0000000
chrI	55600	55800	638	200	200	1.0000000
chrI	55800	56000	553	200	200	1.0000000
chrI	56000	56200	509	200	200	1.0000000
chrI	56200	56400	542	200	200	1.0000000
chrI	56400	56600	530	200	200	1.0000000
chrI	56600	56800	515	200	200	1.0000000
chrI	56800	57000	525	200	200	1.0000000
chrI	57000	57200	478	200	200	1.0000000
chrI	57200	57400	529	200	200	1.0000000
chrI	57400	57600	552	200	200	1.0000000
chrI	57600	57800	512	200	200	1.0000000
chrI	57800	58000	486	200	200	1.0000000
chrI	58000	58200	437	200	200	1.0000000
chrI	58200	58400	494	200	200	1.0000000
chrI	58400	58600	496	200	200	1.0000000
chrI	58600	58800	502	200	200	1.0000000
chrI	58800	59000	542	200	200	1.0000000
chrI	59000	59200	500	200	200	1.0000000
chrI	59200	59400	486	200	200	1.0000000
chrI	59400	59600	453	200	200	1.0000000
chrI	59600	59800	477	200	200	1.0000000
chrI	59800	60000	468	200	200	1.0000000
chrI	60000	60200	425	200	200	1.0000000
chrI	60200	60400	447	200	200	1.0000000
chrI	60400	60600	444	200	200	1.0000000
chrI	60600	60800	453	200	200	1.0000000
chrI	60800	61000	465	200	200	1.0000000
chrI	61000	61200	495	200	200	1.0000000
chrI	61200	61400	472	200	200	1.0000000
chrI	61400	61600	430	200	200	1.0000000
chrI	61600	61800	429	200	200	1.0000000
chrI	61800	62000	461	200	200	1.0000000
chrI	62000	62200	517	200	200	1.0000000
chrI	62200	62400	491	200	200	1.0000000
chrI	62400	62600	447	200	200	1.0000000
chrI	62600	62800	519	200	200	1.0000000
chrI	62800	63000	489	200	200	1.0000000
chrI	63000	63200	436	200	200	1.0000000
chrI	63200	63400	432	200	200	1.0000000
chrI	63400	63600	476	200	200	1.0000000
chrI	63600	63800	508	200	200	1.0000000
chrI	63800	64000	546	200	200	1.0000000
chrI	64000	64200	506	200	200	1.0000000
chrI	64200	64400	544	200	200	1.0000000
chrI	64400	64600	536	200	200	1.0000000
chrI	64600	64800	554	200	200	1.0000000
chrI	64800	65000	508	200	200	1.0000000
chrI	65000	65200	540	200	200	1.0000000
chrI	65200	65400	545	200	200	1.0000000
chrI	65400	65600	543	200	200	1.0000000
chrI	65600	65800	502	200	200	1.0000000
chrI	65800	66000	486	200	200	1.0000000
chrI	66000	66200	459	200	200	1.0000000
chrI	66200	66400	530	200	200	1.0000000
chrI	66400	66600	505	200	200	1.0000000
chrI	66600	66800	448	200	200	1.0000000
chrI	66800	67000	440	200	200	1.0000000
chrI	67000	67200	459	200	200	1.0000000
chrI	67200	67400	441	200	200	1.0000000
chrI	67400	67600	449	200	200	1.0000000
chrI	67600	67800	468	200	200	1.0000000
chrI	67800	68000	472	200	200	1.0000000
chrI	68000	68200	409	200	200	1.0000000
chrI	68200	68400	337	200	200	1.0000000
chrI	68400	68600	393	200	200	1.0000000
chrI	68600	68800	402	200	200	1.0000000
chrI	68800	69000	382	200	200	1.0000000
chrI	69000	69200	380	200	200	1.0000000
chrI	69200	69400	380	200	200	1.0000000
chrI	69400	69600	346	200	200	1.0000000
chrI	69600	69800	358	200	200	1.0000000
chrI	69800	70000	375	200	200	1.0000000
chrI	70000	70200	436	200	200	1.0000000
chrI	70200	70400	461	200	200	1.0000000
chrI	70400	70600	453	200	200	1.0000000
chrI	70600	70800	357	200	200	1.0000000
chrI	70800	71000	285	200	200	1.0000000
chrI	71000	71200	323	200	200	1.0000000
chrI	71200	71400	406	200	200	1.0000000
chrI	71400	71600	451	200	200	1.0000000
chrI	71600	71800	481	200	200	1.0000000
chrI	71800	72000	456	200	200	1.0000000
chrI	72000	72200	463	200	200	1.0000000
chrI	72200	72400	452	200	200	1.0000000
chrI	72400	72600	405	200	200	1.0000000
chrI	72600	72800	423	200	200	1.0000000
chrI	72800	73000	427	200	200	1.0000000
chrI	73000	73200	438	200	200	1.0000000
chrI	73200	73400	503	200	200	1.0000000
chrI	73400	73600	522	200	200	1.0000000
chrI	73600	73800	530	200	200	1.0000000
chrI	73800	74000	532	200	200	1.0000000
chrI	74000	74200	498	200	200	1.0000000
chrI	74200	74400	474	200	200	1.0000000
chrI	74400	74600	453	200	200	1.0000000
chrI	74600	74800	436	200	200	1.0000000
chrI	74800	75000	468	200	200	1.0000000
chrI	75000	75200	467	200	200	1.0000000
chrI	75200	75400	462	200	200	1.0000000
chrI	75400	75600	434	200	200	1.0000000
chrI	75600	75800	440	200	200	1.0000000
chrI	75800	76000	389	200	200	1.0000000
chrI	76000	76200	410	200	200	1.0000000
chrI	76200	76400	447	200	200	1.0000000
chrI	76400	76600	436	200	200	1.0000000
chrI	76600	76800	455	200	200	1.0000000
chrI	76800	77000	481	200	200	1.0000000
chrI	77000	77200	467	200	200	1.0000000
chrI	77200	77400	449	200	200	1.0000000
chrI	77400	77600	428	200	200	1.0000000
chrI	77600	77800	469	200	200	1.0000000
chrI	77800	78000	440	200	200	1.0000000
