chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	534	200	200	1.0000000
chrI	200	400	770	200	200	1.0000000
chrI	400	600	894	200	200	1.0000000
chrI	600	800	953	200	200	1.0000000
chrI	800	1000	965	200	200	1.0000000
chrI	1000	1200	965	200	200	1.0000000
chrI	1200	1400	850	200	200	1.0000000
chrI	1400	1600	821	200	200	1.0000000
chrI	1600	1800	941	200	200	1.0000000
chrI	1800	2000	858	200	200	1.0000000
chrI	2000	2200	872	200	200	1.0000000
chrI	2200	2400	938	200	200	1.0000000
chrI	2400	2600	889	200	200	1.0000000
chrI	2600	2800	925	200	200	1.0000000
chrI	2800	3000	980	200	200	1.0000000
chrI	3000	3200	974	200	200	1.0000000
chrI	3200	3400	924	200	200	1.0000000
chrI	3400	3600	960	200	200	1.0000000
chrI	3600	3800	986	200	200	1.0000000
chrI	3800	4000	1011	200	200	1.0000000
chrI	4000	4200	956	200	200	1.0000000
chrI	4200	4400	954	200	200	1.0000000
chrI	4400	4600	984	200	200	1.0000000
chrI	4600	4800	961	200	200	1.0000000
chrI	4800	5000	891	200	200	1.0000000
chrI	5000	5200	963	200	200	1.0000000
chrI	5200	5400	960	200	200	1.0000000
chrI	5400	5600	926	200	200	1.0000000
chrI	5600	5800	909	200	200	1.0000000
chrI	5800	6000	921	200	200	1.0000000
chrI	6000	6200	939	200	200	1.0000000
chrI	6200	6400	934	200	200	1.0000000
chrI	6400	6600	911	200	200	1.0000000
chrI	6600	6800	785	200	200	1.0000000
chrI	6800	7000	828	200	200	1.0000000
chrI	7000	7200	911	200	200	1.0000000
chrI	7200	7400	923	200	200	1.0000000
chrI	7400	7600	883	200	200	1.0000000
chrI	7600	7800	908	200	200	1.0000000
chrI	7800	8000	970	200	200	1.0000000
chrI	8000	8200	848	200	200	1.0000000
chrI	8200	8400	892	200	200	1.0000000
chrI	8400	8600	995	200	200	1.0000000
chrI	8600	8800	1044	200	200	1.0000000
chrI	8800	9000	965	200	200	1.0000000
chrI	9000	9200	970	200	200	1.0000000
chrI	9200	9400	845	200	200	1.0000000
chrI	9400	9600	876	200	200	1.0000000
chrI	9600	9800	926	200	200	1.0000000
chrI	9800	10000	960	200	200	1.0000000
chrI	10000	10200	922	200	200	1.0000000
chrI	10200	10400	958	200	200	1.0000000
chrI	10400	10600	879	200	200	1.0000000
chrI	10600	10800	902	200	200	1.0000000
chrI	10800	11000	866	200	200	1.0000000
chrI	11000	11200	849	200	200	1.0000000
chrI	11200	11400	901	200	200	1.0000000
chrI	11400	11600	880	200	200	1.0000000
chrI	11600	11800	818	200	200	1.0000000
chrI	11800	12000	768	200	200	1.0000000
chrI	12000	12200	797	200	200	1.0000000
chrI	12200	12400	831	200	200	1.0000000
chrI	12400	12600	1200	200	200	1.0000000
chrI	12600	12800	2354	200	200	1.0000000
chrI	12800	13000	966	200	200	1.0000000
chrI	13000	13200	884	200	200	1.0000000
chrI	13200	13400	838	200	200	1.0000000
chrI	13400	13600	797	200	200	1.0000000
chrI	13600	13800	815	200	200	1.0000000
chrI	13800	14000	810	200	200	1.0000000
chrI	14000	14200	785	200	200	1.0000000
chrI	14200	14400	807	200	200	1.0000000
chrI	14400	14600	819	200	200	1.0000000
chrI	14600	14800	805	200	200	1.0000000
chrI	14800	15000	839	200	200	1.0000000
chrI	15000	15200	821	200	200	1.0000000
chrI	15200	15400	811	200	200	1.0000000
chrI	15400	15600	815	200	200	1.0000000
chrI	15600	15800	859	200	200	1.0000000
chrI	15800	16000	875	200	200	1.0000000
chrI	16000	16200	868	200	200	1.0000000
chrI	16200	16400	879	200	200	1.0000000
chrI	16400	16600	859	200	200	1.0000000
chrI	16600	16800	829	200	200	1.0000000
chrI	16800	17000	774	200	200	1.0000000
chrI	17000	17200	837	200	200	1.0000000
chrI	17200	17400	935	200	200	1.0000000
chrI	17400	17600	969	200	200	1.0000000
chrI	17600	17800	898	200	200	1.0000000
chrI	17800	18000	853	200	200	1.0000000
chrI	18000	18200	836	200	200	1.0000000
chrI	18200	18400	836	200	200	1.0000000
chrI	18400	18600	849	200	200	1.0000000
chrI	18600	18800	802	200	200	1.0000000
chrI	18800	19000	836	200	200	1.0000000
chrI	19000	19200	833	200	200	1.0000000
chrI	19200	19400	855	200	200	1.0000000
chrI	19400	19600	788	200	200	1.0000000
chrI	19600	19800	793	200	200	1.0000000
chrI	19800	20000	697	200	200	1.0000000
chrI	20000	20200	751	200	200	1.0000000
chrI	20200	20400	740	200	200	1.0000000
chrI	20400	20600	829	200	200	1.0000000
chrI	20600	20800	737	200	200	1.0000000
chrI	20800	21000	754	200	200	1.0000000
chrI	21000	21200	758	200	200	1.0000000
chrI	21200	21400	791	200	200	1.0000000
chrI	21400	21600	756	200	200	1.0000000
chrI	21600	21800	759	200	200	1.0000000
chrI	21800	22000	795	200	200	1.0000000
