chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	529	200	200	1.0000000
chrI	200	400	771	200	200	1.0000000
chrI	400	600	873	200	200	1.0000000
chrI	600	800	963	200	200	1.0000000
chrI	800	1000	927	200	200	1.0000000
chrI	1000	1200	956	200	200	1.0000000
chrI	1200	1400	901	200	200	1.0000000
chrI	1400	1600	851	200	200	1.0000000
chrI	1600	1800	918	200	200	1.0000000
chrI	1800	2000	822	200	200	1.0000000
chrI	2000	2200	880	200	200	1.0000000
chrI	2200	2400	905	200	200	1.0000000
chrI	2400	2600	857	200	200	1.0000000
chrI	2600	2800	867	200	200	1.0000000
chrI	2800	3000	958	200	200	1.0000000
chrI	3000	3200	993	200	200	1.0000000
chrI	3200	3400	987	200	200	1.0000000
chrI	3400	3600	988	200	200	1.0000000
chrI	3600	3800	962	200	200	1.0000000
chrI	3800	4000	991	200	200	1.0000000
chrI	4000	4200	940	200	200	1.0000000
chrI	4200	4400	891	200	200	1.0000000
chrI	4400	4600	949	200	200	1.0000000
chrI	4600	4800	963	200	200	1.0000000
chrI	4800	5000	907	200	200	1.0000000
chrI	5000	5200	999	200	200	1.0000000
chrI	5200	5400	975	200	200	1.0000000
chrI	5400	5600	918	200	200	1.0000000
chrI	5600	5800	935	200	200	1.0000000
chrI	5800	6000	914	200	200	1.0000000
chrI	6000	6200	924	200	200	1.0000000
chrI	6200	6400	913	200	200	1.0000000
chrI	6400	6600	864	200	200	1.0000000
chrI	6600	6800	834	200	200	1.0000000
chrI	6800	7000	910	200	200	1.0000000
chrI	7000	7200	962	200	200	1.0000000
chrI	7200	7400	918	200	200	1.0000000
chrI	7400	7600	946	200	200	1.0000000
chrI	7600	7800	933	200	200	1.0000000
chrI	7800	8000	918	200	200	1.0000000
chrI	8000	8200	896	200	200	1.0000000
chrI	8200	8400	915	200	200	1.0000000
chrI	8400	8600	961	200	200	1.0000000
chrI	8600	8800	1033	200	200	1.0000000
chrI	8800	9000	1013	200	200	1.0000000
chrI	9000	9200	1009	200	200	1.0000000
chrI	9200	9400	909	200	200	1.0000000
chrI	9400	9600	927	200	200	1.0000000
chrI	9600	9800	946	200	200	1.0000000
chrI	9800	10000	1079	200	200	1.0000000
chrI	10000	10200	1084	200	200	1.0000000
chrI	10200	10400	1082	200	200	1.0000000
chrI	10400	10600	941	200	200	1.0000000
chrI	10600	10800	952	200	200	1.0000000
chrI	10800	11000	932	200	200	1.0000000
chrI	11000	11200	933	200	200	1.0000000
chrI	11200	11400	945	200	200	1.0000000
chrI	11400	11600	945	200	200	1.0000000
chrI	11600	11800	898	200	200	1.0000000
chrI	11800	12000	849	200	200	1.0000000
chrI	12000	12200	839	200	200	1.0000000
chrI	12200	12400	853	200	200	1.0000000
chrI	12400	12600	1268	200	200	1.0000000
chrI	12600	12800	2401	200	200	1.0000000
chrI	12800	13000	1005	200	200	1.0000000
chrI	13000	13200	949	200	200	1.0000000
chrI	13200	13400	908	200	200	1.0000000
chrI	13400	13600	979	200	200	1.0000000
chrI	13600	13800	925	200	200	1.0000000
chrI	13800	14000	883	200	200	1.0000000
chrI	14000	14200	834	200	200	1.0000000
chrI	14200	14400	808	200	200	1.0000000
chrI	14400	14600	832	200	200	1.0000000
chrI	14600	14800	818	200	200	1.0000000
chrI	14800	15000	904	200	200	1.0000000
chrI	15000	15200	895	200	200	1.0000000
chrI	15200	15400	899	200	200	1.0000000
chrI	15400	15600	815	200	200	1.0000000
chrI	15600	15800	840	200	200	1.0000000
chrI	15800	16000	983	200	200	1.0000000
chrI	16000	16200	943	200	200	1.0000000
chrI	16200	16400	931	200	200	1.0000000
chrI	16400	16600	953	200	200	1.0000000
chrI	16600	16800	933	200	200	1.0000000
chrI	16800	17000	957	200	200	1.0000000
chrI	17000	17200	1006	200	200	1.0000000
chrI	17200	17400	1018	200	200	1.0000000
chrI	17400	17600	1031	200	200	1.0000000
chrI	17600	17800	942	200	200	1.0000000
chrI	17800	18000	879	200	200	1.0000000
chrI	18000	18200	954	200	200	1.0000000
chrI	18200	18400	917	200	200	1.0000000
chrI	18400	18600	891	200	200	1.0000000
chrI	18600	18800	837	200	200	1.0000000
chrI	18800	19000	849	200	200	1.0000000
chrI	19000	19200	936	200	200	1.0000000
chrI	19200	19400	1016	200	200	1.0000000
chrI	19400	19600	939	200	200	1.0000000
chrI	19600	19800	936	200	200	1.0000000
chrI	19800	20000	803	200	200	1.0000000
chrI	20000	20200	789	200	200	1.0000000
chrI	20200	20400	829	200	200	1.0000000
chrI	20400	20600	857	200	200	1.0000000
chrI	20600	20800	784	200	200	1.0000000
chrI	20800	21000	878	200	200	1.0000000
