chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	584	200	200	1.0000000
chrI	200	400	734	200	200	1.0000000
chrI	400	600	880	200	200	1.0000000
chrI	600	800	958	200	200	1.0000000
chrI	800	1000	916	200	200	1.0000000
chrI	1000	1200	960	200	200	1.0000000
chrI	1200	1400	908	200	200	1.0000000
chrI	1400	1600	866	200	200	1.0000000
chrI	1600	1800	889	200	200	1.0000000
chrI	1800	2000	748	200	200	1.0000000
chrI	2000	2200	819	200	200	1.0000000
chrI	2200	2400	811	200	200	1.0000000
chrI	2400	2600	839	200	200	1.0000000
chrI	2600	2800	817	200	200	1.0000000
chrI	2800	3000	878	200	200	1.0000000
chrI	3000	3200	986	200	200	1.0000000
chrI	3200	3400	918	200	200	1.0000000
chrI	3400	3600	936	200	200	1.0000000
chrI	3600	3800	942	200	200	1.0000000
chrI	3800	4000	971	200	200	1.0000000
chrI	4000	4200	944	200	200	1.0000000
chrI	4200	4400	929	200	200	1.0000000
chrI	4400	4600	936	200	200	1.0000000
chrI	4600	4800	852	200	200	1.0000000
chrI	4800	5000	864	200	200	1.0000000
chrI	5000	5200	873	200	200	1.0000000
chrI	5200	5400	903	200	200	1.0000000
chrI	5400	5600	823	200	200	1.0000000
chrI	5600	5800	854	200	200	1.0000000
chrI	5800	6000	840	200	200	1.0000000
chrI	6000	6200	815	200	200	1.0000000
chrI	6200	6400	867	200	200	1.0000000
chrI	6400	6600	850	200	200	1.0000000
chrI	6600	6800	808	200	200	1.0000000
chrI	6800	7000	898	200	200	1.0000000
chrI	7000	7200	917	200	200	1.0000000
chrI	7200	7400	919	200	200	1.0000000
chrI	7400	7600	816	200	200	1.0000000
chrI	7600	7800	809	200	200	1.0000000
chrI	7800	8000	888	200	200	1.0000000
chrI	8000	8200	835	200	200	1.0000000
chrI	8200	8400	806	200	200	1.0000000
chrI	8400	8600	859	200	200	1.0000000
chrI	8600	8800	929	200	200	1.0000000
chrI	8800	9000	907	200	200	1.0000000
chrI	9000	9200	957	200	200	1.0000000
chrI	9200	9400	851	200	200	1.0000000
chrI	9400	9600	840	200	200	1.0000000
chrI	9600	9800	901	200	200	1.0000000
chrI	9800	10000	894	200	200	1.0000000
chrI	10000	10200	884	200	200	1.0000000
chrI	10200	10400	942	200	200	1.0000000
chrI	10400	10600	858	200	200	1.0000000
chrI	10600	10800	828	200	200	1.0000000
chrI	10800	11000	865	200	200	1.0000000
chrI	11000	11200	878	200	200	1.0000000
chrI	11200	11400	846	200	200	1.0000000
chrI	11400	11600	893	200	200	1.0000000
chrI	11600	11800	788	200	200	1.0000000
chrI	11800	12000	752	200	200	1.0000000
chrI	12000	12200	750	200	200	1.0000000
chrI	12200	12400	794	200	200	1.0000000
chrI	12400	12600	1156	200	200	1.0000000
chrI	12600	12800	2242	200	200	1.0000000
chrI	12800	13000	944	200	200	1.0000000
chrI	13000	13200	921	200	200	1.0000000
chrI	13200	13400	835	200	200	1.0000000
chrI	13400	13600	793	200	200	1.0000000
chrI	13600	13800	749	200	200	1.0000000
chrI	13800	14000	784	200	200	1.0000000
chrI	14000	14200	776	200	200	1.0000000
chrI	14200	14400	800	200	200	1.0000000
