chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	368	200	200	1.0000000
chrI	200	400	542	200	200	1.0000000
chrI	400	600	571	200	200	1.0000000
chrI	600	800	659	200	200	1.0000000
chrI	800	1000	667	200	200	1.0000000
chrI	1000	1200	688	200	200	1.0000000
chrI	1200	1400	643	200	200	1.0000000
chrI	1400	1600	578	200	200	1.0000000
chrI	1600	1800	583	200	200	1.0000000
chrI	1800	2000	558	200	200	1.0000000
chrI	2000	2200	632	200	200	1.0000000
chrI	2200	2400	661	200	200	1.0000000
chrI	2400	2600	620	200	200	1.0000000
chrI	2600	2800	590	200	200	1.0000000
chrI	2800	3000	658	200	200	1.0000000
chrI	3000	3200	682	200	200	1.0000000
chrI	3200	3400	707	200	200	1.0000000
chrI	3400	3600	686	200	200	1.0000000
chrI	3600	3800	689	200	200	1.0000000
chrI	3800	4000	663	200	200	1.0000000
chrI	4000	4200	621	200	200	1.0000000
chrI	4200	4400	623	200	200	1.0000000
chrI	4400	4600	671	200	200	1.0000000
chrI	4600	4800	645	200	200	1.0000000
chrI	4800	5000	644	200	200	1.0000000
chrI	5000	5200	657	200	200	1.0000000
chrI	5200	5400	646	200	200	1.0000000
chrI	5400	5600	575	200	200	1.0000000
chrI	5600	5800	601	200	200	1.0000000
chrI	5800	6000	592	200	200	1.0000000
chrI	6000	6200	610	200	200	1.0000000
chrI	6200	6400	608	200	200	1.0000000
chrI	6400	6600	634	200	200	1.0000000
chrI	6600	6800	613	200	200	1.0000000
chrI	6800	7000	655	200	200	1.0000000
chrI	7000	7200	683	200	200	1.0000000
chrI	7200	7400	640	200	200	1.0000000
chrI	7400	7600	614	200	200	1.0000000
chrI	7600	7800	608	200	200	1.0000000
chrI	7800	8000	650	200	200	1.0000000
chrI	8000	8200	556	200	200	1.0000000
chrI	8200	8400	543	200	200	1.0000000
chrI	8400	8600	645	200	200	1.0000000
chrI	8600	8800	714	200	200	1.0000000
chrI	8800	9000	715	200	200	1.0000000
chrI	9000	9200	677	200	200	1.0000000
chrI	9200	9400	637	200	200	1.0000000
chrI	9400	9600	671	200	200	1.0000000
chrI	9600	9800	671	200	200	1.0000000
chrI	9800	10000	687	200	200	1.0000000
chrI	10000	10200	710	200	200	1.0000000
chrI	10200	10400	704	200	200	1.0000000
chrI	10400	10600	636	200	200	1.0000000
chrI	10600	10800	581	200	200	1.0000000
chrI	10800	11000	588	200	200	1.0000000
chrI	11000	11200	681	200	200	1.0000000
chrI	11200	11400	699	200	200	1.0000000
chrI	11400	11600	644	200	200	1.0000000
chrI	11600	11800	582	200	200	1.0000000
chrI	11800	12000	546	200	200	1.0000000
chrI	12000	12200	537	200	200	1.0000000
chrI	12200	12400	554	200	200	1.0000000
chrI	12400	12600	805	200	200	1.0000000
chrI	12600	12800	1665	200	200	1.0000000
chrI	12800	13000	669	200	200	1.0000000
chrI	13000	13200	630	200	200	1.0000000
chrI	13200	13400	643	200	200	1.0000000
chrI	13400	13600	625	200	200	1.0000000
chrI	13600	13800	610	200	200	1.0000000
chrI	13800	14000	641	200	200	1.0000000
chrI	14000	14200	545	200	200	1.0000000
chrI	14200	14400	532	200	200	1.0000000
chrI	14400	14600	554	200	200	1.0000000
chrI	14600	14800	610	200	200	1.0000000
chrI	14800	15000	641	200	200	1.0000000
chrI	15000	15200	632	200	200	1.0000000
chrI	15200	15400	602	200	200	1.0000000
chrI	15400	15600	503	200	200	1.0000000
chrI	15600	15800	571	200	200	1.0000000
chrI	15800	16000	652	200	200	1.0000000
chrI	16000	16200	657	200	200	1.0000000
chrI	16200	16400	628	200	200	1.0000000
chrI	16400	16600	583	200	200	1.0000000
chrI	16600	16800	613	200	200	1.0000000
chrI	16800	17000	578	200	200	1.0000000
chrI	17000	17200	708	200	200	1.0000000
chrI	17200	17400	682	200	200	1.0000000
chrI	17400	17600	714	200	200	1.0000000
chrI	17600	17800	658	200	200	1.0000000
chrI	17800	18000	623	200	200	1.0000000
chrI	18000	18200	633	200	200	1.0000000
chrI	18200	18400	599	200	200	1.0000000
chrI	18400	18600	584	200	200	1.0000000
chrI	18600	18800	512	200	200	1.0000000
chrI	18800	19000	585	200	200	1.0000000
chrI	19000	19200	578	200	200	1.0000000
chrI	19200	19400	600	200	200	1.0000000
chrI	19400	19600	578	200	200	1.0000000
chrI	19600	19800	585	200	200	1.0000000
chrI	19800	20000	569	200	200	1.0000000
chrI	20000	20200	577	200	200	1.0000000
chrI	20200	20400	558	200	200	1.0000000
chrI	20400	20600	586	200	200	1.0000000
chrI	20600	20800	567	200	200	1.0000000
chrI	20800	21000	583	200	200	1.0000000
chrI	21000	21200	565	200	200	1.0000000
chrI	21200	21400	658	200	200	1.0000000
chrI	21400	21600	623	200	200	1.0000000
chrI	21600	21800	564	200	200	1.0000000
chrI	21800	22000	601	200	200	1.0000000
chrI	22000	22200	600	200	200	1.0000000
chrI	22200	22400	659	200	200	1.0000000
chrI	22400	22600	706	200	200	1.0000000
chrI	22600	22800	689	200	200	1.0000000
chrI	22800	23000	667	200	200	1.0000000
chrI	23000	23200	612	200	200	1.0000000
chrI	23200	23400	591	200	200	1.0000000
chrI	23400	23600	502	200	200	1.0000000
chrI	23600	23800	440	200	200	1.0000000
chrI	23800	24000	513	200	200	1.0000000
chrI	24000	24200	518	200	200	1.0000000
chrI	24200	24400	500	200	200	1.0000000
chrI	24400	24600	510	200	200	1.0000000
chrI	24600	24800	551	200	200	1.0000000
chrI	24800	25000	539	200	200	1.0000000
chrI	25000	25200	555	200	200	1.0000000
chrI	25200	25400	552	200	200	1.0000000
chrI	25400	25600	567	200	200	1.0000000
chrI	25600	25800	357	200	200	1.0000000
chrI	25800	26000	474	200	200	1.0000000
chrI	26000	26200	377	200	200	1.0000000
chrI	26200	26400	402	200	200	1.0000000
chrI	26400	26600	321	200	200	1.0000000
chrI	26600	26800	348	200	200	1.0000000
chrI	26800	27000	925	200	200	1.0000000
chrI	27000	27200	842	200	200	1.0000000
chrI	27200	27400	539	200	200	1.0000000
chrI	27400	27600	569	200	200	1.0000000
chrI	27600	27800	620	200	200	1.0000000
chrI	27800	28000	608	200	200	1.0000000
chrI	28000	28200	619	200	200	1.0000000
chrI	28200	28400	572	200	200	1.0000000
chrI	28400	28600	498	200	200	1.0000000
chrI	28600	28800	527	200	200	1.0000000
