chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	401	200	200	1.0000000
chrI	200	400	582	200	200	1.0000000
chrI	400	600	660	200	200	1.0000000
chrI	600	800	670	200	200	1.0000000
chrI	800	1000	694	200	200	1.0000000
chrI	1000	1200	702	200	200	1.0000000
chrI	1200	1400	661	200	200	1.0000000
chrI	1400	1600	620	200	200	1.0000000
chrI	1600	1800	737	200	200	1.0000000
chrI	1800	2000	648	200	200	1.0000000
chrI	2000	2200	658	200	200	1.0000000
chrI	2200	2400	719	200	200	1.0000000
chrI	2400	2600	661	200	200	1.0000000
chrI	2600	2800	685	200	200	1.0000000
chrI	2800	3000	755	200	200	1.0000000
chrI	3000	3200	738	200	200	1.0000000
chrI	3200	3400	682	200	200	1.0000000
chrI	3400	3600	654	200	200	1.0000000
chrI	3600	3800	703	200	200	1.0000000
chrI	3800	4000	751	200	200	1.0000000
chrI	4000	4200	759	200	200	1.0000000
chrI	4200	4400	767	200	200	1.0000000
chrI	4400	4600	729	200	200	1.0000000
chrI	4600	4800	718	200	200	1.0000000
chrI	4800	5000	639	200	200	1.0000000
chrI	5000	5200	657	200	200	1.0000000
chrI	5200	5400	695	200	200	1.0000000
chrI	5400	5600	703	200	200	1.0000000
chrI	5600	5800	696	200	200	1.0000000
chrI	5800	6000	657	200	200	1.0000000
chrI	6000	6200	647	200	200	1.0000000
chrI	6200	6400	662	200	200	1.0000000
chrI	6400	6600	657	200	200	1.0000000
chrI	6600	6800	648	200	200	1.0000000
chrI	6800	7000	682	200	200	1.0000000
chrI	7000	7200	690	200	200	1.0000000
chrI	7200	7400	679	200	200	1.0000000
chrI	7400	7600	659	200	200	1.0000000
chrI	7600	7800	648	200	200	1.0000000
chrI	7800	8000	677	200	200	1.0000000
chrI	8000	8200	629	200	200	1.0000000
chrI	8200	8400	620	200	200	1.0000000
chrI	8400	8600	736	200	200	1.0000000
chrI	8600	8800	755	200	200	1.0000000
chrI	8800	9000	731	200	200	1.0000000
chrI	9000	9200	732	200	200	1.0000000
chrI	9200	9400	682	200	200	1.0000000
chrI	9400	9600	648	200	200	1.0000000
chrI	9600	9800	689	200	200	1.0000000
chrI	9800	10000	756	200	200	1.0000000
chrI	10000	10200	736	200	200	1.0000000
chrI	10200	10400	740	200	200	1.0000000
chrI	10400	10600	675	200	200	1.0000000
chrI	10600	10800	671	200	200	1.0000000
chrI	10800	11000	765	200	200	1.0000000
chrI	11000	11200	764	200	200	1.0000000
chrI	11200	11400	736	200	200	1.0000000
chrI	11400	11600	745	200	200	1.0000000
chrI	11600	11800	612	200	200	1.0000000
chrI	11800	12000	605	200	200	1.0000000
chrI	12000	12200	613	200	200	1.0000000
chrI	12200	12400	658	200	200	1.0000000
chrI	12400	12600	964	200	200	1.0000000
chrI	12600	12800	1835	200	200	1.0000000
chrI	12800	13000	713	200	200	1.0000000
chrI	13000	13200	752	200	200	1.0000000
chrI	13200	13400	681	200	200	1.0000000
chrI	13400	13600	640	200	200	1.0000000
chrI	13600	13800	626	200	200	1.0000000
chrI	13800	14000	656	200	200	1.0000000
chrI	14000	14200	638	200	200	1.0000000
chrI	14200	14400	623	200	200	1.0000000
chrI	14400	14600	605	200	200	1.0000000
chrI	14600	14800	637	200	200	1.0000000
chrI	14800	15000	647	200	200	1.0000000
chrI	15000	15200	627	200	200	1.0000000
chrI	15200	15400	588	200	200	1.0000000
chrI	15400	15600	590	200	200	1.0000000
chrI	15600	15800	606	200	200	1.0000000
chrI	15800	16000	682	200	200	1.0000000
chrI	16000	16200	677	200	200	1.0000000
chrI	16200	16400	697	200	200	1.0000000
chrI	16400	16600	676	200	200	1.0000000
chrI	16600	16800	654	200	200	1.0000000
chrI	16800	17000	635	200	200	1.0000000
chrI	17000	17200	746	200	200	1.0000000
chrI	17200	17400	748	200	200	1.0000000
chrI	17400	17600	813	200	200	1.0000000
chrI	17600	17800	695	200	200	1.0000000
chrI	17800	18000	663	200	200	1.0000000
chrI	18000	18200	668	200	200	1.0000000
chrI	18200	18400	634	200	200	1.0000000
chrI	18400	18600	655	200	200	1.0000000
chrI	18600	18800	634	200	200	1.0000000
chrI	18800	19000	594	200	200	1.0000000
chrI	19000	19200	598	200	200	1.0000000
chrI	19200	19400	668	200	200	1.0000000
chrI	19400	19600	622	200	200	1.0000000
chrI	19600	19800	658	200	200	1.0000000
chrI	19800	20000	603	200	200	1.0000000
chrI	20000	20200	567	200	200	1.0000000
chrI	20200	20400	658	200	200	1.0000000
chrI	20400	20600	665	200	200	1.0000000
chrI	20600	20800	619	200	200	1.0000000
