chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	850	200	200	1.0000000
chrI	200	400	1129	200	200	1.0000000
chrI	400	600	1238	200	200	1.0000000
chrI	600	800	1350	200	200	1.0000000
chrI	800	1000	1392	200	200	1.0000000
chrI	1000	1200	1418	200	200	1.0000000
chrI	1200	1400	1302	200	200	1.0000000
chrI	1400	1600	1222	200	200	1.0000000
chrI	1600	1800	1342	200	200	1.0000000
chrI	1800	2000	1136	200	200	1.0000000
chrI	2000	2200	1286	200	200	1.0000000
chrI	2200	2400	1324	200	200	1.0000000
chrI	2400	2600	1295	200	200	1.0000000
chrI	2600	2800	1234	200	200	1.0000000
chrI	2800	3000	1339	200	200	1.0000000
chrI	3000	3200	1495	200	200	1.0000000
chrI	3200	3400	1443	200	200	1.0000000
chrI	3400	3600	1449	200	200	1.0000000
chrI	3600	3800	1390	200	200	1.0000000
chrI	3800	4000	1415	200	200	1.0000000
chrI	4000	4200	1409	200	200	1.0000000
chrI	4200	4400	1421	200	200	1.0000000
chrI	4400	4600	1437	200	200	1.0000000
chrI	4600	4800	1360	200	200	1.0000000
chrI	4800	5000	1280	200	200	1.0000000
chrI	5000	5200	1343	200	200	1.0000000
chrI	5200	5400	1375	200	200	1.0000000
chrI	5400	5600	1348	200	200	1.0000000
chrI	5600	5800	1325	200	200	1.0000000
chrI	5800	6000	1278	200	200	1.0000000
chrI	6000	6200	1359	200	200	1.0000000
chrI	6200	6400	1314	200	200	1.0000000
chrI	6400	6600	1224	200	200	1.0000000
chrI	6600	6800	1126	200	200	1.0000000
chrI	6800	7000	1231	200	200	1.0000000
chrI	7000	7200	1309	200	200	1.0000000
chrI	7200	7400	1294	200	200	1.0000000
chrI	7400	7600	1342	200	200	1.0000000
chrI	7600	7800	1303	200	200	1.0000000
chrI	7800	8000	1386	200	200	1.0000000
chrI	8000	8200	1239	200	200	1.0000000
chrI	8200	8400	1234	200	200	1.0000000
chrI	8400	8600	1407	200	200	1.0000000
chrI	8600	8800	1493	200	200	1.0000000
chrI	8800	9000	1438	200	200	1.0000000
chrI	9000	9200	1383	200	200	1.0000000
chrI	9200	9400	1314	200	200	1.0000000
chrI	9400	9600	1257	200	200	1.0000000
chrI	9600	9800	1340	200	200	1.0000000
chrI	9800	10000	1435	200	200	1.0000000
chrI	10000	10200	1404	200	200	1.0000000
chrI	10200	10400	1418	200	200	1.0000000
chrI	10400	10600	1253	200	200	1.0000000
chrI	10600	10800	1281	200	200	1.0000000
chrI	10800	11000	1323	200	200	1.0000000
chrI	11000	11200	1419	200	200	1.0000000
chrI	11200	11400	1353	200	200	1.0000000
chrI	11400	11600	1350	200	200	1.0000000
