chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	314	200	200	1.0000000
chrI	200	400	412	200	200	1.0000000
chrI	400	600	491	200	200	1.0000000
chrI	600	800	537	200	200	1.0000000
chrI	800	1000	451	200	200	1.0000000
chrI	1000	1200	456	200	200	1.0000000
chrI	1200	1400	472	200	200	1.0000000
chrI	1400	1600	473	200	200	1.0000000
chrI	1600	1800	542	200	200	1.0000000
chrI	1800	2000	471	200	200	1.0000000
chrI	2000	2200	484	200	200	1.0000000
chrI	2200	2400	489	200	200	1.0000000
chrI	2400	2600	485	200	200	1.0000000
chrI	2600	2800	500	200	200	1.0000000
chrI	2800	3000	515	200	200	1.0000000
chrI	3000	3200	554	200	200	1.0000000
chrI	3200	3400	575	200	200	1.0000000
chrI	3400	3600	539	200	200	1.0000000
chrI	3600	3800	513	200	200	1.0000000
chrI	3800	4000	535	200	200	1.0000000
chrI	4000	4200	537	200	200	1.0000000
chrI	4200	4400	545	200	200	1.0000000
chrI	4400	4600	539	200	200	1.0000000
chrI	4600	4800	555	200	200	1.0000000
chrI	4800	5000	491	200	200	1.0000000
chrI	5000	5200	520	200	200	1.0000000
chrI	5200	5400	539	200	200	1.0000000
chrI	5400	5600	532	200	200	1.0000000
chrI	5600	5800	520	200	200	1.0000000
chrI	5800	6000	500	200	200	1.0000000
chrI	6000	6200	454	200	200	1.0000000
chrI	6200	6400	523	200	200	1.0000000
chrI	6400	6600	482	200	200	1.0000000
chrI	6600	6800	465	200	200	1.0000000
chrI	6800	7000	522	200	200	1.0000000
chrI	7000	7200	547	200	200	1.0000000
chrI	7200	7400	555	200	200	1.0000000
chrI	7400	7600	513	200	200	1.0000000
chrI	7600	7800	544	200	200	1.0000000
chrI	7800	8000	537	200	200	1.0000000
chrI	8000	8200	495	200	200	1.0000000
chrI	8200	8400	487	200	200	1.0000000
chrI	8400	8600	538	200	200	1.0000000
chrI	8600	8800	548	200	200	1.0000000
chrI	8800	9000	555	200	200	1.0000000
chrI	9000	9200	569	200	200	1.0000000
chrI	9200	9400	539	200	200	1.0000000
chrI	9400	9600	563	200	200	1.0000000
chrI	9600	9800	596	200	200	1.0000000
chrI	9800	10000	582	200	200	1.0000000
chrI	10000	10200	558	200	200	1.0000000
chrI	10200	10400	571	200	200	1.0000000
chrI	10400	10600	511	200	200	1.0000000
chrI	10600	10800	534	200	200	1.0000000
chrI	10800	11000	515	200	200	1.0000000
chrI	11000	11200	557	200	200	1.0000000
chrI	11200	11400	598	200	200	1.0000000
chrI	11400	11600	628	200	200	1.0000000
chrI	11600	11800	510	200	200	1.0000000
chrI	11800	12000	472	200	200	1.0000000
