chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	568	200	200	1.0000000
chrI	200	400	767	200	200	1.0000000
chrI	400	600	847	200	200	1.0000000
chrI	600	800	942	200	200	1.0000000
chrI	800	1000	992	200	200	1.0000000
chrI	1000	1200	970	200	200	1.0000000
chrI	1200	1400	934	200	200	1.0000000
chrI	1400	1600	917	200	200	1.0000000
chrI	1600	1800	1004	200	200	1.0000000
chrI	1800	2000	890	200	200	1.0000000
chrI	2000	2200	964	200	200	1.0000000
chrI	2200	2400	940	200	200	1.0000000
chrI	2400	2600	915	200	200	1.0000000
chrI	2600	2800	929	200	200	1.0000000
chrI	2800	3000	970	200	200	1.0000000
chrI	3000	3200	1083	200	200	1.0000000
chrI	3200	3400	1042	200	200	1.0000000
chrI	3400	3600	1046	200	200	1.0000000
chrI	3600	3800	999	200	200	1.0000000
chrI	3800	4000	1048	200	200	1.0000000
chrI	4000	4200	1058	200	200	1.0000000
chrI	4200	4400	1031	200	200	1.0000000
chrI	4400	4600	1004	200	200	1.0000000
chrI	4600	4800	977	200	200	1.0000000
chrI	4800	5000	916	200	200	1.0000000
chrI	5000	5200	965	200	200	1.0000000
chrI	5200	5400	1003	200	200	1.0000000
chrI	5400	5600	996	200	200	1.0000000
chrI	5600	5800	989	200	200	1.0000000
chrI	5800	6000	960	200	200	1.0000000
chrI	6000	6200	1003	200	200	1.0000000
chrI	6200	6400	994	200	200	1.0000000
chrI	6400	6600	949	200	200	1.0000000
chrI	6600	6800	881	200	200	1.0000000
chrI	6800	7000	937	200	200	1.0000000
chrI	7000	7200	1006	200	200	1.0000000
chrI	7200	7400	1016	200	200	1.0000000
chrI	7400	7600	963	200	200	1.0000000
chrI	7600	7800	947	200	200	1.0000000
chrI	7800	8000	1018	200	200	1.0000000
chrI	8000	8200	920	200	200	1.0000000
chrI	8200	8400	935	200	200	1.0000000
chrI	8400	8600	1028	200	200	1.0000000
chrI	8600	8800	1098	200	200	1.0000000
chrI	8800	9000	1060	200	200	1.0000000
chrI	9000	9200	1046	200	200	1.0000000
chrI	9200	9400	1009	200	200	1.0000000
chrI	9400	9600	984	200	200	1.0000000
chrI	9600	9800	1082	200	200	1.0000000
chrI	9800	10000	1123	200	200	1.0000000
chrI	10000	10200	1098	200	200	1.0000000
chrI	10200	10400	1024	200	200	1.0000000
chrI	10400	10600	952	200	200	1.0000000
chrI	10600	10800	955	200	200	1.0000000
chrI	10800	11000	997	200	200	1.0000000
