chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	409	200	200	1.0000000
chrI	200	400	533	200	200	1.0000000
chrI	400	600	605	200	200	1.0000000
chrI	600	800	672	200	200	1.0000000
chrI	800	1000	689	200	200	1.0000000
chrI	1000	1200	658	200	200	1.0000000
chrI	1200	1400	645	200	200	1.0000000
chrI	1400	1600	596	200	200	1.0000000
chrI	1600	1800	661	200	200	1.0000000
chrI	1800	2000	579	200	200	1.0000000
chrI	2000	2200	619	200	200	1.0000000
chrI	2200	2400	633	200	200	1.0000000
chrI	2400	2600	626	200	200	1.0000000
chrI	2600	2800	590	200	200	1.0000000
chrI	2800	3000	670	200	200	1.0000000
chrI	3000	3200	726	200	200	1.0000000
chrI	3200	3400	636	200	200	1.0000000
chrI	3400	3600	653	200	200	1.0000000
chrI	3600	3800	705	200	200	1.0000000
chrI	3800	4000	710	200	200	1.0000000
chrI	4000	4200	729	200	200	1.0000000
chrI	4200	4400	682	200	200	1.0000000
chrI	4400	4600	674	200	200	1.0000000
chrI	4600	4800	608	200	200	1.0000000
chrI	4800	5000	657	200	200	1.0000000
chrI	5000	5200	691	200	200	1.0000000
chrI	5200	5400	663	200	200	1.0000000
chrI	5400	5600	626	200	200	1.0000000
chrI	5600	5800	621	200	200	1.0000000
chrI	5800	6000	633	200	200	1.0000000
chrI	6000	6200	636	200	200	1.0000000
chrI	6200	6400	618	200	200	1.0000000
chrI	6400	6600	601	200	200	1.0000000
chrI	6600	6800	563	200	200	1.0000000
chrI	6800	7000	605	200	200	1.0000000
chrI	7000	7200	640	200	200	1.0000000
chrI	7200	7400	647	200	200	1.0000000
chrI	7400	7600	648	200	200	1.0000000
chrI	7600	7800	648	200	200	1.0000000
chrI	7800	8000	661	200	200	1.0000000
chrI	8000	8200	627	200	200	1.0000000
chrI	8200	8400	615	200	200	1.0000000
chrI	8400	8600	675	200	200	1.0000000
chrI	8600	8800	709	200	200	1.0000000
chrI	8800	9000	716	200	200	1.0000000
chrI	9000	9200	708	200	200	1.0000000
chrI	9200	9400	629	200	200	1.0000000
chrI	9400	9600	653	200	200	1.0000000
chrI	9600	9800	674	200	200	1.0000000
chrI	9800	10000	707	200	200	1.0000000
chrI	10000	10200	743	200	200	1.0000000
chrI	10200	10400	758	200	200	1.0000000
chrI	10400	10600	659	200	200	1.0000000
chrI	10600	10800	654	200	200	1.0000000
chrI	10800	11000	664	200	200	1.0000000
chrI	11000	11200	717	200	200	1.0000000
chrI	11200	11400	731	200	200	1.0000000
chrI	11400	11600	687	200	200	1.0000000
chrI	11600	11800	599	200	200	1.0000000
chrI	11800	12000	563	200	200	1.0000000
chrI	12000	12200	548	200	200	1.0000000
chrI	12200	12400	604	200	200	1.0000000
chrI	12400	12600	934	200	200	1.0000000
chrI	12600	12800	1760	200	200	1.0000000
chrI	12800	13000	654	200	200	1.0000000
chrI	13000	13200	652	200	200	1.0000000
chrI	13200	13400	658	200	200	1.0000000
chrI	13400	13600	630	200	200	1.0000000
chrI	13600	13800	624	200	200	1.0000000
chrI	13800	14000	622	200	200	1.0000000
chrI	14000	14200	632	200	200	1.0000000
chrI	14200	14400	601	200	200	1.0000000
chrI	14400	14600	593	200	200	1.0000000
chrI	14600	14800	619	200	200	1.0000000
chrI	14800	15000	645	200	200	1.0000000
chrI	15000	15200	611	200	200	1.0000000
chrI	15200	15400	586	200	200	1.0000000
chrI	15400	15600	560	200	200	1.0000000
chrI	15600	15800	576	200	200	1.0000000
chrI	15800	16000	653	200	200	1.0000000
chrI	16000	16200	675	200	200	1.0000000
chrI	16200	16400	688	200	200	1.0000000
chrI	16400	16600	670	200	200	1.0000000
chrI	16600	16800	664	200	200	1.0000000
chrI	16800	17000	644	200	200	1.0000000
chrI	17000	17200	712	200	200	1.0000000
chrI	17200	17400	707	200	200	1.0000000
chrI	17400	17600	716	200	200	1.0000000
chrI	17600	17800	637	200	200	1.0000000
chrI	17800	18000	656	200	200	1.0000000
chrI	18000	18200	682	200	200	1.0000000
chrI	18200	18400	642	200	200	1.0000000
chrI	18400	18600	641	200	200	1.0000000
chrI	18600	18800	608	200	200	1.0000000
chrI	18800	19000	633	200	200	1.0000000
chrI	19000	19200	646	200	200	1.0000000
chrI	19200	19400	684	200	200	1.0000000
chrI	19400	19600	650	200	200	1.0000000
chrI	19600	19800	672	200	200	1.0000000
chrI	19800	20000	570	200	200	1.0000000
chrI	20000	20200	569	200	200	1.0000000
chrI	20200	20400	624	200	200	1.0000000
chrI	20400	20600	646	200	200	1.0000000
chrI	20600	20800	548	200	200	1.0000000
chrI	20800	21000	639	200	200	1.0000000
chrI	21000	21200	637	200	200	1.0000000
chrI	21200	21400	672	200	200	1.0000000
chrI	21400	21600	662	200	200	1.0000000
chrI	21600	21800	613	200	200	1.0000000
chrI	21800	22000	645	200	200	1.0000000
chrI	22000	22200	636	200	200	1.0000000
chrI	22200	22400	642	200	200	1.0000000
chrI	22400	22600	671	200	200	1.0000000
chrI	22600	22800	620	200	200	1.0000000
chrI	22800	23000	615	200	200	1.0000000
chrI	23000	23200	597	200	200	1.0000000
chrI	23200	23400	609	200	200	1.0000000
chrI	23400	23600	525	200	200	1.0000000
chrI	23600	23800	473	200	200	1.0000000
chrI	23800	24000	515	200	200	1.0000000
chrI	24000	24200	552	200	200	1.0000000
chrI	24200	24400	556	200	200	1.0000000
chrI	24400	24600	566	200	200	1.0000000
chrI	24600	24800	548	200	200	1.0000000
chrI	24800	25000	590	200	200	1.0000000
chrI	25000	25200	583	200	200	1.0000000
chrI	25200	25400	529	200	200	1.0000000
chrI	25400	25600	561	200	200	1.0000000
chrI	25600	25800	406	200	200	1.0000000
chrI	25800	26000	532	200	200	1.0000000
chrI	26000	26200	452	200	200	1.0000000
chrI	26200	26400	506	200	200	1.0000000
chrI	26400	26600	358	200	200	1.0000000
chrI	26600	26800	389	200	200	1.0000000
chrI	26800	27000	915	200	200	1.0000000
chrI	27000	27200	883	200	200	1.0000000
chrI	27200	27400	635	200	200	1.0000000
chrI	27400	27600	647	200	200	1.0000000
chrI	27600	27800	651	200	200	1.0000000
chrI	27800	28000	651	200	200	1.0000000
chrI	28000	28200	603	200	200	1.0000000
chrI	28200	28400	617	200	200	1.0000000
chrI	28400	28600	556	200	200	1.0000000
chrI	28600	28800	556	200	200	1.0000000
chrI	28800	29000	602	200	200	1.0000000
chrI	29000	29200	613	200	200	1.0000000
chrI	29200	29400	659	200	200	1.0000000
chrI	29400	29600	662	200	200	1.0000000
chrI	29600	29800	681	200	200	1.0000000
chrI	29800	30000	635	200	200	1.0000000
chrI	30000	30200	582	200	200	1.0000000
chrI	30200	30400	533	200	200	1.0000000
chrI	30400	30600	593	200	200	1.0000000
chrI	30600	30800	648	200	200	1.0000000
chrI	30800	31000	603	200	200	1.0000000
chrI	31000	31200	547	200	200	1.0000000
chrI	31200	31400	587	200	200	1.0000000
chrI	31400	31600	520	200	200	1.0000000
chrI	31600	31800	504	200	200	1.0000000
chrI	31800	32000	468	200	200	1.0000000
chrI	32000	32200	451	200	200	1.0000000
chrI	32200	32400	495	200	200	1.0000000
chrI	32400	32600	476	200	200	1.0000000
chrI	32600	32800	457	200	200	1.0000000
chrI	32800	33000	492	200	200	1.0000000
chrI	33000	33200	565	200	200	1.0000000
chrI	33200	33400	675	200	200	1.0000000
chrI	33400	33600	600	200	200	1.0000000
chrI	33600	33800	488	200	200	1.0000000
chrI	33800	34000	456	200	200	1.0000000
chrI	34000	34200	451	200	200	1.0000000
chrI	34200	34400	500	200	200	1.0000000
chrI	34400	34600	542	200	200	1.0000000
chrI	34600	34800	538	200	200	1.0000000
chrI	34800	35000	547	200	200	1.0000000
chrI	35000	35200	537	200	200	1.0000000
chrI	35200	35400	453	200	200	1.0000000
chrI	35400	35600	472	200	200	1.0000000
chrI	35600	35800	540	200	200	1.0000000
chrI	35800	36000	527	200	200	1.0000000
chrI	36000	36200	524	200	200	1.0000000
chrI	36200	36400	568	200	200	1.0000000
chrI	36400	36600	543	200	200	1.0000000
chrI	36600	36800	518	200	200	1.0000000
chrI	36800	37000	472	200	200	1.0000000
chrI	37000	37200	542	200	200	1.0000000
chrI	37200	37400	622	200	200	1.0000000
chrI	37400	37600	576	200	200	1.0000000
