chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	407	200	200	1.0000000
chrI	200	400	564	200	200	1.0000000
chrI	400	600	665	200	200	1.0000000
chrI	600	800	782	200	200	1.0000000
chrI	800	1000	776	200	200	1.0000000
chrI	1000	1200	789	200	200	1.0000000
chrI	1200	1400	693	200	200	1.0000000
chrI	1400	1600	668	200	200	1.0000000
chrI	1600	1800	721	200	200	1.0000000
chrI	1800	2000	617	200	200	1.0000000
chrI	2000	2200	707	200	200	1.0000000
chrI	2200	2400	710	200	200	1.0000000
chrI	2400	2600	699	200	200	1.0000000
chrI	2600	2800	699	200	200	1.0000000
chrI	2800	3000	756	200	200	1.0000000
chrI	3000	3200	784	200	200	1.0000000
chrI	3200	3400	760	200	200	1.0000000
chrI	3400	3600	818	200	200	1.0000000
chrI	3600	3800	790	200	200	1.0000000
chrI	3800	4000	795	200	200	1.0000000
chrI	4000	4200	792	200	200	1.0000000
chrI	4200	4400	812	200	200	1.0000000
chrI	4400	4600	764	200	200	1.0000000
chrI	4600	4800	786	200	200	1.0000000
chrI	4800	5000	717	200	200	1.0000000
chrI	5000	5200	752	200	200	1.0000000
chrI	5200	5400	769	200	200	1.0000000
chrI	5400	5600	697	200	200	1.0000000
chrI	5600	5800	686	200	200	1.0000000
chrI	5800	6000	705	200	200	1.0000000
chrI	6000	6200	722	200	200	1.0000000
chrI	6200	6400	702	200	200	1.0000000
chrI	6400	6600	723	200	200	1.0000000
chrI	6600	6800	696	200	200	1.0000000
chrI	6800	7000	699	200	200	1.0000000
chrI	7000	7200	741	200	200	1.0000000
chrI	7200	7400	723	200	200	1.0000000
chrI	7400	7600	683	200	200	1.0000000
chrI	7600	7800	700	200	200	1.0000000
chrI	7800	8000	711	200	200	1.0000000
chrI	8000	8200	669	200	200	1.0000000
chrI	8200	8400	695	200	200	1.0000000
chrI	8400	8600	752	200	200	1.0000000
chrI	8600	8800	734	200	200	1.0000000
chrI	8800	9000	775	200	200	1.0000000
chrI	9000	9200	795	200	200	1.0000000
chrI	9200	9400	734	200	200	1.0000000
chrI	9400	9600	774	200	200	1.0000000
chrI	9600	9800	740	200	200	1.0000000
chrI	9800	10000	784	200	200	1.0000000
chrI	10000	10200	806	200	200	1.0000000
chrI	10200	10400	775	200	200	1.0000000
chrI	10400	10600	743	200	200	1.0000000
chrI	10600	10800	726	200	200	1.0000000
chrI	10800	11000	759	200	200	1.0000000
chrI	11000	11200	739	200	200	1.0000000
chrI	11200	11400	790	200	200	1.0000000
chrI	11400	11600	766	200	200	1.0000000
chrI	11600	11800	675	200	200	1.0000000
chrI	11800	12000	656	200	200	1.0000000
chrI	12000	12200	686	200	200	1.0000000
chrI	12200	12400	691	200	200	1.0000000
chrI	12400	12600	1027	200	200	1.0000000
chrI	12600	12800	1921	200	200	1.0000000
chrI	12800	13000	777	200	200	1.0000000
chrI	13000	13200	805	200	200	1.0000000
chrI	13200	13400	670	200	200	1.0000000
chrI	13400	13600	715	200	200	1.0000000
chrI	13600	13800	673	200	200	1.0000000
chrI	13800	14000	649	200	200	1.0000000
chrI	14000	14200	672	200	200	1.0000000
chrI	14200	14400	700	200	200	1.0000000
chrI	14400	14600	674	200	200	1.0000000
chrI	14600	14800	725	200	200	1.0000000
chrI	14800	15000	755	200	200	1.0000000
chrI	15000	15200	748	200	200	1.0000000
chrI	15200	15400	697	200	200	1.0000000
chrI	15400	15600	669	200	200	1.0000000
chrI	15600	15800	644	200	200	1.0000000
chrI	15800	16000	683	200	200	1.0000000
chrI	16000	16200	700	200	200	1.0000000
chrI	16200	16400	758	200	200	1.0000000
chrI	16400	16600	764	200	200	1.0000000
chrI	16600	16800	699	200	200	1.0000000
chrI	16800	17000	722	200	200	1.0000000
chrI	17000	17200	751	200	200	1.0000000
chrI	17200	17400	779	200	200	1.0000000
chrI	17400	17600	742	200	200	1.0000000
chrI	17600	17800	647	200	200	1.0000000
chrI	17800	18000	678	200	200	1.0000000
chrI	18000	18200	721	200	200	1.0000000
chrI	18200	18400	672	200	200	1.0000000
chrI	18400	18600	724	200	200	1.0000000
chrI	18600	18800	726	200	200	1.0000000
chrI	18800	19000	705	200	200	1.0000000
chrI	19000	19200	710	200	200	1.0000000
chrI	19200	19400	760	200	200	1.0000000
chrI	19400	19600	707	200	200	1.0000000
chrI	19600	19800	668	200	200	1.0000000
chrI	19800	20000	605	200	200	1.0000000
chrI	20000	20200	610	200	200	1.0000000
chrI	20200	20400	622	200	200	1.0000000
chrI	20400	20600	687	200	200	1.0000000
chrI	20600	20800	712	200	200	1.0000000
chrI	20800	21000	686	200	200	1.0000000
chrI	21000	21200	711	200	200	1.0000000
chrI	21200	21400	691	200	200	1.0000000
chrI	21400	21600	612	200	200	1.0000000
chrI	21600	21800	619	200	200	1.0000000
chrI	21800	22000	647	200	200	1.0000000
chrI	22000	22200	637	200	200	1.0000000
chrI	22200	22400	721	200	200	1.0000000
chrI	22400	22600	737	200	200	1.0000000
chrI	22600	22800	697	200	200	1.0000000
chrI	22800	23000	669	200	200	1.0000000
chrI	23000	23200	664	200	200	1.0000000
chrI	23200	23400	619	200	200	1.0000000
chrI	23400	23600	567	200	200	1.0000000
chrI	23600	23800	474	200	200	1.0000000
