chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	330	200	200	1.0000000
chrI	200	400	440	200	200	1.0000000
chrI	400	600	539	200	200	1.0000000
chrI	600	800	593	200	200	1.0000000
chrI	800	1000	556	200	200	1.0000000
chrI	1000	1200	574	200	200	1.0000000
chrI	1200	1400	553	200	200	1.0000000
chrI	1400	1600	535	200	200	1.0000000
chrI	1600	1800	544	200	200	1.0000000
chrI	1800	2000	450	200	200	1.0000000
chrI	2000	2200	516	200	200	1.0000000
chrI	2200	2400	523	200	200	1.0000000
chrI	2400	2600	477	200	200	1.0000000
chrI	2600	2800	470	200	200	1.0000000
chrI	2800	3000	530	200	200	1.0000000
chrI	3000	3200	595	200	200	1.0000000
chrI	3200	3400	567	200	200	1.0000000
chrI	3400	3600	587	200	200	1.0000000
chrI	3600	3800	618	200	200	1.0000000
chrI	3800	4000	582	200	200	1.0000000
chrI	4000	4200	566	200	200	1.0000000
chrI	4200	4400	541	200	200	1.0000000
chrI	4400	4600	594	200	200	1.0000000
chrI	4600	4800	592	200	200	1.0000000
chrI	4800	5000	548	200	200	1.0000000
chrI	5000	5200	547	200	200	1.0000000
chrI	5200	5400	538	200	200	1.0000000
chrI	5400	5600	542	200	200	1.0000000
chrI	5600	5800	513	200	200	1.0000000
chrI	5800	6000	483	200	200	1.0000000
chrI	6000	6200	555	200	200	1.0000000
chrI	6200	6400	527	200	200	1.0000000
chrI	6400	6600	501	200	200	1.0000000
chrI	6600	6800	441	200	200	1.0000000
chrI	6800	7000	477	200	200	1.0000000
chrI	7000	7200	515	200	200	1.0000000
chrI	7200	7400	556	200	200	1.0000000
chrI	7400	7600	513	200	200	1.0000000
chrI	7600	7800	544	200	200	1.0000000
chrI	7800	8000	581	200	200	1.0000000
chrI	8000	8200	529	200	200	1.0000000
chrI	8200	8400	537	200	200	1.0000000
chrI	8400	8600	580	200	200	1.0000000
chrI	8600	8800	608	200	200	1.0000000
chrI	8800	9000	616	200	200	1.0000000
chrI	9000	9200	626	200	200	1.0000000
chrI	9200	9400	540	200	200	1.0000000
chrI	9400	9600	517	200	200	1.0000000
chrI	9600	9800	555	200	200	1.0000000
chrI	9800	10000	545	200	200	1.0000000
chrI	10000	10200	542	200	200	1.0000000
chrI	10200	10400	520	200	200	1.0000000
chrI	10400	10600	544	200	200	1.0000000
chrI	10600	10800	543	200	200	1.0000000
chrI	10800	11000	563	200	200	1.0000000
chrI	11000	11200	568	200	200	1.0000000
chrI	11200	11400	545	200	200	1.0000000
chrI	11400	11600	529	200	200	1.0000000
chrI	11600	11800	459	200	200	1.0000000
chrI	11800	12000	427	200	200	1.0000000
chrI	12000	12200	455	200	200	1.0000000
chrI	12200	12400	468	200	200	1.0000000
chrI	12400	12600	722	200	200	1.0000000
chrI	12600	12800	1310	200	200	1.0000000
chrI	12800	13000	555	200	200	1.0000000
chrI	13000	13200	559	200	200	1.0000000
chrI	13200	13400	525	200	200	1.0000000
chrI	13400	13600	477	200	200	1.0000000
chrI	13600	13800	496	200	200	1.0000000
chrI	13800	14000	535	200	200	1.0000000
chrI	14000	14200	488	200	200	1.0000000
chrI	14200	14400	455	200	200	1.0000000
chrI	14400	14600	456	200	200	1.0000000
chrI	14600	14800	495	200	200	1.0000000
chrI	14800	15000	540	200	200	1.0000000
chrI	15000	15200	516	200	200	1.0000000
chrI	15200	15400	479	200	200	1.0000000
chrI	15400	15600	482	200	200	1.0000000
chrI	15600	15800	501	200	200	1.0000000
chrI	15800	16000	535	200	200	1.0000000
chrI	16000	16200	549	200	200	1.0000000
chrI	16200	16400	556	200	200	1.0000000
chrI	16400	16600	532	200	200	1.0000000
chrI	16600	16800	499	200	200	1.0000000
chrI	16800	17000	500	200	200	1.0000000
chrI	17000	17200	557	200	200	1.0000000
chrI	17200	17400	573	200	200	1.0000000
chrI	17400	17600	550	200	200	1.0000000
chrI	17600	17800	523	200	200	1.0000000
chrI	17800	18000	525	200	200	1.0000000
chrI	18000	18200	587	200	200	1.0000000
chrI	18200	18400	524	200	200	1.0000000
chrI	18400	18600	522	200	200	1.0000000
chrI	18600	18800	503	200	200	1.0000000
chrI	18800	19000	487	200	200	1.0000000
chrI	19000	19200	524	200	200	1.0000000
chrI	19200	19400	536	200	200	1.0000000
chrI	19400	19600	535	200	200	1.0000000
chrI	19600	19800	497	200	200	1.0000000
chrI	19800	20000	460	200	200	1.0000000
chrI	20000	20200	465	200	200	1.0000000
chrI	20200	20400	509	200	200	1.0000000
chrI	20400	20600	518	200	200	1.0000000
chrI	20600	20800	486	200	200	1.0000000
chrI	20800	21000	494	200	200	1.0000000
chrI	21000	21200	509	200	200	1.0000000
chrI	21200	21400	560	200	200	1.0000000
chrI	21400	21600	524	200	200	1.0000000
chrI	21600	21800	463	200	200	1.0000000
chrI	21800	22000	456	200	200	1.0000000
chrI	22000	22200	501	200	200	1.0000000
chrI	22200	22400	579	200	200	1.0000000
chrI	22400	22600	559	200	200	1.0000000
chrI	22600	22800	511	200	200	1.0000000
chrI	22800	23000	586	200	200	1.0000000
chrI	23000	23200	566	200	200	1.0000000
chrI	23200	23400	503	200	200	1.0000000
chrI	23400	23600	377	200	200	1.0000000
chrI	23600	23800	330	200	200	1.0000000
chrI	23800	24000	403	200	200	1.0000000
chrI	24000	24200	420	200	200	1.0000000
chrI	24200	24400	436	200	200	1.0000000
chrI	24400	24600	447	200	200	1.0000000
chrI	24600	24800	453	200	200	1.0000000
chrI	24800	25000	458	200	200	1.0000000
chrI	25000	25200	469	200	200	1.0000000
chrI	25200	25400	441	200	200	1.0000000
chrI	25400	25600	473	200	200	1.0000000
chrI	25600	25800	301	200	200	1.0000000
chrI	25800	26000	396	200	200	1.0000000
chrI	26000	26200	331	200	200	1.0000000
chrI	26200	26400	382	200	200	1.0000000
chrI	26400	26600	278	200	200	1.0000000
chrI	26600	26800	313	200	200	1.0000000
chrI	26800	27000	824	200	200	1.0000000
chrI	27000	27200	779	200	200	1.0000000
chrI	27200	27400	471	200	200	1.0000000
chrI	27400	27600	494	200	200	1.0000000
chrI	27600	27800	546	200	200	1.0000000
chrI	27800	28000	545	200	200	1.0000000
chrI	28000	28200	553	200	200	1.0000000
chrI	28200	28400	543	200	200	1.0000000
chrI	28400	28600	464	200	200	1.0000000
chrI	28600	28800	491	200	200	1.0000000
chrI	28800	29000	544	200	200	1.0000000
chrI	29000	29200	559	200	200	1.0000000
chrI	29200	29400	478	200	200	1.0000000
chrI	29400	29600	502	200	200	1.0000000
chrI	29600	29800	564	200	200	1.0000000
chrI	29800	30000	517	200	200	1.0000000
chrI	30000	30200	524	200	200	1.0000000
chrI	30200	30400	464	200	200	1.0000000
chrI	30400	30600	473	200	200	1.0000000
chrI	30600	30800	530	200	200	1.0000000
chrI	30800	31000	516	200	200	1.0000000
chrI	31000	31200	466	200	200	1.0000000
chrI	31200	31400	438	200	200	1.0000000
chrI	31400	31600	388	200	200	1.0000000
chrI	31600	31800	392	200	200	1.0000000
chrI	31800	32000	411	200	200	1.0000000
chrI	32000	32200	427	200	200	1.0000000
chrI	32200	32400	434	200	200	1.0000000
chrI	32400	32600	399	200	200	1.0000000
chrI	32600	32800	386	200	200	1.0000000
chrI	32800	33000	404	200	200	1.0000000
chrI	33000	33200	430	200	200	1.0000000
chrI	33200	33400	527	200	200	1.0000000
chrI	33400	33600	498	200	200	1.0000000
chrI	33600	33800	393	200	200	1.0000000
chrI	33800	34000	382	200	200	1.0000000
chrI	34000	34200	375	200	200	1.0000000
chrI	34200	34400	429	200	200	1.0000000
chrI	34400	34600	452	200	200	1.0000000
chrI	34600	34800	482	200	200	1.0000000
chrI	34800	35000	429	200	200	1.0000000
chrI	35000	35200	397	200	200	1.0000000
chrI	35200	35400	409	200	200	1.0000000
chrI	35400	35600	452	200	200	1.0000000
chrI	35600	35800	454	200	200	1.0000000
chrI	35800	36000	505	200	200	1.0000000
chrI	36000	36200	472	200	200	1.0000000
chrI	36200	36400	463	200	200	1.0000000
chrI	36400	36600	514	200	200	1.0000000
chrI	36600	36800	506	200	200	1.0000000
chrI	36800	37000	515	200	200	1.0000000
chrI	37000	37200	474	200	200	1.0000000
chrI	37200	37400	471	200	200	1.0000000
chrI	37400	37600	485	200	200	1.0000000
chrI	37600	37800	465	200	200	1.0000000
chrI	37800	38000	385	200	200	1.0000000
chrI	38000	38200	416	200	200	1.0000000
chrI	38200	38400	431	200	200	1.0000000
chrI	38400	38600	405	200	200	1.0000000
chrI	38600	38800	398	200	200	1.0000000
chrI	38800	39000	450	200	200	1.0000000
chrI	39000	39200	515	200	200	1.0000000
chrI	39200	39400	480	200	200	1.0000000
chrI	39400	39600	532	200	200	1.0000000
chrI	39600	39800	531	200	200	1.0000000
chrI	39800	40000	524	200	200	1.0000000
chrI	40000	40200	481	200	200	1.0000000
chrI	40200	40400	505	200	200	1.0000000
chrI	40400	40600	509	200	200	1.0000000
chrI	40600	40800	450	200	200	1.0000000
chrI	40800	41000	466	200	200	1.0000000
chrI	41000	41200	482	200	200	1.0000000
chrI	41200	41400	505	200	200	1.0000000
chrI	41400	41600	501	200	200	1.0000000
chrI	41600	41800	561	200	200	1.0000000
chrI	41800	42000	531	200	200	1.0000000
chrI	42000	42200	517	200	200	1.0000000
chrI	42200	42400	463	200	200	1.0000000
chrI	42400	42600	447	200	200	1.0000000
chrI	42600	42800	457	200	200	1.0000000
chrI	42800	43000	450	200	200	1.0000000
chrI	43000	43200	438	200	200	1.0000000
chrI	43200	43400	390	200	200	1.0000000
chrI	43400	43600	384	200	200	1.0000000
chrI	43600	43800	406	200	200	1.0000000
chrI	43800	44000	393	200	200	1.0000000
chrI	44000	44200	439	200	200	1.0000000
chrI	44200	44400	455	200	200	1.0000000
chrI	44400	44600	478	200	200	1.0000000
chrI	44600	44800	399	200	200	1.0000000
chrI	44800	45000	364	200	200	1.0000000
chrI	45000	45200	349	200	200	1.0000000
chrI	45200	45400	307	200	200	1.0000000
chrI	45400	45600	324	200	200	1.0000000
chrI	45600	45800	376	200	200	1.0000000
chrI	45800	46000	475	200	200	1.0000000
chrI	46000	46200	499	200	200	1.0000000
chrI	46200	46400	454	200	200	1.0000000
chrI	46400	46600	449	200	200	1.0000000
chrI	46600	46800	485	200	200	1.0000000
chrI	46800	47000	516	200	200	1.0000000
chrI	47000	47200	474	200	200	1.0000000
chrI	47200	47400	517	200	200	1.0000000
chrI	47400	47600	505	200	200	1.0000000
chrI	47600	47800	490	200	200	1.0000000
chrI	47800	48000	451	200	200	1.0000000
chrI	48000	48200	423	200	200	1.0000000
chrI	48200	48400	466	200	200	1.0000000
chrI	48400	48600	398	200	200	1.0000000
chrI	48600	48800	396	200	200	1.0000000
chrI	48800	49000	449	200	200	1.0000000
chrI	49000	49200	458	200	200	1.0000000
chrI	49200	49400	497	200	200	1.0000000
chrI	49400	49600	486	200	200	1.0000000
chrI	49600	49800	449	200	200	1.0000000
chrI	49800	50000	492	200	200	1.0000000
chrI	50000	50200	487	200	200	1.0000000
chrI	50200	50400	489	200	200	1.0000000
chrI	50400	50600	575	200	200	1.0000000
chrI	50600	50800	552	200	200	1.0000000
chrI	50800	51000	496	200	200	1.0000000
chrI	51000	51200	521	200	200	1.0000000
