chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	434	200	200	1.0000000
chrI	200	400	561	200	200	1.0000000
chrI	400	600	576	200	200	1.0000000
chrI	600	800	669	200	200	1.0000000
chrI	800	1000	665	200	200	1.0000000
chrI	1000	1200	690	200	200	1.0000000
chrI	1200	1400	630	200	200	1.0000000
chrI	1400	1600	612	200	200	1.0000000
chrI	1600	1800	675	200	200	1.0000000
chrI	1800	2000	586	200	200	1.0000000
chrI	2000	2200	594	200	200	1.0000000
chrI	2200	2400	602	200	200	1.0000000
chrI	2400	2600	611	200	200	1.0000000
chrI	2600	2800	580	200	200	1.0000000
chrI	2800	3000	665	200	200	1.0000000
chrI	3000	3200	702	200	200	1.0000000
chrI	3200	3400	655	200	200	1.0000000
chrI	3400	3600	673	200	200	1.0000000
chrI	3600	3800	684	200	200	1.0000000
chrI	3800	4000	723	200	200	1.0000000
chrI	4000	4200	758	200	200	1.0000000
chrI	4200	4400	728	200	200	1.0000000
chrI	4400	4600	698	200	200	1.0000000
chrI	4600	4800	675	200	200	1.0000000
chrI	4800	5000	629	200	200	1.0000000
chrI	5000	5200	694	200	200	1.0000000
chrI	5200	5400	668	200	200	1.0000000
chrI	5400	5600	632	200	200	1.0000000
chrI	5600	5800	685	200	200	1.0000000
chrI	5800	6000	649	200	200	1.0000000
chrI	6000	6200	631	200	200	1.0000000
chrI	6200	6400	636	200	200	1.0000000
chrI	6400	6600	599	200	200	1.0000000
chrI	6600	6800	602	200	200	1.0000000
chrI	6800	7000	656	200	200	1.0000000
chrI	7000	7200	715	200	200	1.0000000
chrI	7200	7400	713	200	200	1.0000000
chrI	7400	7600	673	200	200	1.0000000
chrI	7600	7800	666	200	200	1.0000000
chrI	7800	8000	704	200	200	1.0000000
chrI	8000	8200	629	200	200	1.0000000
chrI	8200	8400	727	200	200	1.0000000
chrI	8400	8600	769	200	200	1.0000000
chrI	8600	8800	758	200	200	1.0000000
chrI	8800	9000	700	200	200	1.0000000
chrI	9000	9200	695	200	200	1.0000000
chrI	9200	9400	674	200	200	1.0000000
chrI	9400	9600	648	200	200	1.0000000
chrI	9600	9800	703	200	200	1.0000000
chrI	9800	10000	717	200	200	1.0000000
chrI	10000	10200	755	200	200	1.0000000
chrI	10200	10400	767	200	200	1.0000000
chrI	10400	10600	664	200	200	1.0000000
chrI	10600	10800	696	200	200	1.0000000
chrI	10800	11000	687	200	200	1.0000000
chrI	11000	11200	715	200	200	1.0000000
chrI	11200	11400	751	200	200	1.0000000
chrI	11400	11600	757	200	200	1.0000000
chrI	11600	11800	621	200	200	1.0000000
chrI	11800	12000	597	200	200	1.0000000
chrI	12000	12200	615	200	200	1.0000000
chrI	12200	12400	628	200	200	1.0000000
chrI	12400	12600	934	200	200	1.0000000
chrI	12600	12800	1911	200	200	1.0000000
chrI	12800	13000	745	200	200	1.0000000
chrI	13000	13200	704	200	200	1.0000000
chrI	13200	13400	631	200	200	1.0000000
chrI	13400	13600	655	200	200	1.0000000
chrI	13600	13800	629	200	200	1.0000000
chrI	13800	14000	659	200	200	1.0000000
chrI	14000	14200	681	200	200	1.0000000
chrI	14200	14400	643	200	200	1.0000000
chrI	14400	14600	612	200	200	1.0000000
chrI	14600	14800	586	200	200	1.0000000
chrI	14800	15000	625	200	200	1.0000000
chrI	15000	15200	605	200	200	1.0000000
chrI	15200	15400	627	200	200	1.0000000
chrI	15400	15600	601	200	200	1.0000000
chrI	15600	15800	692	200	200	1.0000000
chrI	15800	16000	690	200	200	1.0000000
chrI	16000	16200	700	200	200	1.0000000
chrI	16200	16400	736	200	200	1.0000000
chrI	16400	16600	740	200	200	1.0000000
chrI	16600	16800	688	200	200	1.0000000
chrI	16800	17000	617	200	200	1.0000000
chrI	17000	17200	701	200	200	1.0000000
chrI	17200	17400	713	200	200	1.0000000
chrI	17400	17600	732	200	200	1.0000000
chrI	17600	17800	649	200	200	1.0000000
chrI	17800	18000	628	200	200	1.0000000
chrI	18000	18200	658	200	200	1.0000000
chrI	18200	18400	632	200	200	1.0000000
chrI	18400	18600	669	200	200	1.0000000
chrI	18600	18800	606	200	200	1.0000000
chrI	18800	19000	687	200	200	1.0000000
chrI	19000	19200	665	200	200	1.0000000
chrI	19200	19400	677	200	200	1.0000000
chrI	19400	19600	598	200	200	1.0000000
chrI	19600	19800	672	200	200	1.0000000
chrI	19800	20000	580	200	200	1.0000000
chrI	20000	20200	591	200	200	1.0000000
chrI	20200	20400	636	200	200	1.0000000
chrI	20400	20600	663	200	200	1.0000000
chrI	20600	20800	590	200	200	1.0000000
chrI	20800	21000	583	200	200	1.0000000
chrI	21000	21200	618	200	200	1.0000000
chrI	21200	21400	653	200	200	1.0000000
chrI	21400	21600	634	200	200	1.0000000
chrI	21600	21800	623	200	200	1.0000000
chrI	21800	22000	649	200	200	1.0000000
chrI	22000	22200	647	200	200	1.0000000
chrI	22200	22400	666	200	200	1.0000000
chrI	22400	22600	736	200	200	1.0000000
chrI	22600	22800	664	200	200	1.0000000
chrI	22800	23000	661	200	200	1.0000000
chrI	23000	23200	636	200	200	1.0000000
chrI	23200	23400	613	200	200	1.0000000
chrI	23400	23600	531	200	200	1.0000000
chrI	23600	23800	475	200	200	1.0000000
chrI	23800	24000	548	200	200	1.0000000
