chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	422	200	200	1.0000000
chrI	200	400	575	200	200	1.0000000
chrI	400	600	650	200	200	1.0000000
chrI	600	800	699	200	200	1.0000000
chrI	800	1000	742	200	200	1.0000000
chrI	1000	1200	724	200	200	1.0000000
chrI	1200	1400	687	200	200	1.0000000
chrI	1400	1600	673	200	200	1.0000000
chrI	1600	1800	708	200	200	1.0000000
chrI	1800	2000	659	200	200	1.0000000
chrI	2000	2200	728	200	200	1.0000000
chrI	2200	2400	747	200	200	1.0000000
chrI	2400	2600	678	200	200	1.0000000
chrI	2600	2800	648	200	200	1.0000000
chrI	2800	3000	693	200	200	1.0000000
chrI	3000	3200	750	200	200	1.0000000
chrI	3200	3400	740	200	200	1.0000000
chrI	3400	3600	720	200	200	1.0000000
chrI	3600	3800	708	200	200	1.0000000
chrI	3800	4000	757	200	200	1.0000000
chrI	4000	4200	724	200	200	1.0000000
chrI	4200	4400	678	200	200	1.0000000
chrI	4400	4600	699	200	200	1.0000000
chrI	4600	4800	717	200	200	1.0000000
chrI	4800	5000	704	200	200	1.0000000
chrI	5000	5200	699	200	200	1.0000000
chrI	5200	5400	709	200	200	1.0000000
chrI	5400	5600	694	200	200	1.0000000
chrI	5600	5800	678	200	200	1.0000000
chrI	5800	6000	690	200	200	1.0000000
chrI	6000	6200	677	200	200	1.0000000
chrI	6200	6400	684	200	200	1.0000000
chrI	6400	6600	720	200	200	1.0000000
chrI	6600	6800	659	200	200	1.0000000
chrI	6800	7000	681	200	200	1.0000000
chrI	7000	7200	766	200	200	1.0000000
chrI	7200	7400	707	200	200	1.0000000
chrI	7400	7600	714	200	200	1.0000000
chrI	7600	7800	721	200	200	1.0000000
chrI	7800	8000	723	200	200	1.0000000
chrI	8000	8200	631	200	200	1.0000000
chrI	8200	8400	615	200	200	1.0000000
chrI	8400	8600	738	200	200	1.0000000
chrI	8600	8800	735	200	200	1.0000000
chrI	8800	9000	702	200	200	1.0000000
chrI	9000	9200	734	200	200	1.0000000
chrI	9200	9400	713	200	200	1.0000000
chrI	9400	9600	714	200	200	1.0000000
chrI	9600	9800	761	200	200	1.0000000
chrI	9800	10000	770	200	200	1.0000000
chrI	10000	10200	771	200	200	1.0000000
chrI	10200	10400	785	200	200	1.0000000
chrI	10400	10600	708	200	200	1.0000000
chrI	10600	10800	730	200	200	1.0000000
chrI	10800	11000	726	200	200	1.0000000
chrI	11000	11200	705	200	200	1.0000000
chrI	11200	11400	705	200	200	1.0000000
chrI	11400	11600	762	200	200	1.0000000
chrI	11600	11800	674	200	200	1.0000000
chrI	11800	12000	629	200	200	1.0000000
chrI	12000	12200	644	200	200	1.0000000
chrI	12200	12400	653	200	200	1.0000000
chrI	12400	12600	911	200	200	1.0000000
chrI	12600	12800	1807	200	200	1.0000000
chrI	12800	13000	738	200	200	1.0000000
chrI	13000	13200	765	200	200	1.0000000
chrI	13200	13400	712	200	200	1.0000000
chrI	13400	13600	693	200	200	1.0000000
chrI	13600	13800	649	200	200	1.0000000
chrI	13800	14000	639	200	200	1.0000000
chrI	14000	14200	648	200	200	1.0000000
chrI	14200	14400	678	200	200	1.0000000
chrI	14400	14600	638	200	200	1.0000000
chrI	14600	14800	668	200	200	1.0000000
chrI	14800	15000	701	200	200	1.0000000
chrI	15000	15200	684	200	200	1.0000000
chrI	15200	15400	659	200	200	1.0000000
chrI	15400	15600	601	200	200	1.0000000
chrI	15600	15800	666	200	200	1.0000000
chrI	15800	16000	705	200	200	1.0000000
chrI	16000	16200	722	200	200	1.0000000
chrI	16200	16400	752	200	200	1.0000000
chrI	16400	16600	722	200	200	1.0000000
chrI	16600	16800	714	200	200	1.0000000
chrI	16800	17000	681	200	200	1.0000000
chrI	17000	17200	735	200	200	1.0000000
chrI	17200	17400	763	200	200	1.0000000
chrI	17400	17600	759	200	200	1.0000000
chrI	17600	17800	674	200	200	1.0000000
chrI	17800	18000	605	200	200	1.0000000
chrI	18000	18200	659	200	200	1.0000000
chrI	18200	18400	678	200	200	1.0000000
chrI	18400	18600	705	200	200	1.0000000
chrI	18600	18800	620	200	200	1.0000000
chrI	18800	19000	662	200	200	1.0000000
chrI	19000	19200	709	200	200	1.0000000
chrI	19200	19400	725	200	200	1.0000000
chrI	19400	19600	642	200	200	1.0000000
chrI	19600	19800	671	200	200	1.0000000
chrI	19800	20000	646	200	200	1.0000000
chrI	20000	20200	659	200	200	1.0000000
chrI	20200	20400	653	200	200	1.0000000
chrI	20400	20600	702	200	200	1.0000000
chrI	20600	20800	650	200	200	1.0000000
chrI	20800	21000	656	200	200	1.0000000
chrI	21000	21200	653	200	200	1.0000000
chrI	21200	21400	726	200	200	1.0000000
chrI	21400	21600	666	200	200	1.0000000
chrI	21600	21800	609	200	200	1.0000000
chrI	21800	22000	573	200	200	1.0000000
chrI	22000	22200	633	200	200	1.0000000
chrI	22200	22400	718	200	200	1.0000000
chrI	22400	22600	774	200	200	1.0000000
chrI	22600	22800	683	200	200	1.0000000
chrI	22800	23000	695	200	200	1.0000000
chrI	23000	23200	628	200	200	1.0000000
chrI	23200	23400	604	200	200	1.0000000
chrI	23400	23600	535	200	200	1.0000000
chrI	23600	23800	521	200	200	1.0000000
chrI	23800	24000	539	200	200	1.0000000
chrI	24000	24200	572	200	200	1.0000000
chrI	24200	24400	592	200	200	1.0000000
chrI	24400	24600	604	200	200	1.0000000
chrI	24600	24800	680	200	200	1.0000000
chrI	24800	25000	704	200	200	1.0000000
chrI	25000	25200	731	200	200	1.0000000
chrI	25200	25400	636	200	200	1.0000000
chrI	25400	25600	625	200	200	1.0000000
chrI	25600	25800	442	200	200	1.0000000
chrI	25800	26000	545	200	200	1.0000000
chrI	26000	26200	458	200	200	1.0000000
chrI	26200	26400	495	200	200	1.0000000
chrI	26400	26600	402	200	200	1.0000000
chrI	26600	26800	453	200	200	1.0000000
chrI	26800	27000	1134	200	200	1.0000000
chrI	27000	27200	1105	200	200	1.0000000
chrI	27200	27400	654	200	200	1.0000000
chrI	27400	27600	648	200	200	1.0000000
chrI	27600	27800	701	200	200	1.0000000
chrI	27800	28000	677	200	200	1.0000000
chrI	28000	28200	689	200	200	1.0000000
chrI	28200	28400	694	200	200	1.0000000
chrI	28400	28600	669	200	200	1.0000000
chrI	28600	28800	654	200	200	1.0000000
chrI	28800	29000	658	200	200	1.0000000
chrI	29000	29200	672	200	200	1.0000000
chrI	29200	29400	645	200	200	1.0000000
chrI	29400	29600	676	200	200	1.0000000
chrI	29600	29800	692	200	200	1.0000000
chrI	29800	30000	660	200	200	1.0000000
chrI	30000	30200	655	200	200	1.0000000
chrI	30200	30400	598	200	200	1.0000000
