chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	437	200	200	1.0000000
chrI	200	400	613	200	200	1.0000000
chrI	400	600	709	200	200	1.0000000
chrI	600	800	744	200	200	1.0000000
chrI	800	1000	720	200	200	1.0000000
chrI	1000	1200	751	200	200	1.0000000
chrI	1200	1400	698	200	200	1.0000000
chrI	1400	1600	643	200	200	1.0000000
chrI	1600	1800	766	200	200	1.0000000
chrI	1800	2000	706	200	200	1.0000000
chrI	2000	2200	736	200	200	1.0000000
chrI	2200	2400	717	200	200	1.0000000
chrI	2400	2600	695	200	200	1.0000000
chrI	2600	2800	690	200	200	1.0000000
chrI	2800	3000	759	200	200	1.0000000
chrI	3000	3200	809	200	200	1.0000000
chrI	3200	3400	789	200	200	1.0000000
chrI	3400	3600	767	200	200	1.0000000
chrI	3600	3800	729	200	200	1.0000000
chrI	3800	4000	736	200	200	1.0000000
chrI	4000	4200	781	200	200	1.0000000
chrI	4200	4400	779	200	200	1.0000000
chrI	4400	4600	758	200	200	1.0000000
chrI	4600	4800	771	200	200	1.0000000
chrI	4800	5000	750	200	200	1.0000000
chrI	5000	5200	794	200	200	1.0000000
chrI	5200	5400	763	200	200	1.0000000
chrI	5400	5600	684	200	200	1.0000000
chrI	5600	5800	706	200	200	1.0000000
chrI	5800	6000	730	200	200	1.0000000
chrI	6000	6200	756	200	200	1.0000000
chrI	6200	6400	749	200	200	1.0000000
chrI	6400	6600	709	200	200	1.0000000
chrI	6600	6800	624	200	200	1.0000000
chrI	6800	7000	736	200	200	1.0000000
chrI	7000	7200	791	200	200	1.0000000
chrI	7200	7400	743	200	200	1.0000000
chrI	7400	7600	726	200	200	1.0000000
chrI	7600	7800	724	200	200	1.0000000
chrI	7800	8000	762	200	200	1.0000000
chrI	8000	8200	716	200	200	1.0000000
chrI	8200	8400	768	200	200	1.0000000
chrI	8400	8600	859	200	200	1.0000000
chrI	8600	8800	902	200	200	1.0000000
chrI	8800	9000	830	200	200	1.0000000
chrI	9000	9200	878	200	200	1.0000000
chrI	9200	9400	725	200	200	1.0000000
chrI	9400	9600	701	200	200	1.0000000
chrI	9600	9800	759	200	200	1.0000000
chrI	9800	10000	793	200	200	1.0000000
chrI	10000	10200	837	200	200	1.0000000
chrI	10200	10400	833	200	200	1.0000000
chrI	10400	10600	736	200	200	1.0000000
chrI	10600	10800	721	200	200	1.0000000
chrI	10800	11000	767	200	200	1.0000000
chrI	11000	11200	783	200	200	1.0000000
chrI	11200	11400	773	200	200	1.0000000
chrI	11400	11600	754	200	200	1.0000000
chrI	11600	11800	708	200	200	1.0000000
chrI	11800	12000	630	200	200	1.0000000
chrI	12000	12200	631	200	200	1.0000000
chrI	12200	12400	653	200	200	1.0000000
chrI	12400	12600	1027	200	200	1.0000000
chrI	12600	12800	1981	200	200	1.0000000
chrI	12800	13000	747	200	200	1.0000000
chrI	13000	13200	670	200	200	1.0000000
chrI	13200	13400	679	200	200	1.0000000
chrI	13400	13600	686	200	200	1.0000000
chrI	13600	13800	720	200	200	1.0000000
chrI	13800	14000	714	200	200	1.0000000
chrI	14000	14200	712	200	200	1.0000000
chrI	14200	14400	657	200	200	1.0000000
chrI	14400	14600	642	200	200	1.0000000
chrI	14600	14800	659	200	200	1.0000000
chrI	14800	15000	695	200	200	1.0000000
chrI	15000	15200	724	200	200	1.0000000
chrI	15200	15400	661	200	200	1.0000000
chrI	15400	15600	668	200	200	1.0000000
chrI	15600	15800	749	200	200	1.0000000
chrI	15800	16000	834	200	200	1.0000000
chrI	16000	16200	764	200	200	1.0000000
chrI	16200	16400	753	200	200	1.0000000
chrI	16400	16600	715	200	200	1.0000000
chrI	16600	16800	663	200	200	1.0000000
chrI	16800	17000	670	200	200	1.0000000
chrI	17000	17200	780	200	200	1.0000000
chrI	17200	17400	774	200	200	1.0000000
chrI	17400	17600	736	200	200	1.0000000
chrI	17600	17800	728	200	200	1.0000000
chrI	17800	18000	729	200	200	1.0000000
chrI	18000	18200	744	200	200	1.0000000
chrI	18200	18400	707	200	200	1.0000000
chrI	18400	18600	675	200	200	1.0000000
chrI	18600	18800	646	200	200	1.0000000
chrI	18800	19000	669	200	200	1.0000000
chrI	19000	19200	685	200	200	1.0000000
chrI	19200	19400	728	200	200	1.0000000
chrI	19400	19600	707	200	200	1.0000000
chrI	19600	19800	736	200	200	1.0000000
chrI	19800	20000	640	200	200	1.0000000
chrI	20000	20200	636	200	200	1.0000000
chrI	20200	20400	623	200	200	1.0000000
chrI	20400	20600	728	200	200	1.0000000
chrI	20600	20800	642	200	200	1.0000000
chrI	20800	21000	624	200	200	1.0000000
chrI	21000	21200	651	200	200	1.0000000
chrI	21200	21400	728	200	200	1.0000000
chrI	21400	21600	699	200	200	1.0000000
chrI	21600	21800	665	200	200	1.0000000
chrI	21800	22000	730	200	200	1.0000000
chrI	22000	22200	718	200	200	1.0000000
chrI	22200	22400	762	200	200	1.0000000
chrI	22400	22600	823	200	200	1.0000000
chrI	22600	22800	756	200	200	1.0000000
chrI	22800	23000	727	200	200	1.0000000
chrI	23000	23200	695	200	200	1.0000000
chrI	23200	23400	649	200	200	1.0000000
chrI	23400	23600	549	200	200	1.0000000
chrI	23600	23800	480	200	200	1.0000000
chrI	23800	24000	529	200	200	1.0000000
chrI	24000	24200	578	200	200	1.0000000
chrI	24200	24400	637	200	200	1.0000000
chrI	24400	24600	600	200	200	1.0000000
chrI	24600	24800	627	200	200	1.0000000
chrI	24800	25000	687	200	200	1.0000000
chrI	25000	25200	665	200	200	1.0000000
chrI	25200	25400	625	200	200	1.0000000
chrI	25400	25600	586	200	200	1.0000000
