chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	467	200	200	1.0000000
chrI	200	400	603	200	200	1.0000000
chrI	400	600	696	200	200	1.0000000
chrI	600	800	716	200	200	1.0000000
chrI	800	1000	725	200	200	1.0000000
chrI	1000	1200	689	200	200	1.0000000
chrI	1200	1400	611	200	200	1.0000000
chrI	1400	1600	644	200	200	1.0000000
chrI	1600	1800	711	200	200	1.0000000
chrI	1800	2000	599	200	200	1.0000000
chrI	2000	2200	709	200	200	1.0000000
chrI	2200	2400	704	200	200	1.0000000
chrI	2400	2600	733	200	200	1.0000000
chrI	2600	2800	664	200	200	1.0000000
chrI	2800	3000	683	200	200	1.0000000
chrI	3000	3200	750	200	200	1.0000000
chrI	3200	3400	779	200	200	1.0000000
chrI	3400	3600	776	200	200	1.0000000
chrI	3600	3800	773	200	200	1.0000000
chrI	3800	4000	732	200	200	1.0000000
chrI	4000	4200	714	200	200	1.0000000
chrI	4200	4400	724	200	200	1.0000000
chrI	4400	4600	729	200	200	1.0000000
chrI	4600	4800	750	200	200	1.0000000
chrI	4800	5000	688	200	200	1.0000000
chrI	5000	5200	736	200	200	1.0000000
chrI	5200	5400	741	200	200	1.0000000
chrI	5400	5600	688	200	200	1.0000000
chrI	5600	5800	642	200	200	1.0000000
chrI	5800	6000	648	200	200	1.0000000
chrI	6000	6200	671	200	200	1.0000000
chrI	6200	6400	693	200	200	1.0000000
chrI	6400	6600	619	200	200	1.0000000
chrI	6600	6800	564	200	200	1.0000000
chrI	6800	7000	642	200	200	1.0000000
chrI	7000	7200	711	200	200	1.0000000
chrI	7200	7400	751	200	200	1.0000000
chrI	7400	7600	711	200	200	1.0000000
chrI	7600	7800	716	200	200	1.0000000
chrI	7800	8000	767	200	200	1.0000000
chrI	8000	8200	672	200	200	1.0000000
chrI	8200	8400	691	200	200	1.0000000
chrI	8400	8600	737	200	200	1.0000000
chrI	8600	8800	820	200	200	1.0000000
chrI	8800	9000	750	200	200	1.0000000
chrI	9000	9200	697	200	200	1.0000000
chrI	9200	9400	674	200	200	1.0000000
chrI	9400	9600	709	200	200	1.0000000
chrI	9600	9800	774	200	200	1.0000000
chrI	9800	10000	752	200	200	1.0000000
chrI	10000	10200	725	200	200	1.0000000
chrI	10200	10400	747	200	200	1.0000000
chrI	10400	10600	697	200	200	1.0000000
chrI	10600	10800	712	200	200	1.0000000
chrI	10800	11000	673	200	200	1.0000000
chrI	11000	11200	692	200	200	1.0000000
chrI	11200	11400	724	200	200	1.0000000
chrI	11400	11600	699	200	200	1.0000000
chrI	11600	11800	673	200	200	1.0000000
chrI	11800	12000	643	200	200	1.0000000
chrI	12000	12200	586	200	200	1.0000000
chrI	12200	12400	630	200	200	1.0000000
chrI	12400	12600	961	200	200	1.0000000
chrI	12600	12800	1910	200	200	1.0000000
chrI	12800	13000	742	200	200	1.0000000
chrI	13000	13200	705	200	200	1.0000000
chrI	13200	13400	642	200	200	1.0000000
chrI	13400	13600	654	200	200	1.0000000
chrI	13600	13800	674	200	200	1.0000000
chrI	13800	14000	681	200	200	1.0000000
chrI	14000	14200	724	200	200	1.0000000
chrI	14200	14400	681	200	200	1.0000000
chrI	14400	14600	692	200	200	1.0000000
chrI	14600	14800	661	200	200	1.0000000
chrI	14800	15000	631	200	200	1.0000000
chrI	15000	15200	672	200	200	1.0000000
chrI	15200	15400	709	200	200	1.0000000
chrI	15400	15600	617	200	200	1.0000000
chrI	15600	15800	653	200	200	1.0000000
chrI	15800	16000	701	200	200	1.0000000
chrI	16000	16200	683	200	200	1.0000000
chrI	16200	16400	668	200	200	1.0000000
chrI	16400	16600	666	200	200	1.0000000
chrI	16600	16800	650	200	200	1.0000000
chrI	16800	17000	693	200	200	1.0000000
chrI	17000	17200	699	200	200	1.0000000
chrI	17200	17400	701	200	200	1.0000000
chrI	17400	17600	705	200	200	1.0000000
chrI	17600	17800	650	200	200	1.0000000
chrI	17800	18000	639	200	200	1.0000000
chrI	18000	18200	708	200	200	1.0000000
chrI	18200	18400	697	200	200	1.0000000
chrI	18400	18600	644	200	200	1.0000000
chrI	18600	18800	604	200	200	1.0000000
chrI	18800	19000	702	200	200	1.0000000
chrI	19000	19200	730	200	200	1.0000000
chrI	19200	19400	778	200	200	1.0000000
chrI	19400	19600	663	200	200	1.0000000
chrI	19600	19800	614	200	200	1.0000000
chrI	19800	20000	557	200	200	1.0000000
chrI	20000	20200	555	200	200	1.0000000
chrI	20200	20400	594	200	200	1.0000000
chrI	20400	20600	608	200	200	1.0000000
chrI	20600	20800	657	200	200	1.0000000
chrI	20800	21000	617	200	200	1.0000000
chrI	21000	21200	639	200	200	1.0000000
chrI	21200	21400	678	200	200	1.0000000
chrI	21400	21600	653	200	200	1.0000000
chrI	21600	21800	609	200	200	1.0000000
chrI	21800	22000	650	200	200	1.0000000
chrI	22000	22200	672	200	200	1.0000000
chrI	22200	22400	722	200	200	1.0000000
chrI	22400	22600	692	200	200	1.0000000
chrI	22600	22800	682	200	200	1.0000000
chrI	22800	23000	684	200	200	1.0000000
chrI	23000	23200	643	200	200	1.0000000
chrI	23200	23400	578	200	200	1.0000000
chrI	23400	23600	515	200	200	1.0000000
chrI	23600	23800	497	200	200	1.0000000
chrI	23800	24000	543	200	200	1.0000000
chrI	24000	24200	550	200	200	1.0000000
chrI	24200	24400	571	200	200	1.0000000
chrI	24400	24600	595	200	200	1.0000000
chrI	24600	24800	594	200	200	1.0000000
chrI	24800	25000	657	200	200	1.0000000
chrI	25000	25200	627	200	200	1.0000000
chrI	25200	25400	583	200	200	1.0000000
chrI	25400	25600	615	200	200	1.0000000
chrI	25600	25800	423	200	200	1.0000000
chrI	25800	26000	547	200	200	1.0000000
chrI	26000	26200	419	200	200	1.0000000
chrI	26200	26400	452	200	200	1.0000000
chrI	26400	26600	367	200	200	1.0000000
chrI	26600	26800	368	200	200	1.0000000
chrI	26800	27000	986	200	200	1.0000000
chrI	27000	27200	959	200	200	1.0000000
chrI	27200	27400	604	200	200	1.0000000
chrI	27400	27600	574	200	200	1.0000000
chrI	27600	27800	611	200	200	1.0000000
chrI	27800	28000	651	200	200	1.0000000
chrI	28000	28200	713	200	200	1.0000000
chrI	28200	28400	698	200	200	1.0000000
chrI	28400	28600	600	200	200	1.0000000
chrI	28600	28800	594	200	200	1.0000000
chrI	28800	29000	641	200	200	1.0000000
chrI	29000	29200	648	200	200	1.0000000
chrI	29200	29400	587	200	200	1.0000000
chrI	29400	29600	636	200	200	1.0000000
chrI	29600	29800	683	200	200	1.0000000
chrI	29800	30000	650	200	200	1.0000000
chrI	30000	30200	625	200	200	1.0000000
chrI	30200	30400	626	200	200	1.0000000
chrI	30400	30600	605	200	200	1.0000000
chrI	30600	30800	591	200	200	1.0000000
chrI	30800	31000	582	200	200	1.0000000
chrI	31000	31200	589	200	200	1.0000000
chrI	31200	31400	603	200	200	1.0000000
chrI	31400	31600	541	200	200	1.0000000
chrI	31600	31800	519	200	200	1.0000000
chrI	31800	32000	482	200	200	1.0000000
chrI	32000	32200	497	200	200	1.0000000
chrI	32200	32400	546	200	200	1.0000000
chrI	32400	32600	484	200	200	1.0000000
chrI	32600	32800	488	200	200	1.0000000
chrI	32800	33000	547	200	200	1.0000000
chrI	33000	33200	569	200	200	1.0000000
chrI	33200	33400	618	200	200	1.0000000
chrI	33400	33600	585	200	200	1.0000000
chrI	33600	33800	505	200	200	1.0000000
chrI	33800	34000	468	200	200	1.0000000
