chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	414	200	200	1.0000000
chrI	200	400	474	200	200	1.0000000
chrI	400	600	557	200	200	1.0000000
chrI	600	800	623	200	200	1.0000000
chrI	800	1000	626	200	200	1.0000000
chrI	1000	1200	629	200	200	1.0000000
chrI	1200	1400	587	200	200	1.0000000
chrI	1400	1600	568	200	200	1.0000000
chrI	1600	1800	686	200	200	1.0000000
chrI	1800	2000	534	200	200	1.0000000
chrI	2000	2200	581	200	200	1.0000000
chrI	2200	2400	557	200	200	1.0000000
chrI	2400	2600	562	200	200	1.0000000
chrI	2600	2800	609	200	200	1.0000000
chrI	2800	3000	629	200	200	1.0000000
chrI	3000	3200	649	200	200	1.0000000
chrI	3200	3400	634	200	200	1.0000000
chrI	3400	3600	648	200	200	1.0000000
chrI	3600	3800	624	200	200	1.0000000
chrI	3800	4000	640	200	200	1.0000000
chrI	4000	4200	637	200	200	1.0000000
chrI	4200	4400	679	200	200	1.0000000
chrI	4400	4600	626	200	200	1.0000000
chrI	4600	4800	551	200	200	1.0000000
chrI	4800	5000	517	200	200	1.0000000
chrI	5000	5200	596	200	200	1.0000000
chrI	5200	5400	631	200	200	1.0000000
chrI	5400	5600	608	200	200	1.0000000
chrI	5600	5800	603	200	200	1.0000000
chrI	5800	6000	581	200	200	1.0000000
chrI	6000	6200	616	200	200	1.0000000
chrI	6200	6400	582	200	200	1.0000000
chrI	6400	6600	552	200	200	1.0000000
chrI	6600	6800	545	200	200	1.0000000
chrI	6800	7000	547	200	200	1.0000000
chrI	7000	7200	620	200	200	1.0000000
chrI	7200	7400	633	200	200	1.0000000
chrI	7400	7600	549	200	200	1.0000000
chrI	7600	7800	579	200	200	1.0000000
chrI	7800	8000	568	200	200	1.0000000
chrI	8000	8200	524	200	200	1.0000000
chrI	8200	8400	564	200	200	1.0000000
chrI	8400	8600	659	200	200	1.0000000
chrI	8600	8800	698	200	200	1.0000000
chrI	8800	9000	658	200	200	1.0000000
chrI	9000	9200	658	200	200	1.0000000
chrI	9200	9400	597	200	200	1.0000000
chrI	9400	9600	610	200	200	1.0000000
chrI	9600	9800	607	200	200	1.0000000
chrI	9800	10000	643	200	200	1.0000000
chrI	10000	10200	590	200	200	1.0000000
chrI	10200	10400	655	200	200	1.0000000
chrI	10400	10600	597	200	200	1.0000000
chrI	10600	10800	616	200	200	1.0000000
chrI	10800	11000	593	200	200	1.0000000
chrI	11000	11200	611	200	200	1.0000000
chrI	11200	11400	629	200	200	1.0000000
chrI	11400	11600	613	200	200	1.0000000
chrI	11600	11800	605	200	200	1.0000000
chrI	11800	12000	544	200	200	1.0000000
chrI	12000	12200	549	200	200	1.0000000
chrI	12200	12400	562	200	200	1.0000000
chrI	12400	12600	826	200	200	1.0000000
chrI	12600	12800	1592	200	200	1.0000000
chrI	12800	13000	652	200	200	1.0000000
chrI	13000	13200	648	200	200	1.0000000
chrI	13200	13400	620	200	200	1.0000000
chrI	13400	13600	562	200	200	1.0000000
chrI	13600	13800	569	200	200	1.0000000
chrI	13800	14000	630	200	200	1.0000000
chrI	14000	14200	612	200	200	1.0000000
chrI	14200	14400	561	200	200	1.0000000
chrI	14400	14600	575	200	200	1.0000000
chrI	14600	14800	548	200	200	1.0000000
chrI	14800	15000	621	200	200	1.0000000
chrI	15000	15200	633	200	200	1.0000000
chrI	15200	15400	596	200	200	1.0000000
chrI	15400	15600	540	200	200	1.0000000
chrI	15600	15800	603	200	200	1.0000000
chrI	15800	16000	639	200	200	1.0000000
chrI	16000	16200	675	200	200	1.0000000
chrI	16200	16400	686	200	200	1.0000000
chrI	16400	16600	617	200	200	1.0000000
chrI	16600	16800	654	200	200	1.0000000
chrI	16800	17000	607	200	200	1.0000000
chrI	17000	17200	666	200	200	1.0000000
chrI	17200	17400	705	200	200	1.0000000
chrI	17400	17600	684	200	200	1.0000000
chrI	17600	17800	644	200	200	1.0000000
chrI	17800	18000	592	200	200	1.0000000
chrI	18000	18200	646	200	200	1.0000000
chrI	18200	18400	595	200	200	1.0000000
chrI	18400	18600	599	200	200	1.0000000
chrI	18600	18800	595	200	200	1.0000000
chrI	18800	19000	606	200	200	1.0000000
chrI	19000	19200	611	200	200	1.0000000
chrI	19200	19400	682	200	200	1.0000000
chrI	19400	19600	602	200	200	1.0000000
chrI	19600	19800	596	200	200	1.0000000
chrI	19800	20000	509	200	200	1.0000000
chrI	20000	20200	539	200	200	1.0000000
chrI	20200	20400	576	200	200	1.0000000
chrI	20400	20600	605	200	200	1.0000000
chrI	20600	20800	589	200	200	1.0000000
chrI	20800	21000	571	200	200	1.0000000
chrI	21000	21200	535	200	200	1.0000000
chrI	21200	21400	603	200	200	1.0000000
chrI	21400	21600	581	200	200	1.0000000
chrI	21600	21800	518	200	200	1.0000000
chrI	21800	22000	556	200	200	1.0000000
chrI	22000	22200	586	200	200	1.0000000
chrI	22200	22400	644	200	200	1.0000000
chrI	22400	22600	723	200	200	1.0000000
chrI	22600	22800	649	200	200	1.0000000
chrI	22800	23000	686	200	200	1.0000000
chrI	23000	23200	625	200	200	1.0000000
