chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	501	200	200	1.0000000
chrI	200	400	647	200	200	1.0000000
chrI	400	600	682	200	200	1.0000000
chrI	600	800	782	200	200	1.0000000
chrI	800	1000	793	200	200	1.0000000
chrI	1000	1200	729	200	200	1.0000000
chrI	1200	1400	715	200	200	1.0000000
chrI	1400	1600	718	200	200	1.0000000
chrI	1600	1800	774	200	200	1.0000000
chrI	1800	2000	676	200	200	1.0000000
chrI	2000	2200	728	200	200	1.0000000
chrI	2200	2400	786	200	200	1.0000000
chrI	2400	2600	776	200	200	1.0000000
chrI	2600	2800	734	200	200	1.0000000
chrI	2800	3000	782	200	200	1.0000000
chrI	3000	3200	833	200	200	1.0000000
chrI	3200	3400	847	200	200	1.0000000
chrI	3400	3600	804	200	200	1.0000000
chrI	3600	3800	782	200	200	1.0000000
chrI	3800	4000	839	200	200	1.0000000
chrI	4000	4200	858	200	200	1.0000000
chrI	4200	4400	841	200	200	1.0000000
chrI	4400	4600	845	200	200	1.0000000
chrI	4600	4800	797	200	200	1.0000000
chrI	4800	5000	743	200	200	1.0000000
chrI	5000	5200	753	200	200	1.0000000
chrI	5200	5400	777	200	200	1.0000000
chrI	5400	5600	772	200	200	1.0000000
chrI	5600	5800	786	200	200	1.0000000
chrI	5800	6000	763	200	200	1.0000000
chrI	6000	6200	762	200	200	1.0000000
chrI	6200	6400	784	200	200	1.0000000
chrI	6400	6600	724	200	200	1.0000000
chrI	6600	6800	651	200	200	1.0000000
chrI	6800	7000	766	200	200	1.0000000
chrI	7000	7200	850	200	200	1.0000000
chrI	7200	7400	862	200	200	1.0000000
chrI	7400	7600	845	200	200	1.0000000
chrI	7600	7800	738	200	200	1.0000000
chrI	7800	8000	747	200	200	1.0000000
chrI	8000	8200	686	200	200	1.0000000
chrI	8200	8400	735	200	200	1.0000000
chrI	8400	8600	807	200	200	1.0000000
chrI	8600	8800	873	200	200	1.0000000
chrI	8800	9000	867	200	200	1.0000000
chrI	9000	9200	838	200	200	1.0000000
chrI	9200	9400	838	200	200	1.0000000
chrI	9400	9600	821	200	200	1.0000000
chrI	9600	9800	798	200	200	1.0000000
chrI	9800	10000	818	200	200	1.0000000
chrI	10000	10200	783	200	200	1.0000000
chrI	10200	10400	837	200	200	1.0000000
chrI	10400	10600	824	200	200	1.0000000
chrI	10600	10800	803	200	200	1.0000000
chrI	10800	11000	821	200	200	1.0000000
chrI	11000	11200	798	200	200	1.0000000
chrI	11200	11400	902	200	200	1.0000000
chrI	11400	11600	871	200	200	1.0000000
chrI	11600	11800	750	200	200	1.0000000
chrI	11800	12000	669	200	200	1.0000000
chrI	12000	12200	721	200	200	1.0000000
chrI	12200	12400	750	200	200	1.0000000
chrI	12400	12600	1062	200	200	1.0000000
chrI	12600	12800	2127	200	200	1.0000000
chrI	12800	13000	870	200	200	1.0000000
chrI	13000	13200	837	200	200	1.0000000
chrI	13200	13400	754	200	200	1.0000000
chrI	13400	13600	767	200	200	1.0000000
chrI	13600	13800	720	200	200	1.0000000
chrI	13800	14000	742	200	200	1.0000000
