chr	start_point	end_point	cov	V1	V2	V3
chrI	0	200	468	200	200	1.0000000
chrI	200	400	739	200	200	1.0000000
chrI	400	600	838	200	200	1.0000000
chrI	600	800	954	200	200	1.0000000
chrI	800	1000	934	200	200	1.0000000
chrI	1000	1200	1029	200	200	1.0000000
chrI	1200	1400	962	200	200	1.0000000
chrI	1400	1600	886	200	200	1.0000000
chrI	1600	1800	1030	200	200	1.0000000
chrI	1800	2000	836	200	200	1.0000000
chrI	2000	2200	915	200	200	1.0000000
chrI	2200	2400	958	200	200	1.0000000
chrI	2400	2600	873	200	200	1.0000000
chrI	2600	2800	868	200	200	1.0000000
chrI	2800	3000	1028	200	200	1.0000000
chrI	3000	3200	1095	200	200	1.0000000
chrI	3200	3400	1036	200	200	1.0000000
chrI	3400	3600	1099	200	200	1.0000000
chrI	3600	3800	1064	200	200	1.0000000
chrI	3800	4000	1051	200	200	1.0000000
chrI	4000	4200	1065	200	200	1.0000000
chrI	4200	4400	1067	200	200	1.0000000
chrI	4400	4600	1153	200	200	1.0000000
chrI	4600	4800	1046	200	200	1.0000000
chrI	4800	5000	1017	200	200	1.0000000
chrI	5000	5200	1083	200	200	1.0000000
chrI	5200	5400	1047	200	200	1.0000000
chrI	5400	5600	1024	200	200	1.0000000
chrI	5600	5800	994	200	200	1.0000000
chrI	5800	6000	945	200	200	1.0000000
chrI	6000	6200	1026	200	200	1.0000000
chrI	6200	6400	1062	200	200	1.0000000
chrI	6400	6600	982	200	200	1.0000000
chrI	6600	6800	912	200	200	1.0000000
chrI	6800	7000	984	200	200	1.0000000
chrI	7000	7200	1099	200	200	1.0000000
chrI	7200	7400	1084	200	200	1.0000000
chrI	7400	7600	1011	200	200	1.0000000
chrI	7600	7800	985	200	200	1.0000000
chrI	7800	8000	1046	200	200	1.0000000
chrI	8000	8200	929	200	200	1.0000000
chrI	8200	8400	992	200	200	1.0000000
chrI	8400	8600	1154	200	200	1.0000000
chrI	8600	8800	1201	200	200	1.0000000
chrI	8800	9000	1170	200	200	1.0000000
chrI	9000	9200	1085	200	200	1.0000000
chrI	9200	9400	1021	200	200	1.0000000
chrI	9400	9600	997	200	200	1.0000000
chrI	9600	9800	1041	200	200	1.0000000
chrI	9800	10000	1097	200	200	1.0000000
chrI	10000	10200	1093	200	200	1.0000000
chrI	10200	10400	1119	200	200	1.0000000
chrI	10400	10600	1012	200	200	1.0000000
chrI	10600	10800	1069	200	200	1.0000000
chrI	10800	11000	1096	200	200	1.0000000
chrI	11000	11200	1171	200	200	1.0000000
chrI	11200	11400	1137	200	200	1.0000000
chrI	11400	11600	1032	200	200	1.0000000
chrI	11600	11800	902	200	200	1.0000000
chrI	11800	12000	839	200	200	1.0000000
chrI	12000	12200	839	200	200	1.0000000
chrI	12200	12400	859	200	200	1.0000000
chrI	12400	12600	1283	200	200	1.0000000
chrI	12600	12800	2690	200	200	1.0000000
chrI	12800	13000	1072	200	200	1.0000000
chrI	13000	13200	998	200	200	1.0000000
chrI	13200	13400	881	200	200	1.0000000
chrI	13400	13600	889	200	200	1.0000000
chrI	13600	13800	917	200	200	1.0000000
chrI	13800	14000	980	200	200	1.0000000
chrI	14000	14200	943	200	200	1.0000000
chrI	14200	14400	912	200	200	1.0000000
chrI	14400	14600	967	200	200	1.0000000
chrI	14600	14800	974	200	200	1.0000000
chrI	14800	15000	999	200	200	1.0000000
chrI	15000	15200	981	200	200	1.0000000
chrI	15200	15400	960	200	200	1.0000000
chrI	15400	15600	957	200	200	1.0000000
chrI	15600	15800	1044	200	200	1.0000000
chrI	15800	16000	1087	200	200	1.0000000
chrI	16000	16200	1064	200	200	1.0000000
chrI	16200	16400	1034	200	200	1.0000000
chrI	16400	16600	990	200	200	1.0000000
chrI	16600	16800	963	200	200	1.0000000
chrI	16800	17000	953	200	200	1.0000000
chrI	17000	17200	1100	200	200	1.0000000
chrI	17200	17400	1115	200	200	1.0000000
chrI	17400	17600	1174	200	200	1.0000000
chrI	17600	17800	1019	200	200	1.0000000
chrI	17800	18000	922	200	200	1.0000000
chrI	18000	18200	991	200	200	1.0000000
chrI	18200	18400	1022	200	200	1.0000000
chrI	18400	18600	1002	200	200	1.0000000
chrI	18600	18800	913	200	200	1.0000000
chrI	18800	19000	988	200	200	1.0000000
chrI	19000	19200	1079	200	200	1.0000000
chrI	19200	19400	1133	200	200	1.0000000
chrI	19400	19600	992	200	200	1.0000000
chrI	19600	19800	913	200	200	1.0000000
chrI	19800	20000	810	200	200	1.0000000
chrI	20000	20200	847	200	200	1.0000000
chrI	20200	20400	933	200	200	1.0000000
chrI	20400	20600	1018	200	200	1.0000000
chrI	20600	20800	957	200	200	1.0000000
chrI	20800	21000	945	200	200	1.0000000
chrI	21000	21200	949	200	200	1.0000000
chrI	21200	21400	1021	200	200	1.0000000
chrI	21400	21600	973	200	200	1.0000000
chrI	21600	21800	971	200	200	1.0000000
chrI	21800	22000	995	200	200	1.0000000
chrI	22000	22200	1060	200	200	1.0000000
chrI	22200	22400	1083	200	200	1.0000000
chrI	22400	22600	1120	200	200	1.0000000
chrI	22600	22800	1082	200	200	1.0000000
chrI	22800	23000	1070	200	200	1.0000000
chrI	23000	23200	1042	200	200	1.0000000
chrI	23200	23400	959	200	200	1.0000000
chrI	23400	23600	846	200	200	1.0000000
chrI	23600	23800	764	200	200	1.0000000
chrI	23800	24000	896	200	200	1.0000000
chrI	24000	24200	920	200	200	1.0000000
chrI	24200	24400	848	200	200	1.0000000
chrI	24400	24600	819	200	200	1.0000000
chrI	24600	24800	894	200	200	1.0000000
chrI	24800	25000	951	200	200	1.0000000
chrI	25000	25200	915	200	200	1.0000000
chrI	25200	25400	904	200	200	1.0000000
chrI	25400	25600	881	200	200	1.0000000
chrI	25600	25800	559	200	200	1.0000000
chrI	25800	26000	767	200	200	1.0000000
chrI	26000	26200	645	200	200	1.0000000
chrI	26200	26400	646	200	200	1.0000000
chrI	26400	26600	527	200	200	1.0000000
chrI	26600	26800	611	200	200	1.0000000
chrI	26800	27000	1439	200	200	1.0000000
chrI	27000	27200	1392	200	200	1.0000000
chrI	27200	27400	842	200	200	1.0000000
chrI	27400	27600	873	200	200	1.0000000
chrI	27600	27800	1016	200	200	1.0000000
chrI	27800	28000	1049	200	200	1.0000000
chrI	28000	28200	1085	200	200	1.0000000
chrI	28200	28400	987	200	200	1.0000000
chrI	28400	28600	910	200	200	1.0000000
chrI	28600	28800	910	200	200	1.0000000
chrI	28800	29000	944	200	200	1.0000000
chrI	29000	29200	979	200	200	1.0000000
chrI	29200	29400	915	200	200	1.0000000
chrI	29400	29600	1011	200	200	1.0000000
chrI	29600	29800	1083	200	200	1.0000000
chrI	29800	30000	1020	200	200	1.0000000
chrI	30000	30200	993	200	200	1.0000000
chrI	30200	30400	947	200	200	1.0000000
chrI	30400	30600	1025	200	200	1.0000000
chrI	30600	30800	1048	200	200	1.0000000
chrI	30800	31000	1052	200	200	1.0000000
chrI	31000	31200	957	200	200	1.0000000
chrI	31200	31400	933	200	200	1.0000000
chrI	31400	31600	854	200	200	1.0000000
chrI	31600	31800	803	200	200	1.0000000
chrI	31800	32000	795	200	200	1.0000000
chrI	32000	32200	752	200	200	1.0000000
chrI	32200	32400	748	200	200	1.0000000
chrI	32400	32600	684	200	200	1.0000000
chrI	32600	32800	653	200	200	1.0000000
chrI	32800	33000	728	200	200	1.0000000
chrI	33000	33200	851	200	200	1.0000000
chrI	33200	33400	937	200	200	1.0000000
chrI	33400	33600	896	200	200	1.0000000
chrI	33600	33800	663	200	200	1.0000000
chrI	33800	34000	599	200	200	1.0000000
chrI	34000	34200	696	200	200	1.0000000
chrI	34200	34400	768	200	200	1.0000000
chrI	34400	34600	803	200	200	1.0000000
chrI	34600	34800	850	200	200	1.0000000
chrI	34800	35000	784	200	200	1.0000000
chrI	35000	35200	770	200	200	1.0000000
chrI	35200	35400	830	200	200	1.0000000
chrI	35400	35600	799	200	200	1.0000000
chrI	35600	35800	847	200	200	1.0000000
chrI	35800	36000	889	200	200	1.0000000
chrI	36000	36200	951	200	200	1.0000000
chrI	36200	36400	943	200	200	1.0000000
chrI	36400	36600	950	200	200	1.0000000
chrI	36600	36800	917	200	200	1.0000000
chrI	36800	37000	840	200	200	1.0000000
chrI	37000	37200	917	200	200	1.0000000
chrI	37200	37400	988	200	200	1.0000000
chrI	37400	37600	905	200	200	1.0000000
chrI	37600	37800	849	200	200	1.0000000
chrI	37800	38000	845	200	200	1.0000000
chrI	38000	38200	833	200	200	1.0000000
chrI	38200	38400	769	200	200	1.0000000
chrI	38400	38600	782	200	200	1.0000000
chrI	38600	38800	801	200	200	1.0000000
chrI	38800	39000	890	200	200	1.0000000
chrI	39000	39200	971	200	200	1.0000000
chrI	39200	39400	930	200	200	1.0000000
chrI	39400	39600	903	200	200	1.0000000
chrI	39600	39800	916	200	200	1.0000000
chrI	39800	40000	981	200	200	1.0000000
chrI	40000	40200	925	200	200	1.0000000
chrI	40200	40400	874	200	200	1.0000000
chrI	40400	40600	979	200	200	1.0000000
chrI	40600	40800	858	200	200	1.0000000
chrI	40800	41000	848	200	200	1.0000000
chrI	41000	41200	845	200	200	1.0000000
chrI	41200	41400	912	200	200	1.0000000
chrI	41400	41600	971	200	200	1.0000000
chrI	41600	41800	999	200	200	1.0000000
chrI	41800	42000	1035	200	200	1.0000000
chrI	42000	42200	1021	200	200	1.0000000
chrI	42200	42400	915	200	200	1.0000000
chrI	42400	42600	859	200	200	1.0000000
chrI	42600	42800	914	200	200	1.0000000
chrI	42800	43000	905	200	200	1.0000000
chrI	43000	43200	812	200	200	1.0000000
chrI	43200	43400	797	200	200	1.0000000
chrI	43400	43600	766	200	200	1.0000000
chrI	43600	43800	825	200	200	1.0000000
chrI	43800	44000	824	200	200	1.0000000
chrI	44000	44200	788	200	200	1.0000000
chrI	44200	44400	727	200	200	1.0000000
chrI	44400	44600	802	200	200	1.0000000
chrI	44600	44800	798	200	200	1.0000000
chrI	44800	45000	731	200	200	1.0000000
chrI	45000	45200	695	200	200	1.0000000
chrI	45200	45400	602	200	200	1.0000000
chrI	45400	45600	640	200	200	1.0000000
chrI	45600	45800	678	200	200	1.0000000
chrI	45800	46000	786	200	200	1.0000000
chrI	46000	46200	853	200	200	1.0000000
chrI	46200	46400	745	200	200	1.0000000
chrI	46400	46600	758	200	200	1.0000000
chrI	46600	46800	927	200	200	1.0000000
chrI	46800	47000	977	200	200	1.0000000
chrI	47000	47200	996	200	200	1.0000000
chrI	47200	47400	1015	200	200	1.0000000
chrI	47400	47600	1012	200	200	1.0000000
chrI	47600	47800	939	200	200	1.0000000
chrI	47800	48000	894	200	200	1.0000000
chrI	48000	48200	765	200	200	1.0000000
chrI	48200	48400	863	200	200	1.0000000
chrI	48400	48600	849	200	200	1.0000000
chrI	48600	48800	798	200	200	1.0000000
chrI	48800	49000	841	200	200	1.0000000
chrI	49000	49200	921	200	200	1.0000000
chrI	49200	49400	975	200	200	1.0000000
chrI	49400	49600	984	200	200	1.0000000
chrI	49600	49800	922	200	200	1.0000000
chrI	49800	50000	953	200	200	1.0000000
chrI	50000	50200	875	200	200	1.0000000
chrI	50200	50400	1003	200	200	1.0000000
chrI	50400	50600	1082	200	200	1.0000000
chrI	50600	50800	1091	200	200	1.0000000
chrI	50800	51000	1021	200	200	1.0000000
chrI	51000	51200	945	200	200	1.0000000
chrI	51200	51400	831	200	200	1.0000000
chrI	51400	51600	762	200	200	1.0000000
chrI	51600	51800	850	200	200	1.0000000
chrI	51800	52000	802	200	200	1.0000000
chrI	52000	52200	807	200	200	1.0000000
chrI	52200	52400	852	200	200	1.0000000
chrI	52400	52600	902	200	200	1.0000000
chrI	52600	52800	893	200	200	1.0000000
chrI	52800	53000	890	200	200	1.0000000
chrI	53000	53200	861	200	200	1.0000000
chrI	53200	53400	874	200	200	1.0000000
chrI	53400	53600	904	200	200	1.0000000
chrI	53600	53800	834	200	200	1.0000000
chrI	53800	54000	825	200	200	1.0000000
chrI	54000	54200	980	200	200	1.0000000
chrI	54200	54400	923	200	200	1.0000000
chrI	54400	54600	893	200	200	1.0000000
chrI	54600	54800	914	200	200	1.0000000
chrI	54800	55000	1003	200	200	1.0000000
chrI	55000	55200	923	200	200	1.0000000
chrI	55200	55400	1059	200	200	1.0000000
chrI	55400	55600	1055	200	200	1.0000000
chrI	55600	55800	1099	200	200	1.0000000
chrI	55800	56000	1010	200	200	1.0000000
chrI	56000	56200	902	200	200	1.0000000
chrI	56200	56400	892	200	200	1.0000000
chrI	56400	56600	949	200	200	1.0000000
chrI	56600	56800	840	200	200	1.0000000
chrI	56800	57000	901	200	200	1.0000000
